,MRF.NS,MRF.NS,MRF.NS,MRF.NS,MRF.NS,LTF.NS,LTF.NS,LTF.NS,LTF.NS,LTF.NS,CMSINFO.NS,CMSINFO.NS,CMSINFO.NS,CMSINFO.NS,CMSINFO.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2024-01-23,145345.12768755242,147402.68342210888,139398.41572361672,140570.859375,22069.0,162.9792664907916,163.70728587323097,153.22381861537775,154.87399291992188,9237297,364.21283809015694,367.83564483508553,353.2961255584294,357.64349365234375,383307
2024-01-24,141470.89010633127,141570.43192581015,135693.6636056712,139348.375,17366.0,158.12580666620602,158.65969051818053,152.54432463798412,156.524169921875,9499033,357.7401042275772,370.395782605492,355.8562622728839,367.3526306152344,1021199
2024-01-25,140032.24104702994,140174.76186449314,135721.36407916035,136444.078125,13504.0,157.25218802266383,162.4453989221233,156.66976658683183,162.00857543945312,5513833,376.48213809016556,384.30737809927246,370.927167019576,376.2889099121094,1803606
2024-01-29,136443.29604548222,143714.08601409005,135920.7715931788,143438.515625,26375.0,162.7365873496244,164.04702811422678,162.05710558010864,162.6880645751953,4525741,383.3412649378976,384.7903877077976,371.94151094100863,377.6413879394531,1521852
2024-01-30,144212.54628780833,144312.2438656084,139580.59682321685,140194.578125,13414.0,164.0470301695717,166.5222989717268,160.45547093291128,162.8822021484375,6096993,377.64143200661954,385.9497427533763,372.0381684354831,373.87371826171875,1495154
2024-01-31,140573.61385054654,142412.98780917143,140075.21932466727,142146.25,11634.0,163.8528909657119,169.72558333810446,163.46460509296693,168.12393188476562,10043104,376.38548003661316,380.6362341150061,371.0720300680027,371.9414978027344,542579
2024-02-01,143066.04943599214,143913.47899711126,141272.4896942824,142046.9375,12544.0,170.0167845367996,170.40507042166846,164.04703161851415,167.2017822265625,5609948,373.7770428319295,373.7770428319295,365.17892070133007,366.0967102050781,515522
2024-02-02,142567.55723049777,143065.49997163334,140022.5736719949,140515.625,12058.0,168.1239326104789,171.03601001647422,167.97833466481578,169.57997131347656,6156504,368.0771790274722,376.6753014599648,368.0771790274722,372.81097412109375,1197046
2024-02-05,142452.9244584421,143538.97409925834,139986.7016610999,141217.421875,19822.0,170.55067789782774,173.7539662718622,167.39592711356207,168.07540893554688,10954847,371.9415057295334,373.7770553158589,362.8120206140901,365.71026611328125,573205
2024-02-06,141814.83069830452,143165.73298377116,141332.3878502775,142954.078125,8245.0,168.415142363245,169.28875965547826,163.46460487634585,165.30892944335938,6080452,367.6066319522101,375.38666649088117,366.3910015555427,373.6847839355469,585765
2024-02-07,143948.3486496365,144389.55716753175,142100.95252089892,142564.34375,7534.0,166.23108656862948,173.02593390282163,166.23108656862948,171.0845489501953,8363762,375.1435621046965,378.10968857269427,368.4819012100452,369.4057922363281,301964
2024-02-08,143414.97564184698,143414.97564184698,141580.5868159588,142052.203125,7121.0,171.76404087815203,172.78327100086892,166.95911579859245,167.83273315429688,6031328,371.3021770333246,372.8581900466726,360.99365388666365,362.0633850097656,467764
2024-02-09,143315.29282368594,143315.29282368594,135887.82199560624,136668.796875,26614.0,167.9298089475048,168.07540690345803,160.89228805230587,166.47377014160156,5026790,363.3762461538773,369.55165474116865,352.67869825347503,355.2558288574219,747563
2024-02-12,137183.8827838828,144331.79491039482,137139.01886872816,143367.875,40809.0,166.9591117527174,167.4444580078125,160.69814802430895,161.86297607421875,3555814,358.3678389432675,358.7082213881355,348.30241337917926,355.7420654296875,448750
2024-02-13,144364.09700227546,144966.7689034776,142069.65055045407,144190.03125,15951.0,162.1056595079157,166.0855049773581,159.87306363021858,165.60015869140625,3999511,354.964107440893,357.93023400154163,351.12270317390806,355.83935546875,325362
2024-02-14,143664.2393526644,147587.83833928764,142336.67236293148,146839.109375,11908.0,163.90143228001352,167.7842022262469,162.2027204285364,167.05618286132812,2581597,352.09521464887854,363.23040216909544,345.33632671279315,359.04864501953125,412994
2024-02-15,147552.43244608154,149745.18746043704,146605.30534592087,148060.734375,16290.0,167.78421223821874,168.75490478269998,164.92065738272487,166.5708465576172,2159944,362.20928789028335,367.8011883792312,353.99161356122016,356.17974853515625,739381
2024-02-16,148397.88169559182,148748.8172429747,147053.8645987745,147606.78125,9418.0,166.7649748586672,170.55066969302777,166.66789968379962,168.70635986328125,3393581,358.6596175179747,362.64689156781486,355.15862535565606,359.0,521745
2024-02-19,148547.81872971024,149097.6976664753,147653.12633462358,148452.0,11657.0,169.919725545779,172.2493816274278,168.80342028081182,170.11386108398438,3858389,359.04862711380133,360.06974483613845,354.08884886571053,355.49896240234375,516493
2024-02-20,147905.36970081172,148487.65038734177,146684.61938646605,148176.640625,6520.0,170.89040938229317,171.18162008062959,167.73565890876338,169.33729553222656,2396467,356.81184953886407,366.09928413467287,356.81184953886407,359.4862365722656,502814
2024-02-21,148253.3210729422,150341.73193335324,148253.3210729422,149236.3125,12528.0,169.62852504218435,170.35654446296624,164.67798705623017,165.4545440673828,2695176,360.5559973213219,366.0506411087968,358.12473638186594,359.4862365722656,396505
2024-02-22,148757.78558139573,150287.17744956366,148455.74252676012,149713.40625,7334.0,165.5030788340507,167.34738874392795,163.80436688120855,166.5708465576172,2537252,360.3128450913627,361.77160154922245,356.5686975804941,357.6384582519531,267495
2024-02-23,149713.41807135305,150990.0715536366,149599.2620200282,150272.234375,7594.0,167.39592633347058,168.1724833313741,165.98842510629134,166.5708465576172,1386896,357.8816013653755,373.73341042402694,357.8816013653755,372.1287841796875,968146
2024-02-26,150396.8455823009,150770.46983077266,146932.44028636868,147929.03125,24255.0,166.8620365336008,168.3666128863222,165.64867089617906,166.03695678710938,2001242,376.3591849761886,391.9192546392868,375.38668062224497,386.084228515625,1878140
2024-02-27,148452.70927267038,149200.45629721374,145669.09634930373,146707.125,11115.0,166.4737593963856,166.95910563369284,163.2704712678394,164.09556579589844,2333404,367.65528919608636,387.73752948970605,365.1754147621694,375.1435852050781,12870072
