,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2024-02-06,1431.256637826339,1431.256637826339,1409.3934322746634,1417.3099365234375,9047984,1588.0496182360184,1631.5932938509086,1575.998565824632,1628.2509765625,7694265
2024-02-07,1425.3752031215413,1438.8504181404362,1418.7491963623445,1431.554443359375,9296568,1627.827356650715,1627.827356650715,1588.143745994436,1594.6400146484375,4613877
2024-02-08,1439.3467435794867,1448.752105824393,1417.0368932886952,1439.4708251953125,14694634,1598.6412091518757,1606.50258433862,1584.3306859949523,1593.08642578125,5919715
2024-02-09,1443.31729322881,1461.1602045826953,1440.2896534634558,1450.0177001953125,12556798,1586.1194941932167,1593.8397389846994,1562.6766131725003,1571.667724609375,4600004
2024-02-12,1450.017752117624,1450.2659153474917,1431.7529141646626,1441.679443359375,6674430,1572.6090975073987,1593.8866307964468,1572.6090975073987,1581.78857421875,3555808
2024-02-13,1444.806250056761,1468.1335924657844,1443.3172707540573,1454.335693359375,7715594,1584.518924068217,1590.2619583832927,1566.1599704025425,1585.978271484375,2696481
2024-02-14,1446.7916226083244,1472.749520552248,1446.7916226083244,1470.4912109375,7117888,1563.0531172122069,1571.7618521594686,1539.7984871618103,1568.7020263671875,3768579
2024-02-15,1472.4517353218182,1473.8166331337911,1455.7503978374216,1459.79541015625,10006782,1578.870044759722,1588.9910065851047,1564.3711555313787,1578.258056640625,4834391
2024-02-16,1465.6271998466532,1466.1483668657747,1447.8339689108675,1449.843994140625,9767498,1590.1679521477781,1608.9976496273255,1589.1793470591608,1602.0777587890625,4880654
2024-02-19,1451.3082561823699,1468.6300012389227,1442.8458657695369,1463.17041015625,6729828,1605.2317360980246,1611.3513878778704,1588.9440015438006,1600.2889404296875,3690993
2024-02-20,1464.1878968342883,1464.659382736365,1451.0600862084646,1460.21728515625,7117496,1586.401957891193,1595.1106926748687,1571.1028292171682,1586.6373291015625,3706389
2024-02-21,1463.170510366537,1477.5888193115914,1446.8414171157522,1456.916748046875,12720292,1576.04564252021,1576.04564252021,1549.0250732340833,1558.67529296875,4300508
2024-02-22,1457.36346935178,1474.0399663973683,1447.2880175600008,1470.863525390625,18493728,1567.5723214065963,1586.0254020244706,1548.1777559110003,1582.965576171875,5841277
2024-02-23,1478.556551746289,1486.5474563697878,1472.4517119404402,1482.6512451171875,14438584,1597.6998249586602,1599.064932049705,1574.0685776987198,1578.7288818359375,5373072
2024-02-26,1482.5768223248915,1483.5446346905887,1471.607959051116,1476.3974609375,7513106,1576.9400103998594,1576.9400103998594,1548.742584990576,1563.006103515625,2782438
2024-02-27,1472.1291493159843,1488.9297276070065,1467.1907251784094,1474.73486328125,10826044,1563.8064346817055,1573.3154092821974,1556.0863043947375,1566.2542724609375,5159088
2024-02-28,1472.1042938560004,1480.3185210789975,1439.5205099276588,1444.930419921875,8647950,1572.2798088946804,1589.0382863616267,1564.7950497873524,1573.4566650390625,3188916
2024-02-29,1454.2365988812116,1468.1088998815815,1443.8385832706604,1450.0675048828125,23628976,1567.5722998042163,1583.812913721107,1556.5569728576138,1575.9515380859375,7814722
2024-03-01,1452.7475417409498,1488.979373154373,1451.7548888255137,1481.1622314453125,12132926,1571.3381567596207,1574.1154909938598,1554.3914300839626,1557.8748779296875,6387291
2024-03-04,1479.5243736818861,1501.337897909408,1476.2982516112518,1496.3250732421875,10024420,1560.8407342180715,1567.0545116352562,1538.0568453792753,1541.3990478515625,4445156
2024-03-05,1494.712091681268,1496.3251528023525,1475.1320355384912,1489.177978515625,7107668,1538.386318003764,1541.5402694156692,1508.2588013721113,1512.4954833984375,4596579
2024-03-06,1482.4773919378927,1497.9131926576536,1467.6372798835923,1491.957275390625,7805676,1509.0120236903088,1525.3467635033348,1483.7801827337923,1522.89892578125,6420684
2024-03-07,1491.9325571368477,1492.056638756749,1464.7091224345347,1468.059326171875,8315726,1522.004404894455,1533.1609775234701,1510.3299696204092,1521.8631591796875,6348359
2024-03-11,1478.060279979328,1478.060279979328,1452.747629113329,1455.8248291015625,11277130,1514.0489306330928,1519.3683431830998,1495.0779873422402,1506.940673828125,6752895
2024-03-12,1455.8247263461558,1477.0675227494196,1454.261346490045,1464.5849609375,9432678,1506.375688833194,1529.9128089712128,1504.1632225256892,1518.56787109375,4614222
2024-03-13,1468.9029635812572,1472.2034859914554,1417.2850129833478,1421.6527099609375,13522134,1518.5208697901078,1529.4420705773052,1505.0105857809417,1517.108642578125,5688997
2024-03-14,1429.1223094125826,1437.8825438227764,1415.0266869213976,1420.957763671875,18571102,1519.9332218123318,1560.7465686045769,1513.9076955609466,1556.5570068359375,8803799
2024-03-15,1415.4733954219128,1422.694969713975,1402.5193474045138,1407.80517578125,19223818,1545.0707498555741,1549.4957975654736,1523.6519697189988,1538.38623046875,11809997
2024-03-18,1409.56727675182,1431.1326391984185,1406.1178317705178,1428.899169921875,9169392,1534.6203153666463,1537.1152732206572,1505.2930391151203,1508.8707275390625,4958904
2024-03-19,1418.252849649116,1427.0378036957165,1406.8373411480031,1414.778564453125,8275764,1499.1734492026353,1505.4343467383314,1466.8334660527332,1470.08154296875,6870411
2024-03-20,1417.4587350761735,1434.3835163859578,1413.562644941621,1433.1427001953125,8488806,1471.5406681503987,1482.791364971784,1461.5138325508544,1463.961669921875,4759059
2024-03-21,1441.8532357214951,1447.1887452733042,1434.060934378195,1440.3145751953125,13006936,1472.4822954464403,1484.6744782005846,1453.087730653012,1463.7264404296875,11062497
2024-03-22,1439.321893152815,1449.2732629085037,1436.716179238339,1444.3348388671875,19527608,1431.9983895472183,1439.4361424981196,1410.5324900051585,1420.559326171875,14673890
2024-03-26,1434.3835274360674,1441.7291835759677,1428.4276096750873,1430.983642578125,11415906,1404.6952628966692,1419.2411564778474,1400.8351983634532,1405.3072509765625,8351081
2024-03-27,1437.3613782559069,1488.979328303771,1436.368725370371,1481.8818359375,16326644,1408.4612802603947,1411.2857346994197,1394.8568706833632,1397.022216796875,6857402
2024-03-28,1481.90676076149,1494.8856495085238,1467.786296896486,1474.933349609375,21854364,1400.129150066849,1423.3367734843898,1400.129150066849,1410.391357421875,12499530
2024-04-01,1481.5095896793896,1482.9985690062601,1471.60790139039,1473.8662109375,5013880,1435.7642804189727,1440.4245840795604,1405.4485166656525,1407.943359375,6580002
2024-04-02,1473.0968689675985,1483.0233977342266,1464.1629930776332,1476.025146484375,8910166,1397.9636580438985,1405.7780277192792,1394.1977189092265,1396.0806884765625,7279400
2024-04-03,1471.186101560143,1473.5436523631188,1458.1079713887636,1460.7880859375,7008292,1392.4561704804448,1407.6140544217724,1388.6902308713024,1394.0096435546875,8736248
2024-04-04,1468.8780939901114,1468.8780939901114,1439.3466709144527,1452.1767578125,14490272,1403.3302528566012,1408.1318024819914,1382.0997240670574,1399.7054443359375,11186915
2024-04-05,1450.1417667351745,1459.9938949751336,1445.3025839763254,1449.3724365234375,7442298,1393.4446504316754,1399.7054325276108,1389.678711160811,1392.5501708984375,5072482
2024-04-08,1452.226356281804,1480.0206375610207,1450.2658910334067,1475.057373046875,8357118,1396.2220500141934,1403.706808694374,1387.8428117589144,1390.2906494140625,6610887
2024-04-09,1478.060211901015,1478.8543827139295,1451.7549092714805,1452.896484375,7071414,1402.8123617129154,1425.2197460789992,1400.2703987062528,1407.3785400390625,9423230
2024-04-10,1455.5766564963697,1476.0749645358123,1455.5766564963697,1468.7044677734375,9138330,1412.5567483925915,1421.5008543199363,1397.6813569645744,1418.62939453125,6744595
2024-04-12,1465.0317226594827,1475.5538200544618,1452.3257159957793,1456.370849609375,15551012,1415.993212241118,1418.6294157880386,1392.926833451286,1397.86962890625,12275616
2024-04-15,1450.2658952456557,1471.2356878788278,1435.6986653849476,1454.062744140625,12902062,1393.397662027,1404.6483606920185,1375.5565690145563,1382.2410888671875,8531224
2024-04-16,1442.6720371000315,1460.3661473678603,1440.2649265731254,1454.98095703125,9366184,1366.0944202615754,1370.0016050968616,1330.3651187142993,1331.68310546875,16173541
2024-04-18,1452.7476380801534,1475.0823301585979,1448.628103973215,1453.5665283203125,19005692,1337.9441165902024,1360.1631363842591,1325.1399454315383,1336.202392578125,22107945
2024-04-19,1446.0720814485837,1463.1705049395248,1432.4231028577299,1459.323974609375,15741778,1303.9564344137511,1343.3575498977523,1298.0721544750609,1328.67041015625,20603621
2024-04-22,1461.6317610616636,1471.9305352298081,1457.0160218672338,1468.9774169921875,10350362,1336.814417739945,1352.7725406478596,1330.3652692316007,1348.9124755859375,5859087
2024-04-23,1468.1337674689391,1482.5272357774581,1444.8561033979943,1448.603271484375,14605554,1358.5625485511725,1362.1872419980825,1349.147700674865,1357.9976806640625,4856174
2024-04-24,1452.7475596039474,1457.7605053579202,1438.8504186169605,1439.5205078125,10462776,1359.7865843478146,1359.7865843478146,1343.54597104933,1347.0294189453125,4268213
2024-04-25,1431.9018276580116,1457.189636393573,1430.9091747445573,1449.2484130859375,15943926,1336.9084594402714,1360.351454707475,1336.9084594402714,1354.27880859375,9089398
2024-04-26,1453.194198141131,1454.236532179651,1439.3467383348082,1441.8780517578125,9413848,1355.4557017420498,1360.8222343797577,1343.4988900371166,1346.5587158203125,8062444
2024-04-29,1439.3467183436048,1457.1152296530197,1439.3467183436048,1454.2613525390625,7247974,1346.2762368329832,1355.549954695784,1344.6757585333085,1350.79541015625,5055957
2024-04-30,1457.214576809603,1472.178772035999,1452.1272302795285,1456.221923828125,11474262,1350.7481874189334,1352.4900262289832,1334.601815150425,1337.42626953125,6936588
2024-05-02,1461.1850562736174,1466.4708844514234,1453.3679147531318,1455.775146484375,14512646,1330.3179985042082,1340.6743311181829,1329.235268018188,1331.68310546875,10076354
2024-05-03,1460.1925152681529,1464.1134460205978,1405.7455242326487,1423.46435546875,17226958,1338.8855920418562,1341.4276701119534,1321.0915052605797,1333.425048828125,8842345
2024-05-06,1424.9533097670264,1429.4202480421582,1407.5818831415143,1409.095703125,7394208,1336.9085948576374,1361.104711483765,1334.1782655868928,1342.46337890625,6445422
2024-05-07,1405.571689953147,1410.311631866643,1381.772860502106,1391.17822265625,14517472,1341.5686898255074,1358.8920327440642,1332.7658301275853,1356.6324462890625,6080661
2024-05-08,1387.2324157830615,1422.42191231512,1387.2324157830615,1408.1278076171875,9439002,1351.2661306551702,1355.5028124792066,1342.1807788692665,1343.7813720703125,6234983
2024-05-09,1402.6185253372132,1413.2895438420787,1379.7875090012217,1383.8822021484375,11009612,1344.0166358308118,1365.1058028380908,1341.474557983215,1355.314453125,6088406
2024-05-10,1386.4879762578594,1399.6406275450738,1377.8766636438304,1397.0845947265625,10505096,1351.0779452607514,1351.925189724819,1330.3181573439954,1341.5218505859375,8777481
2024-05-13,1389.6149314683873,1396.6379028351905,1373.8317248456565,1392.394287109375,8456620,1341.615841553252,1341.615841553252,1328.6233053272724,1340.156494140625,3735954
2024-05-14,1390.681954289976,1416.5901722719507,1389.7389824487905,1409.6416015625,7188300,1342.9340893861715,1349.8539804416741,1335.072713427135,1341.33349609375,3463230
2024-05-15,1410.063563528233,1419.468926315315,1402.6435067088078,1405.86962890625,5046534,1342.5573572737128,1348.0180152167325,1335.5433413149956,1336.861328125,4327544
2024-05-16,1408.1278405018506,1417.0120356183081,1387.75361519461,1414.8778076171875,14711774,1350.0421774524657,1370.566593499511,1343.4989036055658,1368.3070068359375,9249145
2024-05-17,1412.5948920294334,1426.6408349602225,1402.8668442157614,1425.15185546875,10916476,1371.7434327729238,1371.7434327729238,1355.0320766083944,1359.78662109375,7542860
2024-05-21,1415.1260338425998,1431.231803864575,1415.1260338425998,1425.57373046875,11176128,1346.323283787107,1360.1630645795747,1344.8169310704366,1350.23046875,6752663
2024-05-22,1425.722543020764,1457.9837617014118,1425.722543020764,1449.91845703125,10281604,1345.1463943780532,1374.52067386965,1344.4402807852039,1369.672119140625,7173285
2024-05-23,1447.8340020088174,1481.2615172416956,1444.3100355832012,1475.1319580078125,14608260,1369.5779588477037,1391.6558474322132,1365.153026044568,1386.2423095703125,8641428
2024-05-24,1472.724715385057,1477.5638984586112,1465.2549777906743,1469.37451171875,7094776,1382.3352072624964,1389.1609728015073,1374.5679568215526,1379.3695068359375,5277938
2024-05-27,1469.3497180106694,1473.990419113941,1450.8119965034373,1455.4774169921875,6629010,1385.7242824059447,1393.0207890926204,1374.8030824797427,1385.2535400390625,5821844
2024-05-28,1457.2145743340495,1467.637430621861,1442.0766163922278,1445.501220703125,7820162,1389.1608228573064,1389.6315652574615,1374.8502998635329,1381.205322265625,6186922
2024-05-29,1435.8724890871501,1447.287997987601,1427.8815843874524,1430.1895751953125,7383556,1379.6518879829935,1379.7460134801906,1365.1529986668554,1366.04736328125,7401634
2024-05-30,1424.9532474164846,1429.817270893488,1409.6663684202383,1414.3814697265625,13206858,1358.3743695494225,1365.011768697552,1338.3678167520543,1343.9224853515625,9663150
2024-05-31,1420.7841589242364,1431.653659822201,1411.800601617005,1419.8907470703125,31069832,1353.8619835736356,1379.742614221291,1344.4507812144127,1351.0770263671875,37113815
2024-06-03,1472.1043222829317,1503.3728901534053,1448.2806515244756,1499.228515625,21527942,1382.8636553906256,1382.8636553906256,1348.2920640058599,1350.11669921875,10589244
2024-06-04,1487.0437791255476,1487.0437791255476,1349.3131842665355,1387.0091552734375,36709098,1353.09357909204,1358.8555105856897,1304.4532506211224,1338.3526611328125,13736134
2024-06-05,1411.5524616660985,1420.6352601794422,1373.9308915121778,1410.3116455078125,17464890,1344.594848794161,1380.9430124283645,1344.594848794161,1373.3564453125,9233424
2024-06-06,1424.4569533735907,1433.0929853880773,1410.9072166555904,1421.0819091796875,17855722,1387.6171483700416,1415.8026912541518,1380.4627967662166,1413.833984375,12660930
2024-06-07,1418.004611799037,1461.1850112482903,1416.0193060772324,1459.1500244140625,18558696,1422.2367255895786,1478.6075738994743,1418.6355184856213,1472.7496337890625,24075302
2024-06-10,1459.150058153404,1482.3781598703026,1457.2888339961758,1460.5894775390625,9251760,1464.7790697698574,1469.1005184048513,1437.8900560410068,1440.2427978515625,6810606
2024-06-11,1458.20717740815,1462.847878399236,1443.9874724286744,1445.9727783203125,11774902,1440.530920339611,1446.6768867495505,1434.67286293827,1436.4014892578125,4853054
2024-06-12,1446.7915758989445,1465.155654220818,1444.4837064170613,1452.57373046875,10081742,1447.2053312805267,1448.8858948702687,1423.9175215369614,1426.270263671875,9564320
2024-06-13,1461.1851486521073,1461.433311890669,1449.3725542618724,1454.4847412109375,9181160,1435.6813586014816,1445.2845783914581,1430.2555159747842,1434.6729736328125,7307565
2024-06-14,1459.199879544848,1468.8038455887872,1446.518713499826,1466.6944580078125,8157998,1444.0359353932247,1444.0359353932247,1427.0863483292007,1429.8232421875,4237727
2024-06-18,1476.4224025999808,1476.4720837189377,1460.5399547367645,1470.1439208984375,7196766,1437.6020550051355,1447.2052751454503,1436.0655632280468,1438.75439453125,5420939
2024-06-19,1476.571240472528,1476.571240472528,1445.3026730272272,1447.9332275390625,8725874,1445.2844258115615,1455.5118772535266,1437.313707336635,1451.3824462890625,5493456
2024-06-20,1448.2806091505108,1471.9553570393568,1439.4459739347105,1462.87255859375,16113776,1456.1361637531038,1457.2885031581282,1439.618556511379,1455.2718505859375,7927010
2024-06-21,1462.7982011333013,1463.8652545834836,1429.9909727182371,1443.515869140625,31170360,1483.697382612351,1495.9414872261423,1463.2424786021215,1471.8853759765625,17301941
