,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2025-02-06,753.8627308990996,755.6762909086074,735.2857374622155,737.4424438476562,32745391,426.06336046890937,426.06336046890937,414.8910439076552,417.63677978515625,17469129
2025-02-07,744.8438308139157,744.9418982807152,717.3459883584466,722.688720703125,37240692,416.5952582972785,421.8026990259945,405.6122866178601,407.9319763183594,18875982
2025-02-10,725.4335919181764,729.256846944206,718.963532464286,722.2965698242188,12667049,404.28679271835745,410.2516682663297,403.8133889798114,404.4761657714844,12227140
2025-02-11,722.9338420118377,725.5807064311172,712.2483766958933,716.7088012695312,13017060,405.99100788409856,407.6479208598988,395.2920956552102,396.0495300292969,14288751
2025-02-12,718.7184448242188,724.1591847308209,703.0333943785369,718.7184448242188,12697743,397.34792371808146,397.97305679084684,392.01021063862936,394.22222900390625,13884574
2025-02-13,719.9438519637431,722.9828066071801,711.8562476864424,713.3267211914062,12370571,394.27034528824566,398.1173542751768,393.3566689137098,394.0299072265625,12989029
2025-02-14,716.5617636405941,718.4733911976853,702.1021072520733,707.9349975585938,10417539,396.0014661827297,400.2812751894459,392.77959046029304,394.558837890625,14124236
2025-02-17,704.8959778549706,714.4050519193028,697.5436102537428,713.375732421875,9093600,394.12606998139194,395.6648794892229,391.1927372870501,392.97198486328125,11975265
2025-02-18,713.3757463206829,713.9149079885333,703.2294429330741,711.5131225585938,8562003,392.39491018757707,395.1359099155748,388.54790126416947,389.7500915527344,12998403
2025-02-19,707.8369242269698,720.3849529544706,707.8369242269698,712.9835815429688,6766606,389.31730014478245,393.1643091555031,389.0287862091182,390.8561096191406,7079032
2025-02-20,710.6308614417115,717.100921006022,709.1113242684337,715.3363647460938,7423268,384.6528290808348,388.45173290704383,381.0462580968928,386.6724853515625,15355585
2025-02-21,712.983563836215,717.2969766512275,705.8272715222472,707.7879028320312,6571602,386.67244588636703,387.8265602235753,383.93147569860434,385.5664367675781,8240986
2025-02-24,696.5142704603655,705.5821902376468,696.5142704603655,702.2981567382812,6912148,384.70090532952037,387.97085715475134,383.4987150003656,386.5282287597656,7037625
2025-02-25,704.7979622750793,704.7979622750793,696.0241250697796,696.9064331054688,8599635,386.62438730224534,391.43314833834296,385.1817589914161,389.3653869628906,15760891
2025-02-27,701.9060466163252,703.5725952859297,687.2993186401222,690.0442504882812,12033139,389.36537967354076,390.9522649156751,384.2199995911739,386.23968505859375,19051003
2025-02-28,687.1033111747046,687.5444053811439,669.1634856554016,675.241455078125,15780609,383.73912917511376,387.10526188717614,377.1992259318174,379.8921203613281,31954776
2025-03-03,676.5648746220754,683.6721631354309,666.6146467698901,681.6134643554688,10598479,380.8058152281349,383.73914785126925,376.2374920394293,382.2484436035156,10702826
2025-03-04,679.3587530706169,704.3077986097232,678.4764450422322,701.9550170898438,14386214,380.2768157418011,382.00798731989397,377.82435936077115,379.74786376953125,13404774
2025-03-05,703.425482394221,716.9048225760387,702.8863207536921,715.9735107421875,10409805,379.4112349821189,396.9632122658291,379.4112349821189,389.5577087402344,15665018
2025-03-06,721.5123345545368,722.2475713084986,712.6894935069948,717.6400756835938,10928847,393.5009194323491,394.0299007695933,385.22984437591543,390.1828918457031,17869996
2025-03-07,717.6400610222238,720.3849328808595,713.6697945986864,718.3262939453125,7246729,388.11510203965406,390.3271497866334,386.33588388818345,388.45172119140625,11180761
2025-03-10,718.3263154629034,723.9631306303024,712.2973500895013,714.5521240234375,7400109,385.7107105996322,391.2888910064267,385.0855775356017,389.5096435546875,9785018
2025-03-11,710.6308835302965,719.6007363944591,708.4741769972491,715.4833984375,5538789,386.1435102215853,392.7795945645392,385.8549963002887,390.66375732421875,11099475
2025-03-12,716.2186323712558,722.4926768362947,704.8959979099689,708.8172607421875,5547762,390.8561039985411,397.49218857653574,388.54790449537103,396.6266174316406,13844306
2025-03-13,711.6111983443574,717.0519385721029,710.2387324158618,713.5227661132812,5908337,397.20365434770144,398.5501015432174,392.5872555772619,396.28997802734375,8196569
2025-03-17,714.5520981665495,716.8558160007225,708.0819790039528,708.915283203125,5149563,397.20366927579045,400.32936400980094,391.4331559206942,392.3468322753906,5257805
2025-03-18,708.915283203125,708.915283203125,708.915283203125,708.915283203125,0,394.318390909805,396.1938193871978,392.1544485206658,393.45281982421875,13861897
2025-03-19,725.0414304316936,734.5505041985215,724.551272606947,730.4331665039062,7604850,394.3184059049263,395.0397200620695,387.20144542451675,387.63421630859375,12830387
2025-03-20,733.2761159507572,737.8836115337692,729.5509283979652,734.7955932617188,6963197,389.50964497469676,391.0965302508203,386.5282072542035,388.49981689453125,16994037
2025-03-21,735.1877533491547,740.7265010195747,732.2958101375568,738.373779296875,9577327,390.4233291082126,391.9140333230442,386.3358821349048,390.0386047363281,25302035
2025-03-24,743.0792951283579,767.5381836299999,740.236355685803,765.4304809570312,12095064,391.433162603734,397.05941909108105,390.0867153346264,395.1839904785156,14362572
2025-03-25,768.4694992151382,770.52813824643,754.05884649493,757.636962890625,15190143,396.2419041658655,399.36759879824183,393.06813366389935,394.12603759765625,20338110
2025-03-26,756.8037071028305,760.7739736513279,746.4613886162912,748.961181640625,7711852,394.60692684899476,395.47252733324694,390.71184207125464,391.769775390625,13891436
2025-03-27,748.765095143516,760.528883157817,745.5300654063271,757.0977783203125,15648616,392.39490676580164,394.9916495065971,390.1347831729387,393.7894592285156,18642328
2025-03-28,756.9017030647627,763.2737549045355,751.9021170931981,756.3135375976562,7628185,395.18398159578936,399.7042287729926,392.5391629889967,394.0779724121094,12981873
2025-04-01,751.7060726537488,767.3421201573958,748.1769600397238,756.5096435546875,7011125,394.12607142001764,398.55013776479905,390.08672946636085,391.0965576171875,15206240
2025-04-02,757.0977881876627,761.7052838533914,749.2552627425828,760.6759643554688,5458436,391.48121972866625,394.31840044763595,390.51946753245255,393.40472412109375,8001323
2025-04-03,754.8430831745769,769.2537358201085,754.7940793566994,763.8619995117188,7956680,391.4812095354885,394.51075235495847,391.1446197558559,393.7413330078125,7059566
2025-04-04,763.7639032041603,767.4891505617313,749.9414763962274,752.34326171875,8231194,391.9140405436106,397.0113157111547,389.02878380341224,394.0299072265625,18627592
2025-04-07,715.6304557983397,738.8639496862081,715.6304557983397,732.1978149414062,14923235,375.2276160600784,392.49107984083315,375.2276160600784,390.51947021484375,26762866
2025-04-08,745.0399507907015,758.764370936846,743.2263906334504,753.4706420898438,12911288,396.145740938844,399.89656879675374,391.6735989024767,396.7708740234375,18600796
2025-04-09,751.9021496759307,752.8334615673064,726.4139412123398,727.59033203125,11319387,397.20367078899557,403.02226003741157,395.5206043873473,400.37744140625,21785572
2025-04-11,744.0595747998677,744.7458077183372,731.3154714106737,739.0109252929688,9360327,403.9359011391154,406.29220563589877,401.05064470240745,405.4266052246094,8939356
2025-04-15,754.8430601068783,755.5292930373557,742.1969641274441,748.4710083007812,7859090,412.78405461806295,412.78405461806295,402.97417047029376,404.32061767578125,11685880
2025-04-16,748.4710501178707,759.4996019368964,745.5301029661306,756.5586547851562,12536694,402.0124153945198,409.75450878339007,402.0124153945198,408.2157287597656,13034594
2025-04-17,756.8037006997325,785.2328552596965,752.0491936119853,781.7527465820312,27034818,408.7446879057106,411.48568756526555,405.4266310519838,410.90863037109375,22410217
2025-04-21,787.1935033394458,808.1232195009724,785.6250221604275,800.6238403320312,16398507,411.6780349602343,412.6878924233474,405.3785695227371,406.67694091796875,27388236
2025-04-22,804.986275275127,819.0537818863039,797.9769939622398,806.211669921875,25117557,409.65837881395373,418.1698626669371,407.35014995516246,417.0157775878906,32031936
2025-04-23,809.740755044151,814.6423334645151,794.1537117339047,797.4378051757812,12104382,419.5163213012109,420.7185115509847,412.4474367624713,414.3709411621094,19566317
2025-04-24,796.7515648231008,802.8785377915959,795.1830836766543,797.3887939453125,12713521,415.3326729496452,419.3720143801557,412.88018735042976,413.60150146484375,26064089
2025-04-25,798.9572755447768,802.8785382468371,771.508436630355,782.9291381835938,13131038,413.60153406654683,416.1502009519827,407.10970652510946,411.4375915527344,22944377
2025-04-28,782.9291312258807,806.6037186789465,781.7037366423766,801.260986328125,11317611,410.331561195513,414.0343129537871,408.50423792594904,412.3993225097656,6287095
2025-04-29,803.858844621864,812.6816855994211,793.075372315961,796.5554809570312,11283059,412.4954962973951,413.16873455074716,408.74466873670406,409.7064208984375,11189930
2025-04-30,795.5261656735474,795.5261656735474,769.0576426012298,773.1259765625,25635764,411.0528779694748,412.8802012507744,405.8594220409165,409.5140686035156,10026546
2025-05-02,774.7924765987593,787.5856441366993,773.4690743593894,781.0175170898438,14720184,407.87911477952554,414.99607520497585,407.87911477952554,413.07257080078125,9263372
2025-05-05,766.606876267059,783.2722431424297,766.606876267059,774.4494018554688,23986447,413.7938888263413,421.72834456792714,412.92831770641976,420.2376403808594,11525305
2025-05-06,778.3216684290833,783.4193220780548,755.9214185982945,758.8623657226562,18869468,420.7666029152538,422.834364350939,416.43871785669694,418.89117431640625,15026568
2025-05-07,750.2356003532819,766.9990348823832,749.5003635713141,760.822998046875,15586266,416.823396791454,418.362206178502,413.2649312686502,414.6594543457031,9710361
2025-05-08,763.6658883956691,771.0182557422255,748.9611537025561,753.8627319335938,14491673,412.59168381124715,414.9960642530376,407.350122708005,414.1304931640625,19937960
2025-05-09,741.6088285228935,766.312796178702,740.6285128209466,763.9110107421875,13578216,409.658387599701,412.7359772268443,406.82120668762605,407.35015869140625,8226512
2025-05-12,783.272256608189,788.0758275471601,777.390362315762,785.8701171875,15096824,413.0725955722253,419.5163474528399,411.77422415146265,418.8431091308594,8031891
2025-05-13,782.880060357833,791.7519649275839,781.5076543371932,785.9680786132812,13909596,418.2660177094136,421.1993794721109,409.08129611962823,411.53375244140625,14976369
2025-05-14,789.8893639857823,791.6049164362635,780.6253687864404,784.9387817382812,9281719,410.76439222672843,415.332715418473,409.6102777855163,412.6878967285156,9557309
2025-05-15,788.6149458696933,793.516524177251,778.8607930709097,791.8499755859375,17058854,412.6878727466996,418.74689983509177,409.7064350721147,416.1020812988281,24263510
2025-05-16,804.0,804.0,791.0,792.0999755859375,14733924,418.26604202592637,419.51633754430964,415.573147502307,419.03546142578125,16402035
2025-05-19,792.0999755859375,801.4000244140625,792.0999755859375,795.0,10666184,418.362202884726,421.72833555161463,416.10207936688846,418.6988220214844,7543854
2025-05-20,798.1500244140625,799.4000244140625,783.7999877929688,785.6500244140625,11324667,420.28570719839433,423.9403537817196,416.34251734774494,418.2660217285156,9868414
2025-05-21,787.0,791.0,779.0999755859375,787.0999755859375,8206040,419.90103464370577,421.4398441006694,415.4769684613164,416.438720703125,5776672
2025-05-22,788.0,788.2000122070312,780.2999877929688,785.25,7355826,416.43869651769444,416.43869651769444,406.7249935694986,409.8026123046875,19451749
2025-05-23,787.9000244140625,794.9500122070312,786.2000122070312,790.5,5534158,417.40046939575757,422.20923056391143,412.59170822760365,419.61248779296875,18536884
2025-05-26,792.0,797.5499877929688,789.2000122070312,794.4000244140625,4965466,421.48791053602,426.58518556334417,420.0452822056058,425.9600524902344,13107662
2025-05-27,794.4000244140625,801.3499755859375,790.0499877929688,793.7000122070312,11995043,425.9600609253769,427.2103564467042,414.37095818169377,417.3042907714844,26986022
2025-05-28,794.5,798.9000244140625,792.6500244140625,796.5499877929688,6873519,409.12572033536514,413.92513013654184,404.5221871211176,411.57440185546875,431851622
2025-05-29,799.0,800.4000244140625,791.3499755859375,797.3499755859375,14034127,413.337430183069,414.12099629331436,408.04828421108533,410.1541442871094,21478547
2025-05-30,798.0,814.5,792.5999755859375,812.2999877929688,22037314,410.49697001748797,411.4274510468685,407.85238205791916,409.468505859375,30656239
2025-06-02,812.8499755859375,822.5499877929688,809.2000122070312,813.6500244140625,26891575,409.7133679967952,411.8192579553598,406.0403458241328,410.6928405761719,14973380
2025-06-03,816.2000122070312,818.4000244140625,805.1500244140625,809.7999877929688,14247597,410.3990201585084,413.04360813984886,407.1177809642176,408.39111328125,13216486
2025-06-04,817.0,817.0,805.25,806.5,9607927,408.586978384479,410.39900862513116,407.4116292300163,408.4400634765625,12598933
2025-06-05,808.7000122070312,811.7000122070312,802.8499755859375,806.0,13595507,409.9092587388879,412.30897842272395,407.2157092489669,410.4969482421875,13212523
2025-06-06,806.6500244140625,816.4500122070312,803.0999755859375,813.0499877929688,17163935,411.67231694542346,412.6517895338172,410.39901453696416,412.40692138671875,8774988
2025-06-09,817.4000244140625,824.5,815.7000122070312,820.0499877929688,12793040,413.33744096123485,414.9046031137218,411.86823204786555,414.3658752441406,10473123
2025-06-10,821.0,822.0499877929688,814.5999755859375,817.0499877929688,6560513,415.78612073411426,419.75297282706833,414.3658735007135,418.23480224609375,13041075
2025-06-11,817.0,820.5999755859375,813.0499877929688,815.0499877929688,7197825,419.2142518774774,419.312205110815,416.12891931968926,417.4022216796875,20789182
2025-06-12,816.0,816.5,801.2000122070312,805.9500122070312,13448521,418.2347759328376,418.43068239792314,410.9376935297822,412.3579406738281,18508835
2025-06-13,786.25,796.2999877929688,786.25,792.3499755859375,11377117,406.48111231744474,410.7418239308055,405.01190347774315,405.4036865234375,17873926
2025-06-16,792.5,795.4000244140625,786.1500244140625,792.5,8085001,406.4321620890675,410.30106087453294,404.7670467340719,409.6154479980469,7006629
2025-06-17,794.0,798.8499755859375,790.5499877929688,792.2999877929688,7753156,409.5174909056936,410.44797192026425,407.1667626963428,408.83184814453125,9028406
2025-06-18,792.5,795.5,788.3499755859375,791.9000244140625,5710169,408.4400661979771,409.86031339660474,406.3831678000489,407.3626403808594,8036215
2025-06-19,792.3499755859375,793.25,781.7000122070312,785.0999755859375,11824333,407.11778041824044,409.66441515775824,406.2852227295919,407.4606018066406,12601006
2025-06-20,787.5,799.4500122070312,786.0999755859375,796.1500244140625,11367669,407.46057840418473,410.8887323090276,407.46057840418473,409.9582214355469,13203184
2025-06-23,790.0,794.9500122070312,788.5,790.2000122070312,5549253,408.4400574370469,408.9297937169475,403.2978264980913,405.4036865234375,14839890
2025-06-24,799.0,806.6500244140625,793.6500244140625,795.4000244140625,11402190,408.3421256239387,412.0151479158747,405.25679287693885,405.844482421875,16690068
2025-06-25,799.5,803.7999877929688,796.0999755859375,800.0499877929688,6528324,407.85236743319786,409.5664444107915,406.5790650634376,407.80340576171875,9946718
2025-06-26,802.0,803.3499755859375,791.4000244140625,797.0499877929688,24704402,408.635961243395,412.25999175637196,407.70545036119364,411.67230224609375,13703918
2025-06-27,805.0,809.4500122070312,802.6500244140625,805.4000244140625,19375990,412.3579493645105,413.3374219283217,409.2236252038625,410.0561828613281,21409935
2025-06-30,809.0,821.0,807.0499877929688,820.3499755859375,19652607,411.18257641188427,412.1130873177171,407.26468609870335,407.9013671875,12317124
2025-07-01,820.0,824.9000244140625,813.25,820.2999877929688,11456405,408.4400629554616,410.25209319380195,406.38316457386264,406.5790710449219,13670465
2025-07-02,821.0,824.0499877929688,809.0,812.9000244140625,6661200,408.3421042433258,408.3421042433258,403.2488648665335,404.47320556640625,15990899
2025-07-03,813.5,814.5,805.7999877929688,807.0999755859375,7020403,405.5016414226337,407.4605865502793,402.80809187212105,404.864990234375,14185298
2025-07-04,808.75,813.8499755859375,804.0999755859375,811.8499755859375,4319538,406.383156862037,406.48111009570783,403.2978242937535,404.0813903808594,8256733
2025-07-07,811.2000122070312,812.6500244140625,805.1500244140625,806.8499755859375,4461783,404.52218073930493,408.63597758463175,403.54270814671577,407.6075134277344,6845218
