,HDFC.NS,HDFC.NS,HDFC.NS,HDFC.NS,HDFC.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2024-01-30,,,,,,3570.6673355072853,3608.5080891700763,3551.4891523141855,3564.196533203125,1411621
2024-01-31,,,,,,3574.184071078628,3595.566200692752,3560.351363342525,3578.638671875,2459358
2024-02-01,,,,,,3582.4367479301113,3662.0567819751186,3568.4165242500367,3614.462890625,2363107
2024-02-02,,,,,,3634.063444426215,3736.612908383376,3631.2030759637855,3719.638671875,2826510
2024-02-05,,,,,,3735.300087307631,3771.8747052852855,3715.6999348975555,3726.203369140625,1691523
2024-02-06,,,,,,3748.429229618272,3891.8203887754125,3741.8645549604466,3878.784912109375,4474396
2024-02-07,,,,,,3894.7277698637645,3896.603391231385,3820.593789517031,3829.4560546875,2124267
2024-02-08,,,,,,3835.6461148623707,3899.4172483124053,3831.941808049095,3877.003662109375,2345173
2024-02-09,,,,,,3879.300567921934,3924.503225662895,3845.0237708866407,3876.628173828125,2100596
2024-02-12,,,,,,3873.1584686878864,3900.9177589811775,3850.228812262782,3864.43701171875,1013716
2024-02-13,,,,,,3868.891392141469,3910.6706762721788,3827.67442810669,3891.445556640625,1257415
2024-02-14,,,,,,3851.5884779156377,3858.997090733716,3797.6643636034514,3845.11767578125,1391283
2024-02-15,,,,,,3871.282423660838,3888.444175657724,3829.0809437517446,3848.02490234375,1091582
2024-02-16,,,,,,3857.4498528668705,3889.9920672478725,3845.1177337734257,3871.563720703125,1307556
2024-02-19,,,,,,3866.6407490538904,3871.564255898133,3802.822905410406,3848.587890625,772291
2024-02-20,,,,,,3828.2371155114192,3843.1482139238024,3760.6208730684352,3779.986572265625,1193648
2024-02-21,,,,,,3763.434169375059,3810.653027573639,3733.0491956484493,3743.271240234375,1885939
2024-02-22,,,,,,3724.0461165985157,3840.2877016688244,3724.0461165985157,3832.926025390625,2982052
2024-02-23,,,,,,3873.1581442686033,3873.1581442686033,3794.7570791114713,3800.102783203125,2538072
2024-02-26,,,,,,3785.0039771663946,3798.1333269385277,3735.065557497388,3752.2275390625,1379284
2024-02-27,,,,,,3750.305228133252,3867.531573098657,3750.305228133252,3849.150390625,2960475
2024-02-28,,,,,,3840.8976823678586,3896.509674983892,3834.7080400231876,3862.795654296875,1939225
2024-02-29,,,,,,3844.0863254782985,3880.754817970432,3811.778790417747,3840.428955078125,3772719
2024-03-01,,,,,,3851.7765458152944,3882.536555650418,3832.645068891089,3839.7255859375,2043265
2024-03-04,,,,,,3849.712918034811,3861.8105844645606,3822.4225351204777,3826.924072265625,1749271
2024-03-05,,,,,,3809.386993519725,3811.2626148853183,3732.4865175304053,3762.59033203125,2070859
2024-03-06,,,,,,3745.662985779128,3818.7652862706927,3712.276832263034,3811.544189453125,1744204
2024-03-07,,,,,,3812.200473461429,3867.5313044415575,3786.598195707899,3853.089111328125,2688905
2024-03-11,,,,,,3834.707809455719,3894.7276920199565,3834.707809455719,3865.98388671875,2304068
2024-03-12,,,,,,3865.9837495151633,3966.8922650781215,3864.7643209446364,3931.53662109375,4039801
2024-03-13,,,,,,3943.4942087066347,3977.25539574907,3874.9401512123873,3890.976806640625,2837260
2024-03-14,,,,,,3895.1497744818453,3962.2499424114544,3831.8942638327107,3945.93212890625,2919608
2024-03-15,,,,,,3931.8646180674227,3975.378936165436,3917.2346818502065,3956.857177734375,3373143
2024-03-18,,,,,,3953.1061605013683,3990.1496794717273,3861.7634989777794,3894.258544921875,1526904
2024-03-19,,,,,,3799.305148830144,3805.6353703061336,3719.919574051353,3729.9541015625,8931209
2024-03-20,,,,,,3738.113180569138,3768.123120804515,3713.9176204628307,3723.9521484375,1817913
2024-03-21,,,,,,3741.9118998530926,3759.1205900676036,3702.476911275549,3725.875244140625,3829582
2024-03-22,,,,,,3654.6486037932596,3693.098845711536,3615.2605510964886,3667.68408203125,5852485
2024-03-26,,,,,,3634.016313190079,3701.257291825828,3630.68703955033,3636.36083984375,3440925
2024-03-27,,,,,,3646.677238477006,3652.7730085811854,3591.2525294851544,3602.037353515625,1968575
2024-03-28,,,,,,3610.6647591136507,3671.5285767596242,3601.6616855799075,3635.2353515625,4311783
2024-04-01,,,,,,3655.304582916496,3688.6907341711717,3646.254801582969,3673.169921875,1569676
2024-04-02,,,,,,3648.083423198765,3666.6990561572848,3632.140642171932,3642.26904296875,2142666
2024-04-03,,,,,,3611.5088559037185,3733.4242418469757,3611.5088559037185,3701.820068359375,3973090
2024-04-04,,,,,,3728.6417382256623,3778.111256202073,3690.5198221169708,3754.337890625,3394637
2024-04-05,,,,,,3730.6111838217394,3753.118641944344,3714.19949560734,3731.783447265625,1636819
2024-04-08,,,,,,3735.3000761758317,3781.8622865716975,3713.7304297404708,3725.5,2302538
2024-04-09,,,,,,3736.2379090370728,3766.1072720566044,3680.954012876369,3701.116943359375,1876992
2024-04-10,,,,,,3710.3542591400274,3742.052307422326,3674.3424188992844,3736.847412109375,2101965
2024-04-12,,,,,,3724.0460679227617,3763.762440285618,3700.131896496917,3752.555419921875,4354821
2024-04-15,,,,,,3752.555521752734,3811.450077595125,3675.326950485817,3696.099365234375,4200329
2024-04-16,,,,,,3659.33739612377,3684.37689632826,3622.622198353119,3631.953369140625,3051420
2024-04-18,,,,,,3635.704595429841,3691.2229435040135,3610.571222685582,3621.824951171875,3476284
2024-04-19,,,,,,3599.3174326502835,3612.9626239981167,3564.5245644253832,3588.251220703125,2957749
2024-04-22,,,,,,3598.3800024789316,3636.830244882277,3574.934732720794,3624.263671875,1728883
2024-04-23,,,,,,3635.9390541705266,3652.772710601142,3620.5121138030436,3633.735107421875,1807586
2024-04-24,,,,,,3648.083452943258,3655.585938193527,3586.6099186323313,3592.799560546875,1317312
2024-04-25,,,,,,3574.184280775608,3632.7505162587627,3573.9967644173494,3612.634521484375,2856271
2024-04-26,,,,,,3615.400944510773,3635.7046841917695,3566.07223748283,3583.703125,2039178
2024-04-29,,,,,,3599.317191992929,3636.642100796793,3581.6863063865258,3629.5146484375,1110693
2024-04-30,,,,,,3631.2030581143713,3640.3467125091584,3573.058794270598,3583.04638671875,2203078
2024-05-02,,,,,,3543.095825813969,3630.3591588386275,3543.095825813969,3623.044189453125,2491044
2024-05-03,,,,,,3648.2244896065395,3651.4601199418653,3561.4302856696127,3604.3818359375,2962234
2024-05-06,,,,,,3613.384573734727,3694.927167103904,3613.384573734727,3677.20263671875,2053831
2024-05-07,,,,,,3686.3462169354693,3739.988941315255,3670.12204659911,3731.501708984375,2062112
2024-05-08,,,,,,3714.6681858171114,3736.5192209369857,3693.66131770256,3729.626220703125,1247685
2024-05-09,,,,,,3715.6058295864877,3724.0461255143723,3666.8866116609574,3713.917724609375,1726486
2024-05-10,,,,,,3716.1689930361385,3726.484911351382,3643.4417231221314,3651.7412109375,1672489
2024-05-13,,,,,,3642.925600436705,3709.041253630369,3629.327345524533,3702.2890625,931326
2024-05-14,,,,,,3691.2230172569975,3700.413608162642,3650.803283386374,3658.587158203125,1058317
2024-05-15,,,,,,3661.6818959693137,3682.7357004952323,3634.485385536964,3639.08056640625,1115021
2024-05-16,,,,,,3675.637945909043,3693.018989202287,3630.673611714795,3684.9423828125,2599399
2024-05-17,,,,,,3701.992673680125,3702.937300542508,3617.9208829280115,3621.7939453125,2765804
2024-05-21,,,,,,3618.4880769854944,3631.854456042576,3599.0759470919206,3608.663818359375,1908117
2024-05-22,,,,,,3622.644183451547,3628.548101612322,3606.160490071024,3619.810302734375,1311168
2024-05-23,,,,,,3628.2645114562283,3688.7679082914883,3613.6700725144915,3677.857421875,2095742
2024-05-24,,,,,,3663.4993323947815,3668.742057896385,3631.429294761055,3636.34130859375,1309452
2024-05-27,,,,,,3641.536837624862,3691.9327769001197,3628.642772199506,3634.027099609375,1841538
2024-05-28,,,,,,3644.370544047232,3655.706066734782,3617.9209911096164,3627.272705078125,1801993
2024-05-29,,,,,,3635.774396680819,3635.774396680819,3589.582233347775,3593.030029296875,1568095
2024-05-30,,,,,,3567.855604818015,3584.2920197241397,3509.7137762005277,3529.220458984375,2919230
2024-05-31,,,,,,3532.904510318457,3542.1618998121,3451.430442400017,3467.677978515625,10956800
2024-06-03,,,,,,3526.1032967744277,3543.815050940118,3491.3409811408733,3497.811767578125,2156773
2024-06-04,,,,,,3495.1196584791387,3537.6278705417226,3392.627636061575,3509.2890625,3395997
2024-06-05,,,,,,3510.2334721952598,3574.2792205302862,3495.1194421750433,3538.997314453125,2799670
2024-06-06,,,,,,3571.63435096414,3627.2727837806888,3534.321587974697,3618.298828125,4328036
2024-06-07,,,,,,3624.8168128885063,3698.2142761529285,3624.8168128885063,3678.329833984375,4552445
2024-06-10,,,,,,3679.3217405498876,3689.6180814133613,3629.161960387638,3645.03173828125,1734661
2024-06-11,,,,,,3632.0904200618043,3665.1050839975637,3628.3119124726636,3638.79736328125,1419898
2024-06-12,,,,,,3659.862538168497,3677.9050050406395,3615.512349289223,3619.479736328125,2177001
2024-06-13,,,,,,3643.2366532623782,3674.5982165958594,3638.7023985417095,3663.404296875,1932323
2024-06-14,,,,,,3673.654123447534,3673.654123447534,3616.031880832389,3619.857666015625,1860730
2024-06-18,,,,,,3614.1900547154564,3629.2568087209993,3584.906618726297,3603.846435546875,1774045
2024-06-19,,,,,,3615.7010098615556,3621.557881055292,3582.9225030243783,3591.18798828125,1509050
2024-06-20,,,,,,3585.8033262818503,3598.9808239935414,3570.7365749735936,3577.537841796875,2846526
2024-06-21,,,,,,3615.08724810415,3663.0743420998706,3587.7403447033967,3599.737060546875,4642195
2024-06-24,,,,,,3597.8476118252383,3643.4258585651314,3581.363918973201,3605.451904296875,1702154
2024-06-25,,,,,,3605.6408753024607,3634.5935975227003,3582.8752747763524,3625.903076171875,1338808
2024-06-26,,,,,,3631.6179924136177,3652.8248194664434,3628.3117983770853,3642.339599609375,1639845
2024-06-27,,,,,,3618.8657792176605,3723.719368748634,3606.6801840344065,3716.303955078125,4526556
2024-06-28,,,,,,3700.859628682437,3740.7228411174556,3682.014366554202,3687.96533203125,2731571
2024-07-01,,,,,,3668.9305078023185,3780.1130365410763,3668.9305078023185,3757.914306640625,2658723
2024-07-02,,,,,,3772.462155624164,3800.61185331036,3762.023982045802,3794.944091796875,2307449
2024-07-03,,,,,,3797.399960989219,3803.162277059337,3735.9992153513335,3745.681640625,1821198
2024-07-04,,,,,,3778.3658747158024,3823.2356509992096,3761.598747788845,3798.29736328125,2518001
2024-07-05,,,,,,3787.953434244547,3803.7759330035487,3767.1716448297393,3789.65380859375,1668616
2024-07-08,,,,,,3799.2897762535395,3808.027575962725,3757.7734659218268,3772.08447265625,1758882
2024-07-09,,,,,,3764.3379893103715,3785.072502499781,3754.9862757638116,3764.810302734375,1305801
2024-07-10,,,,,,3763.109966642414,3781.6247453008073,3685.933998497865,3692.68798828125,2669716
2024-07-11,,,,,,3713.3286844549116,3759.615406799936,3679.8889813768274,3706.432861328125,4872189
2024-07-12,,,,,,3759.614896256505,3967.3857582493197,3751.396688713167,3952.271728515625,13509164
2024-07-15,,,,,,4001.156311371623,4005.2180225102193,3926.8610373129627,3938.338623046875,4848030
2024-07-16,,,,,,3940.9831443093085,3962.284294879995,3915.3836649055647,3947.076171875,2029521
2024-07-18,,,,,,3929.6479414580676,4085.5113814437846,3929.6479414580676,4076.58447265625,5613364
2024-07-19,,,,,,4087.8046089351637,4126.955747028112,4057.364408362997,4073.602294921875,3903354
2024-07-22,,,,,,4071.2820847406656,4090.218499814398,4038.19051447339,4059.35205078125,1896386
2024-07-23,,,,,,4055.233855032219,4129.748843691779,4039.421761308917,4073.554931640625,2365208
2024-07-24,,,,,,4059.493937233536,4108.349980054808,4041.1257072749645,4077.246826171875,1809793
2024-07-25,,,,,,4066.595241107577,4112.042638447079,4046.901553853059,4092.6328125,2810342
2024-07-26,,,,,,4118.670552129421,4187.2679052166895,4106.4090376287495,4154.5078125,3552210
2024-07-29,,,,,,4180.21383187482,4195.362964674367,4138.553716676068,4148.11669921875,1746803
2024-07-30,,,,,,4157.584736158652,4164.117706946695,4097.177294216961,4133.2041015625,1797906
2024-07-31,,,,,,4118.669933417561,4179.266456575889,4113.935830045817,4152.14013671875,2330091
2024-08-01,,,,,,4165.443616342355,4184.285259071731,4132.920227203137,4163.26611328125,2202244
2024-08-02,,,,,,4132.873162297419,4164.118251496919,4042.9251782382544,4055.281005859375,2811282
2024-08-05,,,,,,4013.5736879846177,4013.5736879846177,3891.907205581687,3934.087890625,2787771
2024-08-06,,,,,,3949.14268931395,4031.7999662691227,3939.532087639672,3949.37939453125,2203067
2024-08-07,,,,,,4003.1584593448297,4019.2072572996026,3957.994920939523,3977.07373046875,1237666
2024-08-08,,,,,,3958.6580478204482,4006.945912072743,3938.7748095989155,3950.6572265625,2441283
2024-08-09,,,,,,3992.7437508660028,4027.4446445233084,3981.9024665927805,4003.868896484375,1302536
2024-08-12,,,,,,4005.0521972685856,4013.573584922349,3963.723559610809,3972.52880859375,936912
2024-08-13,,,,,,3988.956299705632,4008.839537848005,3960.5516737879557,3973.760009765625,1495593
2024-08-14,,,,,,3985.168737449799,4077.1999039105713,3965.42743135513,4066.83203125,3226545
2024-08-16,,,,,,4118.670194945417,4191.575391499624,4095.0944511200714,4181.20751953125,3457058
2024-08-19,,,,,,4185.894947757169,4255.249574521071,4156.87498137627,4251.2255859375,2055210
2024-08-20,,,,,,4265.428244901237,4322.23750010525,4260.694140300903,4282.7548828125,2212298
2024-08-21,,,,,,4277.736579801988,4317.503055311436,4253.639804359008,4309.455078125,1896990
2024-08-22,,,,,,4317.503505386495,4318.403170209416,4258.04333501898,4262.587890625,1829872
2024-08-23,,,,,,4260.6939984141445,4266.374923745363,4218.087058430003,4226.513671875,1809253
2024-08-26,,,,,,4250.278746663329,4310.0703901887255,4246.491463306979,4263.013671875,1844164
2024-08-27,,,,,,4265.427753015881,4270.161857070282,4248.195429331919,4257.9951171875,930697
2024-08-28,,,,,,4259.510267771518,4319.8700965173775,4220.2643589002255,4266.421875,1848058
2024-08-29,,,,,,4222.821074859477,4313.715878264525,4222.821074859477,4271.8662109375,2133641
2024-08-30,,,,,,4260.693828489569,4348.038051973605,4249.14242918416,4311.58544921875,3637222
2024-09-02,,,,,,4332.652011694428,4344.013861375445,4272.055480062339,4280.6240234375,1216500
2024-09-03,,,,,,4280.624760360365,4313.621563619124,4256.812305434149,4272.3876953125,1717263
2024-09-04,,,,,,4238.869372185236,4248.384735865379,4200.759836723105,4241.046875,1265505
2024-09-05,,,,,,4242.704600629275,4259.747377422697,4217.282366116104,4237.92333984375,1688793
2024-09-06,,,,,,4236.029645395859,4278.6365868505345,4203.8848901946485,4219.744140625,1649179
2024-09-09,,,,,,4218.0871166522065,4251.462553433798,4194.890004562873,4212.9267578125,1184938
2024-09-10,,,,,,4206.204473662924,4298.5195066181295,4204.310831961278,4268.12646484375,1385591
2024-09-11,,,,,,4281.00383317773,4307.420045613886,4233.473235852587,4241.142578125,1325919
2024-09-12,,,,,,4270.398636628928,4291.5601745835365,4195.6469473824145,4277.45263671875,2742216
2024-09-13,,,,,,4289.098667337487,4305.194622601226,4265.428144890812,4282.09228515625,1458786
2024-09-16,,,,,,4286.2585344411245,4304.295289007335,4255.43969677022,4273.23974609375,1155120
2024-09-17,,,,,,4273.239388269134,4294.590014445038,4228.502101148829,4266.04345703125,1699364
2024-09-18,,,,,,4257.900566019319,4257.900566019319,4091.2129384450927,4115.025390625,2961779
