,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2024-02-09,677.5395933880455,688.2709787615526,675.0331498393979,683.1121215820312,56642124,972.9028503266528,997.401313514954,969.6068995994941,994.4005126953125,12799837,678.4222453850707,702.2366357119648,669.3110419771705,699.247802734375,43235061
2024-02-12,681.1897546934406,688.0033555217624,673.2567528222265,676.4932250976562,34447812,994.1053827736114,995.8763423051639,969.3609508231015,980.0359497070312,8050066,699.970940058633,699.970940058633,679.2417731009738,682.5198974609375,22873137
2024-02-13,677.4421602188512,683.4770749934498,673.7433606505093,678.6588745117188,57580994,989.7762629977263,1010.4868382114652,984.1681747459204,1003.3536987304688,18706292,683.1465652829623,692.2577691391986,676.9760578021069,687.8709106445312,23351472
2024-02-14,669.6795681971766,677.2231970540489,663.6203545889955,673.597412109375,91320810,993.2690157159769,1018.997259686499,991.3012696355923,1006.2069702148438,17878720,680.2541204805187,721.6642590731294,680.2541204805187,716.7471313476562,36782182
2024-02-15,674.0597534612269,688.903668609651,673.7433958465795,688.197998046875,41584944,1006.3545426117516,1010.0933083072188,990.3666052721892,1000.2545776367188,10069878,720.8929293595762,736.6085181742852,715.0598501146139,734.3909912109375,33941282
2024-02-16,692.9918479710976,694.8412181662663,685.4725175238648,691.0451049804688,32175742,1006.6989262673613,1009.650485394361,1000.5005380040549,1006.7481079101562,7159395,736.0781947745578,746.8284007926593,726.3402727045591,727.6419067382812,27365121
2024-02-19,695.4739454261017,695.4739454261017,688.7576582283627,689.682373046875,34451756,1006.8464465307476,1029.1311947979043,1006.8464465307476,1026.91748046875,9388255,731.4985393690836,737.5726553496461,723.1104464212216,732.02880859375,13979584
2024-02-20,688.6603356526384,709.222808572302,687.102965017942,707.787109375,56133508,1024.2611392299666,1035.6740431744663,1016.5868810060339,1031.8369140625,11293528,731.8359847570562,736.1264519437863,726.967052738199,732.8483276367188,12528399
2024-02-21,712.507885437546,712.507885437546,698.3939997287421,700.4137573242188,45893136,1039.7571099701715,1046.8409480440782,1031.0989789005582,1034.9852294921875,15946325,733.3786255385841,749.6244830800896,732.3662238537067,743.839599609375,21465311
2024-02-22,689.9987587340186,695.3766603212918,687.2976289140083,690.8748168945312,50560882,1038.969987954932,1048.808718901475,1023.5232284095382,1045.5618896484375,13432573,745.2857902765477,745.2857902765477,729.8594349797497,738.4403686523438,18799244
2024-02-23,692.3348761341468,697.8587478235042,690.1204320838871,691.3858032226562,29833452,1052.7440951810236,1052.7440951810236,1040.5932878224016,1044.1844482421875,13142759,738.4403812825284,742.8754349674641,727.9311530180862,731.8359375,14143636
2024-02-26,687.9546346452112,698.3210050066913,687.9546346452112,692.213134765625,23506870,1036.116738219057,1045.1684428055735,1033.5586921778424,1037.198974609375,7875941,727.9312082579945,738.8742565255047,725.7136812472469,731.69140625,11355186
2024-02-27,687.9546948776648,694.3545652339111,687.7113519923358,691.1668090820312,32087150,1033.8044994690943,1049.0052884655845,1029.6230394426907,1043.10205078125,10580973,731.6914003457339,735.0176614115741,715.590128867995,722.9658203125,13969393
2024-02-28,691.1667470533215,693.1377886016653,683.3067606806109,685.9348754882812,25321986,1045.8569952406344,1047.6771362637548,1025.3432672847086,1029.327880859375,7730332,722.965792248516,729.6184318157158,714.4331126203441,715.8793334960938,11263318
2024-02-29,682.3820552900959,686.4215706434694,680.0459994144303,683.0147705078125,53295700,1026.22885861961,1043.5941223069317,1021.7521880889905,1035.231201171875,20944844,717.2291929107045,726.8706658152877,710.7211987001107,721.278564453125,19217113
2024-03-01,681.360036052442,697.2989940386686,681.360036052442,696.3256225585938,34738898,1037.986009477885,1072.3723226042753,1037.0021364831193,1069.37158203125,14909562,725.0387042946561,744.3216485578118,724.9905087033734,741.5738525390625,17348526
2024-03-04,696.422958130924,699.3674307159147,693.186545384466,697.274658203125,35616474,1063.5667080999103,1077.3409300364494,1062.6811983836533,1074.733642578125,11424581,746.635654393883,749.1424137066598,741.4292357019581,744.369873046875,9789141
2024-03-05,692.067075174591,702.2874750189414,691.8967470591605,701.2410888671875,37991672,1068.682790650156,1081.768349420518,1059.139270715041,1070.5030517578125,9222544,741.9113219415058,758.7357035196916,741.525639495962,755.84326171875,18088847
2024-03-06,697.6883641851937,707.0813632922424,697.6883641851937,702.0928344726562,42409530,1062.878109231162,1095.5918883060335,1062.878109231162,1079.4071044921875,21796484,755.5540071356407,761.9655509647814,745.1894243197579,755.7950439453125,26710525
2024-03-07,703.5042650748312,706.205394802925,701.5088653436588,703.7962646484375,49348046,1077.2917746056637,1077.3410163000535,1065.2393294461426,1070.4046630859375,9963926,761.6763636445312,764.9544879888422,754.9273325742631,759.7962646484375,15497868
2024-03-11,695.9605773947812,703.7231908402335,692.553777365576,694.889892578125,50531094,1070.4046589090813,1070.4046589090813,1059.3853285611954,1061.3038330078125,13310362,761.6763431224929,764.375943708488,742.9236669559873,745.9607543945312,16778340
2024-03-12,697.9073192338245,712.5078907659129,695.5955620745772,710.3421630859375,65418454,1059.6804892440682,1077.1442354316735,1038.625582496139,1059.483642578125,21785435,742.3934128308799,749.8655543236582,730.1969260813347,732.4627075195312,21529705
2024-03-13,713.2379447418698,716.2067158438075,705.7429725398497,710.755859375,63067454,1059.77885170946,1072.0772645081547,1055.8433596138777,1066.4691162109375,24855870,731.450347794911,736.3192797248611,716.3614195245849,720.4590454101562,27950252
2024-03-14,711.5831514808099,713.4812375965001,702.9201816497791,708.3466796875,52432158,1062.5828370894137,1079.4070413229927,1057.7127137934276,1066.124755859375,14231421,723.0140618967187,723.8817591322932,707.7322923467271,714.4813232421875,19730882
