,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2024-01-30,3570.6670909234226,3608.5078419941947,3551.488909043992,3564.1962890625,1411621,707.90875580775,712.1185398649957,701.2654836786888,702.9202270507812,41728768,402.3971972082923,408.42863094204745,393.75510841111077,394.3402404785156,45190319
2024-01-31,3574.184071078628,3595.566200692752,3560.351363342525,3578.638671875,2459358,700.5841161285045,717.8371016849802,699.2700884068386,711.80224609375,65761040,396.09568649125384,398.3462296781842,394.92539376306877,397.49102783203125,20648695
2024-02-01,3582.4367479301113,3662.0567819751186,3568.4165242500367,3614.462890625,2363107,713.0189555223712,717.1800828855794,708.6387839338071,713.651611328125,32690740,397.89614860138937,403.07238102310146,395.4655493074385,398.7063293457031,19903526
2024-02-02,3634.062967378524,3736.6124178738983,3631.202599291578,3719.63818359375,2826510,717.8614898495053,720.7085896391353,701.8252179588541,703.8206176757812,44867754,400.59674123191587,402.57721451514556,395.64555802384166,396.1856689453125,17816750
2024-02-05,3735.2995978343483,3771.874211019269,3715.6994479926743,3726.202880859375,1691523,703.7476277670278,706.6190857097415,697.931756543557,703.1879272460938,38605046,397.89611107625,399.3814660761637,392.9899203450033,394.3402404785156,12505666
2024-02-06,3748.4294655539775,3891.820633736524,3741.864790482955,3878.78515625,4474396,703.5286059562596,705.5483042801744,697.2259898811583,702.8228759765625,41075740,396.095655967197,396.90583661619564,386.6433581922035,388.3537902832031,19487043
2024-02-07,3894.7277698637645,3896.603391231385,3820.593789517031,3829.4560546875,2124267,707.1543478186637,707.5437201567751,694.330191039234,695.9362182617188,54837086,391.5945940811647,391.5945940811647,387.8136747380817,388.7138977050781,13376903
2024-02-08,3835.6461148623707,3899.4172483124053,3831.941808049095,3877.003662109375,2345173,695.8875630019661,700.3163911601653,681.6033490400813,682.8444213867188,69106124,392.08703057366546,392.17841802252724,373.4423399489455,378.88037109375,50039587
2024-02-09,3879.301056539786,3924.503719974254,3845.024255187154,3876.628662109375,2100596,677.5395328507874,688.2709172654594,675.033089526087,683.112060546875,56642124,374.81326995012324,387.7000589587421,373.4423423447581,379.7486267089844,33527317
2024-02-12,3873.1587133795,3900.9180054265194,3850.229055505786,3864.437255859375,1013716,681.18969323455,688.0032934481292,673.2566920790741,676.4931640625,34447812,381.62222138780527,382.0335083512696,371.1117379944829,371.8428955078125,11326971
2024-02-13,3868.890906690215,3910.6701855786464,3827.6739478271575,3891.445068359375,1257415,677.4422211445823,683.4771364619307,673.7434212435891,678.658935546875,57580994,371.88862153996564,375.4530507956858,368.5983836063643,371.75152587890625,16207766
2024-02-14,3851.588722467118,3858.9973357555955,3797.6646047310915,3845.117919921875,1391283,669.6795681971766,677.2231970540489,663.6203545889955,673.597412109375,91320810,371.0660969640242,376.7783199362087,369.60375282087,376.1385498046875,12618012
2024-02-15,3871.2826692770527,3888.444422362778,3829.081186690457,3848.025146484375,1091582,674.0597534612269,688.903668609651,673.7433958465795,688.197998046875,41584944,377.4637723618133,378.88040830490235,368.46131120221764,369.14678955078125,21169031
2024-02-16,3857.4498528668705,3889.9920672478725,3845.1177337734257,3871.563720703125,1307556,692.9918479710976,694.8412181662663,685.4725175238648,691.0451049804688,32175742,370.15210830847485,374.31059937497434,365.0339476322224,369.7865295410156,38963810
2024-02-19,3866.640258482223,3871.5637647018066,3802.8224229354896,3848.58740234375,772291,695.4739454261017,695.4739454261017,688.7576582283627,689.682373046875,34451756,370.1521077273739,377.23525788833905,369.78652896048857,374.0364074707031,17602580
2024-02-20,3828.2371155114192,3843.1482139238024,3760.6208730684352,3779.986572265625,1193648,688.660276266856,709.22274741334,687.1029057664576,707.7870483398438,56133508,375.13315616944266,375.13315616944266,369.5123213242641,371.1574401855469,14626643
2024-02-21,3763.434414830734,3810.6532761089843,3733.04943912238,3743.271484375,1885939,712.5079475266035,712.5079475266035,698.3940605878935,700.413818359375,45893136,371.9799904971458,374.8132620636199,366.77044253364437,368.6440734863281,20162369
2024-02-22,3724.0461165985157,3840.2877016688244,3724.0461165985157,3832.926025390625,2982052,689.9986977762575,695.3765988884213,687.2975681948778,690.874755859375,50560882,371.88859602243036,379.4287409996736,368.7354539662446,378.7889709472656,19321180
2024-02-23,3873.1581442686033,3873.1581442686033,3794.7570791114713,3800.102783203125,2538072,692.3348761341468,697.8587478235042,690.1204320838871,691.3858032226562,29833452,380.1142172699116,380.1142172699116,375.1788603578767,376.0014343261719,11576964
2024-02-26,3785.0039771663946,3798.1333269385277,3735.065557497388,3752.2275390625,1379284,687.9546346452112,698.3210050066913,687.9546346452112,692.213134765625,23506870,375.7272290145601,377.5094435802666,372.254187332029,373.99072265625,8289561
2024-02-27,3750.3049902620937,3867.5313277921664,3750.3049902620937,3849.150146484375,2960475,687.9546948776648,694.3545652339111,687.7113519923358,691.1668090820312,32087150,374.7218905950383,377.2352627534842,373.396642202815,375.7729187011719,8083518
2024-02-28,3840.8976823678586,3896.509674983892,3834.7080400231876,3862.795654296875,1939225,691.1667470533215,693.1377886016653,683.3067606806109,685.9348754882812,25321986,375.77291141482976,376.86967667427535,371.7972242470729,373.16815185546875,8949664
2024-02-29,3844.0863254782985,3880.754817970432,3811.778790417747,3840.428955078125,3772719,682.3820552900959,686.4215706434694,680.0459994144303,683.0147705078125,53295700,373.8079334221908,375.6815355101058,369.69512150470285,371.3402404785156,15468800
2024-03-01,3851.776300908435,3882.5363087877504,3832.6448252006635,3839.725341796875,2043265,681.360036052442,697.2989940386686,681.360036052442,696.3256225585938,34738898,373.71653890782403,377.6008386718984,372.4369987339359,374.264892578125,12873024
