,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
1996-01-01,2.7095739222498585,2.733984504660122,2.7014373837972894,2.7258474826812744,1023454.0,,,,,,0.4774698500255695,0.4785258173942566,0.4751237372051786,0.4785258173942566,204800
1996-01-02,2.668889140325217,2.7177105396408,2.5820959444804634,2.6227803230285645,7757692.0,,,,,,0.4774700515817707,0.4798168098211049,0.47659069299697876,0.47659069299697876,204800
1996-01-03,2.5061520220325613,2.5652800278411325,2.4904209794600782,2.5386998653411865,15744376.0,,,,,,0.47981661558151245,0.47981661558151245,0.47981661558151245,0.47981661558151245,102400
1996-01-04,2.538699677372964,2.6032521174841716,2.511576275154759,2.586435317993164,12874964.0,,,,,,0.4751237084471343,0.47746982112552094,0.4751237084471343,0.47664874792099,307200
1996-01-05,2.58643528036822,2.5766714359431413,2.5332749600777036,2.5397844314575195,5201392.0,,,,,,0.471017450094223,0.471017450094223,0.471017450094223,0.471017450094223,51200
1996-01-08,2.5397838042498733,2.5576844230383324,2.446481162417468,2.461669683456421,13131996.0,,,,,,0.4710176463300431,0.4751237285578962,0.4716045056890018,0.47395065426826477,358400
1996-01-09,2.4616708058243004,2.4942181695252694,2.4329205741143243,2.4551613330841064,9313903.0,,,,,,0.4739506210285014,0.4692583241990621,0.4633923803371603,0.4686715006828308,870400
1996-01-10,2.4551601649924004,2.4953020153402123,2.430207560671414,2.447023630142212,3103076.0,,,,,,0.46867150206395447,0.4657385301243604,0.46339238170272695,0.4645654559135437,358400
1996-01-11,2.4470249641265283,2.4622134931442123,2.435633325600101,2.4600436687469482,2313287.0,,,,,,0.4680845026828265,0.4751235544681549,0.4645653169049663,0.4751235544681549,819200
1996-01-12,2.4600430988758237,2.5061519170773283,2.4519065614748747,2.4844536781311035,4991093.0,,,,,,0.4727775530593293,0.4727775530593293,0.46925833039081455,0.47248440980911255,358400
1996-01-15,2.4844535039446307,2.495302622657105,2.454618246163008,2.4578733444213867,2098315.0,,,,,,0.4663253253135293,0.47160444535405566,0.4663253253135293,0.4672052562236786,307200
1996-01-16,2.4578735018880935,2.4741470601178452,2.4410574272471885,2.4502789974212646,3201216.0,,,,,,0.46720514882204045,0.46925818920135504,0.4281977396306502,0.469258189201355,358400
1996-01-17,2.450278873118861,2.4627552993638235,2.4421423361798573,2.4497363567352295,3196543.0,,,,,,0.46925842978876475,0.4704315042600827,0.4633924846069433,0.4648004174232483,768000
1996-01-18,2.4497365067394257,2.439972420051645,2.386811371751711,2.419358730316162,5346264.0,,,,,,0.46480039236974546,0.46632543206214905,0.462219385221243,0.46632543206214905,204800
1996-01-19,2.419357912095312,2.424782832666023,2.2593332719510317,2.314664125442505,16749137.0,,,,,,0.4633921845209651,0.4633921845209651,0.4613391444185809,0.46163225173950195,512000
1996-01-22,2.3146644304004105,2.331480501746304,2.268013105207507,2.2983901500701904,4098491.0,,,,,,0.46339245962933034,0.46632543206214905,0.46339245962933034,0.46632543206214905,204800
1996-01-23,2.298390507066374,2.3179191629697975,2.1372807882048095,2.156266927719116,8253062.0,,,,,,0.46104629080511916,0.4692583841305508,0.46104629080511916,0.46485862135887146,665600
1996-01-24,2.1562668630533848,2.18610212063979,2.026077439355546,2.0629642009735107,16370599.0,,,,,,0.4648586103554538,0.4628055691719055,0.4522473273820336,0.4628055691719055,409600
1996-01-25,2.062964327400731,2.061337261708656,2.0233649814917163,2.041808605194092,8454015.0,,,,,,0.46309934372244865,0.46309934372244865,0.46104633808135986,0.46104633808135986,102400
1996-01-26,2.041808605194092,2.041808605194092,2.041808605194092,2.041808605194092,0.0,,,,,,0.46104633808135986,0.46104633808135986,0.46104633808135986,0.46104633808135986,0
1996-01-29,2.0418085412965468,2.199663887112702,2.034756553527321,2.156266927719116,10010226.0,,,,,,0.4598731193112886,0.4598731193112886,0.45840632915496826,0.45840632915496826,102400
1996-01-30,2.1562665089034594,2.3537211610374,2.167658142046806,2.2907960414886475,16272460.0,,,,,,0.4584064197592596,0.46573858191177064,0.46339243322925916,0.46397864818573,1433600
1996-01-31,2.290795796655334,2.2701821141806398,2.1774219936226595,2.205087661743164,9968167.0,,,,,,0.4639784617479018,0.46925818920135504,0.4610460992872141,0.469258189201355,460800
1996-02-01,2.2050885464864165,2.3759623686443567,2.207800645177339,2.34233021736145,13057223.0,,,,,,0.4692583204613969,0.48685497045516973,0.4692583204613969,0.4868549704551697,819200
1996-02-02,2.3862688984879146,2.658040133145871,2.365113417242334,2.6108462810516357,29264257.0,,,,,,0.4868550998864447,0.5044523631851474,0.4868550998864447,0.5043941140174866,2355200
1996-02-05,2.6108460661006334,2.875022532561892,2.614643680774612,2.744290590286255,19599855.0,,,,,,0.5043938601985041,0.5056251832564238,0.492779690882615,0.504452109336853,819200
1996-02-06,2.7990793824862665,2.8202351070782647,2.6423092886291815,2.7182533740997314,14655495.0,,,,,,0.5044522860209906,0.5308484991455191,0.5044522860209906,0.5161842107772827,1382400
1996-02-07,2.679738380532147,2.7339842210446017,2.6048793333765006,2.6781113147735596,14505949.0,,,,,,0.5161843504326864,0.5067991804248194,0.5009332343604084,0.5024582743644714,972800
1996-02-08,2.712285822328384,2.9596464633941646,2.6797382232262734,2.959646463394165,22801072.0,,,,,,0.5103182759218842,0.5337808728218079,0.5103182759218842,0.5337808728218079,768000
1996-02-09,2.9596465711267466,3.1229258801616715,2.9629009443344585,3.057288646697998,12650646.0,,,,,,0.5337808177524898,0.5572440566600687,0.4985869081327172,0.5541350841522217,1382400
1996-02-12,3.097430298757045,3.097430298757045,2.92926859519511,2.961273193359375,14991973.0,,,,,,0.5541349072229871,0.5619361383645496,0.5455125673434059,0.547858715057373,819200
