,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2025-02-10,3905.045086746592,3916.644230568612,3880.2520112210996,3902.096923828125,1339511,404.28679271835745,410.2516682663297,403.8133889798114,404.4761657714844,12227140,1247.5735745348811,1255.3138984101563,1239.7837061908433,1252.9322509765625,5740361
2025-02-11,3884.1667849836185,3905.045339609273,3822.8847322165034,3831.149169921875,1810908,405.9910391677168,407.64795227119043,395.2921261144242,396.049560546875,14288751,1246.2339539700604,1252.188012073483,1238.8410469458931,1243.15771484375,6586627
2025-02-12,3838.446649169052,3887.404606196338,3808.5303361658844,3818.1962890625,1678002,397.34792371808146,397.97305679084684,392.01021063862936,394.22222900390625,13884574,1247.5735208959845,1260.0274734986122,1235.119689428972,1242.2149658203125,8809352
2025-02-13,3835.4501025039126,3851.3505477933163,3771.896462322554,3779.532470703125,2277310,394.27031475204564,398.1173234410263,393.35663844827394,394.0298767089844,12989029,1242.9592342670746,1256.3061987457909,1236.3601292961446,1239.337158203125,7263785
2025-02-14,3793.886412954254,3816.1181040365336,3769.72153134308,3803.407470703125,1681975,396.0014661827297,400.2812751894459,392.77959046029304,394.558837890625,14124236,1242.5126718509223,1253.8254065127483,1234.9212235163006,1250.451416015625,10368438
2025-02-17,3727.6744742582173,3802.585603975581,3727.3844484945375,3774.071044921875,1799806,394.12603937418936,395.6648487625189,391.1927069076455,392.9719543457031,11975265,1241.5699462890625,1248.5163471638045,1223.8069826822411,1241.5699462890625,8386151
2025-02-18,3768.174803332807,3793.3062796669183,3735.4073189681676,3743.816650390625,2149879,392.39491018757707,395.1359099155748,388.54790126416947,389.7500915527344,12998403,1243.3065364897366,1247.9705000138076,1227.5779245772142,1233.531982421875,8135042
2025-02-19,3742.850263486918,3745.508400554833,3642.2759755929487,3657.693359375,4366672,389.3172697473528,393.1642784577035,389.02875583421536,390.8560791015625,7079032,1225.3947820253827,1254.7681118615644,1220.8300282561831,1251.9896240234375,10683412
2025-02-20,3635.848185178673,3661.4629603766616,3625.988960412709,3653.150146484375,2888572,384.65279872265523,388.45170224904115,381.0462280233567,386.6724548339844,15355585,1245.7378271028595,1254.3216187366877,1237.203701075922,1240.379150390625,8398849
2025-02-21,3649.960586134303,3689.4942392872176,3648.8972369162293,3659.52978515625,1833931,386.6724764914858,387.8265909200422,383.93150608677536,385.56646728515625,8240986,1231.5968971791747,1235.1693078219741,1215.173692889092,1223.50927734375,7786428
2025-02-24,3618.111196511734,3637.4914799757285,3547.4048428794777,3552.81787109375,2508516,384.700874956215,387.97082652327333,383.4986847219768,386.5281982421875,7037625,1217.3071583182455,1222.467414805944,1200.9831637697991,1209.0211181640625,11522480
2025-02-25,3503.907852529123,3535.8054964280086,3500.283120267886,3508.305908203125,4101954,386.62438730224534,391.43314833834296,385.1817589914161,389.3653869628906,15760891,1217.2079253456668,1222.2193060560244,1211.6508286551266,1214.7767333984375,11059417
2025-02-27,3491.0520789257853,3516.4735816470966,3480.419530987875,3491.873779296875,3823856,389.3654104380863,390.9522958056036,384.2200299491726,386.2397155761719,19051003,1215.769120615194,1225.3947998146707,1209.1203494513463,1213.0897216796875,12008162
2025-02-28,3465.195760859545,3479.743067268356,3341.5199398740847,3366.89306640625,7085018,383.73912917511376,387.10526188717614,377.1992259318174,379.8921203613281,31954776,1206.6891556122284,1215.620243112648,1190.9108768010287,1194.8802490234375,20215075
2025-03-03,3368.584339801977,3405.556606946145,3360.0298777157327,3376.365478515625,4990439,380.8057848257319,383.7391172146777,376.23746200174764,382.2484130859375,10702826,1201.2312348006667,1207.6814644794808,1194.929880803104,1196.964111328125,8158881
2025-03-04,3357.952083726606,3432.3799220820893,3348.576156481458,3414.06298828125,2797737,380.2768157418011,382.00798731989397,377.82435936077115,379.74786376953125,13404774,1197.9068433475454,1207.334101585249,1197.0137104452713,1201.1319580078125,9574490
2025-03-05,3403.237261275363,3480.081589993446,3403.237261275363,3428.56201171875,2501894,379.4112349821189,396.9632122658291,379.4112349821189,389.5577087402344,15665018,1207.6814517983407,1216.5628733470458,1202.0251450551775,1206.391357421875,9052846
2025-03-06,3438.1793081878077,3488.877181911339,3417.9775618337376,3481.28955078125,2786513,393.5009194323491,394.0299007695933,385.22984437591543,390.1828918457031,17869996,1218.5476101118768,1218.5476101118768,1199.7427576093883,1208.7235107421875,11949475
2025-03-07,3479.7427842726975,3503.907664719036,3454.997852301583,3490.568603515625,2051315,388.11510203965406,390.3271497866334,386.33588388818345,388.45172119140625,11180761,1201.8265880949464,1208.5249033729367,1197.0634143564148,1205.250244140625,6620284
2025-03-10,3486.0259949428714,3501.1049762137254,3462.9244613654673,3469.73876953125,1004626,385.7107105996322,391.2888910064267,385.0855775356017,389.5096435546875,9785018,1198.7503263397664,1216.4140799337886,1198.7503263397664,1205.5478515625,7363437
2025-03-11,3439.146018462038,3468.8688234276665,3419.4757100500633,3455.8681640625,1995450,386.1435403860541,392.77962524740065,385.8550264422196,390.6637878417969,11099475,1207.8798680000234,1238.4440812807522,1207.8798680000234,1235.864013671875,10927950
2025-03-12,3445.912267227522,3450.020297279617,3370.3729384283747,3389.076416015625,3174167,390.85607392496263,397.4921579923581,388.547874599392,396.6265869140625,13844306,1237.4020778822246,1242.3637929723905,1225.8413786306357,1234.425048828125,11548372
2025-03-13,3385.306695598729,3406.5717917540665,3367.714708703622,3393.764404296875,1693004,397.2036849356402,398.55013223484355,392.5872858097,396.2900085449219,8196569,1241.4707365370484,1245.9858244254206,1235.7647643884725,1240.4783935546875,8132940
