,TCS..NS,TCS..NS,TCS..NS,TCS..NS,TCS..NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2024-02-09,,,,,,677.5395328507874,688.2709172654594,675.033089526087,683.112060546875,56642124,972.9028503266528,997.401313514954,969.6068995994941,994.4005126953125,12799837
2024-02-12,,,,,,681.1897546934406,688.0033555217624,673.2567528222265,676.4932250976562,34447812,994.1053827736114,995.8763423051639,969.3609508231015,980.0359497070312,8050066
2024-02-13,,,,,,677.4421602188512,683.4770749934498,673.7433606505093,678.6588745117188,57580994,989.7762629977263,1010.4868382114652,984.1681747459204,1003.3536987304688,18706292
2024-02-14,,,,,,669.6796288773342,677.2232584177402,663.6204147201233,673.5974731445312,91320810,993.2690157159769,1018.997259686499,991.3012696355923,1006.2069702148438,17878720
2024-02-15,,,,,,674.0597534612269,688.903668609651,673.7433958465795,688.197998046875,41584944,1006.3545426117516,1010.0933083072188,990.3666052721892,1000.2545776367188,10069878
2024-02-16,,,,,,692.9918479710976,694.8412181662663,685.4725175238648,691.0451049804688,32175742,1006.6989262673613,1009.650485394361,1000.5005380040549,1006.7481079101562,7159395
2024-02-19,,,,,,695.4739454261017,695.4739454261017,688.7576582283627,689.682373046875,34451756,1006.8464465307476,1029.1311947979043,1006.8464465307476,1026.91748046875,9388255
2024-02-20,,,,,,688.660276266856,709.22274741334,687.1029057664576,707.7870483398438,56133508,1024.2611392299666,1035.6740431744663,1016.5868810060339,1031.8369140625,11293528
2024-02-21,,,,,,712.507885437546,712.507885437546,698.3939997287421,700.4137573242188,45893136,1039.7571099701715,1046.8409480440782,1031.0989789005582,1034.9852294921875,15946325
2024-02-22,,,,,,689.9986977762575,695.3765988884213,687.2975681948778,690.874755859375,50560882,1038.969987954932,1048.808718901475,1023.5232284095382,1045.5618896484375,13432573
2024-02-23,,,,,,692.334815015207,697.85868621692,690.1203711604371,691.3857421875,29833452,1052.7440951810236,1052.7440951810236,1040.5932878224016,1044.1844482421875,13142759
2024-02-26,,,,,,687.9546953048787,698.3210665804025,687.9546953048787,692.2131958007812,23506870,1036.116738219057,1045.1684428055735,1033.5586921778424,1037.198974609375,7875941
2024-02-27,,,,,,687.9546948776648,694.3545652339111,687.7113519923358,691.1668090820312,32087150,1033.8044994690943,1049.0052884655845,1029.6230394426907,1043.10205078125,10580973
2024-02-28,,,,,,691.1667470533215,693.1377886016653,683.3067606806109,685.9348754882812,25321986,1045.8569952406344,1047.6771362637548,1025.3432672847086,1029.327880859375,7730332
2024-02-29,,,,,,682.3820552900959,686.4215706434694,680.0459994144303,683.0147705078125,53295700,1026.22885861961,1043.5941223069317,1021.7521880889905,1035.231201171875,20944844
2024-03-01,,,,,,681.360036052442,697.2989940386686,681.360036052442,696.3256225585938,34738898,1037.986009477885,1072.3723226042753,1037.0021364831193,1069.37158203125,14909562
2024-03-04,,,,,,696.4228971703204,699.3673694975699,693.1864847071581,697.2745971679688,35616474,1063.5667080999103,1077.3409300364494,1062.6811983836533,1074.733642578125,11424581
2024-03-05,,,,,,692.0671354112525,702.2875361451739,691.8968072809968,701.2411499023438,37991672,1068.682790650156,1081.768349420518,1059.139270715041,1070.5030517578125,9222544
2024-03-06,,,,,,697.6883641851937,707.0813632922424,697.6883641851937,702.0928344726562,42409530,1062.878109231162,1095.5918883060335,1062.878109231162,1079.4071044921875,21796484
2024-03-07,,,,,,703.504204064998,706.2053335588424,701.5088045068723,703.7962036132812,49348046,1077.2917746056637,1077.3410163000535,1065.2393294461426,1070.4046630859375,9963926
2024-03-11,,,,,,695.9606385239804,703.7232526512562,692.5538381955413,694.8899536132812,50531094,1070.4046589090813,1070.4046589090813,1059.3853285611954,1061.3038330078125,13310362
2024-03-12,,,,,,697.9073192338245,712.5078907659129,695.5955620745772,710.3421630859375,65418454,1059.6804892440682,1077.1442354316735,1038.625582496139,1059.483642578125,21785435
2024-03-13,,,,,,713.2379447418698,716.2067158438075,705.7429725398497,710.755859375,63067454,1059.77885170946,1072.0772645081547,1055.8433596138777,1066.4691162109375,24855870
2024-03-14,,,,,,711.5832127948388,713.4812990740788,702.9202422173576,708.3467407226562,52432158,1062.5828370894137,1079.4070413229927,1057.7127137934276,1066.124755859375,14231421
2024-03-15,,,,,,705.6943406988961,710.2205419583659,701.9225261192986,706.9840698242188,143613804,1054.711808860948,1068.7319984843327,1052.744062948894,1062.9271240234375,66192734
2024-03-18,,,,,,704.2343003680048,708.6144722431341,698.7834435762417,703.77197265625,21437856,1057.7127049329833,1067.3054665763489,1042.9546100970365,1063.763427734375,8769440
2024-03-19,,,,,,698.6373444116205,706.8623448833252,698.6373444116205,705.3779296875,36183594,1061.0578145795118,1071.1917547663113,1057.9094689437209,1066.4691162109375,16708715
2024-03-20,,,,,,705.2320233558721,706.4973944482159,693.3568789456579,696.4716796875,43606094,1062.582825466805,1072.4215553322383,1050.2844131350132,1067.01025390625,18725251
2024-03-21,,,,,,702.0928435492851,706.3026871236781,700.0001304926251,703.6259155273438,28922860,1074.3893386064215,1082.2603227720363,1061.7465943107402,1064.3538818359375,19992607
2024-03-22,,,,,,701.3141208411934,706.0593065998343,699.7323922549797,702.2144775390625,45980326,1063.7143347625467,1076.061869046459,1061.303773813482,1072.716796875,17214415
2024-03-26,,,,,,694.5978614753975,699.8297331586394,692.1401341445468,693.7218627929688,56844290,1063.5667354159368,1071.585324555275,1059.58200164128,1066.22314453125,13367635
2024-03-27,,,,,,692.8215385852401,704.6966236214441,691.7021375713913,701.1681518554688,62168668,1066.223219242338,1074.8813504721743,1062.1402420015347,1066.2724609375,26907245
