,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2024-02-06,621.3446646438326,631.5164056680424,614.836671150307,626.9367065429688,14079390,387.96484228867234,388.7583920360094,378.70657560411007,380.38189697265625,19487043
2024-02-07,631.5646790198787,653.6436757959015,631.516483424108,651.0404663085938,41696232,383.5561516187938,383.5561516187938,379.8528449472176,380.7345886230469,13376903
2024-02-08,656.0058526209428,693.1255240196265,654.1739491949825,674.46923828125,74222434,384.03849666697397,384.12800816758073,365.7765333782061,371.1029357910156,50039587
2024-02-09,678.4222453850707,702.2366357119648,669.3110419771705,699.247802734375,43235061,367.11932249698526,379.74157904258544,365.77653649119355,371.953369140625,33527317
2024-02-12,699.970940058633,699.970940058633,679.2417731009738,682.5198974609375,22873137,373.7885122385735,374.1913565530827,363.4937816638938,364.2099304199219,11326971
2024-02-13,683.1465652829623,692.2577691391986,676.9760578021069,687.8709106445312,23351472,364.25470380272145,367.74596448553467,361.0320059987887,364.12042236328125,16207766
2024-02-14,680.2541204805187,721.6642590731294,680.2541204805187,716.7471313476562,36782182,363.4490304322448,369.04399563612463,362.01670458696765,368.4173583984375,12618012
2024-02-15,720.8929293595762,736.6085181742852,715.0598501146139,734.3909912109375,33941282,369.7154093192213,371.10296536010526,360.8977455956946,361.56915283203125,21169031
2024-02-16,736.0781947745578,746.8284007926593,726.3402727045591,727.6419067382812,27365121,362.55381409855795,366.6269417755661,357.5407164214317,362.19573974609375,38963810
2024-02-19,731.4985393690836,737.5726553496461,723.1104464212216,732.02880859375,13979584,362.5538334149661,369.4915846526361,362.1957590434242,366.3583984375,17602580
2024-02-20,731.8359847570562,736.1264519437863,726.967052738199,732.8483276367188,12528399,367.4326485808488,367.4326485808488,361.9271948494633,363.5385437011719,14626643
2024-02-21,733.3786255385841,749.6244830800896,732.3662238537067,743.839599609375,21465311,364.3442216530248,367.1193336213837,359.24161197934507,361.0767822265625,20162369
2024-02-22,745.2857902765477,745.2857902765477,729.8594349797497,738.4403686523438,18799244,364.2547293541822,371.64009555619225,361.1663127730457,371.0134582519531,19321180
2024-02-23,738.4403812825284,742.8754349674641,727.9311530180862,731.8359375,14143636,372.3114390234385,372.3114390234385,367.477392438148,368.2830810546875,11576964
2024-02-26,727.9312082579945,738.8742565255047,725.7136812472469,731.69140625,11355186,368.0145200385987,369.7601503452562,364.6127709260232,366.31365966796875,8289561
2024-02-27,731.6914003457339,735.0176614115741,715.590128867995,722.9658203125,13969393,367.0298119400418,369.49159101888046,365.73176749593637,368.05926513671875,8083518
2024-02-28,722.965792248516,729.6184318157158,714.4331126203441,715.8793334960938,11263318,368.05925560223767,369.1335070788597,364.1651791134282,365.5079650878906,8949664
2024-02-29,717.2291929107045,726.8706658152877,710.7211987001107,721.278564453125,19217113,366.1345972319124,367.9697389838581,362.10621099325186,363.7175598144531,15468800
2024-03-01,725.0387042946561,744.3216485578118,724.9905087033734,741.5738525390625,17348526,366.0451169501413,369.84968221119516,364.79184238551517,366.58221435546875,12873024
2024-03-04,746.635654393883,749.1424137066598,741.4292357019581,744.369873046875,9789141,369.044002904538,369.6706401545669,365.6422537799073,366.22412109375,7103794
2024-03-05,741.9113219415058,758.7357035196916,741.525639495962,755.84326171875,18088847,366.7164994308714,368.2831068378252,361.61388961617246,363.58331298828125,10108373
2024-03-06,755.5540071356407,761.9655509647814,745.1894243197579,755.7950439453125,26710525,363.8966588926982,366.9850755073165,358.704537384896,365.10516357421875,11534613
2024-03-07,761.6763636445312,764.9544879888422,754.9273325742631,759.7962646484375,15497868,365.10512371335005,371.46100763953405,361.34530025763866,370.2077331542969,23907135
2024-03-11,761.6763431224929,764.375943708488,742.9236669559873,745.9607543945312,16778340,373.11715357829127,374.4599396612226,365.2394317224076,366.4927062988281,18298683
2024-03-12,742.3934128308799,749.8655543236582,730.1969260813347,732.4627075195312,21529705,363.89660411866976,363.89660411866976,357.4959505214604,362.06146240234375,36226074
2024-03-13,731.450347794911,736.3192797248611,716.3614195245849,720.4590454101562,27950252,389.409657449551,392.09522935851203,377.01122268812105,378.1749572753906,105525827
2024-03-14,723.0140618967187,723.8817591322932,707.7322923467271,714.4813232421875,19730882,377.72738966516533,380.9053175233625,374.1913590552437,375.6684265136719,31949569
2024-03-15,712.7458828582031,719.7841462932436,697.0784894237145,705.659423828125,29792241,373.47519557546644,383.6356443794862,371.7295653076996,375.1760559082031,76074975
2024-03-18,701.0314668855465,711.4443046336356,696.2107304639793,704.7434692382812,18145126,375.08653045923944,376.6083677378852,373.20661882761476,373.698974609375,16547358
2024-03-19,703.8275174114212,708.0215345586139,695.294837485665,697.8497924804688,15205043,374.1913414368421,375.57889732766563,365.86603446321567,366.626953125,21803126
2024-03-20,699.1514430237444,712.4566640874273,693.9932196245381,709.8534545898438,25405455,367.02980631746095,372.9828459519357,366.62696200946334,372.1324157714844,20364534
2024-03-21,715.3972193126948,723.6888616581621,713.999194109353,717.61474609375,15161161,375.08651503025925,377.7720867527884,372.5799662911985,377.1007080078125,19968509
2024-03-22,717.1809169690966,721.9534576831707,714.8188032557894,719.9287719726562,15535921,377.10074305597453,384.62036160072563,377.10074305597453,383.680419921875,40358503
2024-03-26,716.4095925895269,721.0374875571446,712.0227344311277,713.5171508789062,14678342,380.9500748588195,384.2175424825222,380.9500748588195,382.8299865722656,10669833
2024-03-27,716.3613952172508,719.1091912967626,704.0203223853061,707.0091552734375,30088789,382.24811039415033,383.9489991957222,381.75575456584926,383.143310546875,12698464
2024-03-28,711.299633363139,732.3180316341789,710.480131739764,725.3761596679688,21705116,383.1433017081666,387.84306693740666,382.24810157609323,383.4566345214844,29009002
2024-04-01,731.8359644474378,734.1981369990166,725.1351292346699,731.1128540039062,9949971,384.127999416165,386.14219254747997,381.1290946866631,381.97955322265625,9743648
2024-04-02,731.0164660314755,741.1882078791733,726.3403165012812,738.9224853515625,15713063,383.76991837937226,383.76991837937226,380.0996349174438,381.2186279296875,9194659
2024-04-03,737.4762306009072,744.9001171021469,732.8965313153205,743.4057006835938,19136981,381.3529263895928,383.8594753883552,376.87695414075034,380.6367492675781,13152268
2024-04-04,747.2141506069232,747.5033830248789,730.9200378484845,732.0770263671875,15889530,380.9500915414978,382.561440456257,375.89225185348187,378.44354248046875,19065447
2024-04-05,730.7754145215962,740.1758501398218,725.6171914639816,737.3316040039062,9939620,378.21973637562843,386.4555320406198,375.9369803377719,382.740478515625,16768902
2024-04-08,738.5850021452578,742.3933956194346,734.4873762603453,740.7543334960938,9797174,383.4119029290598,386.18701510462495,382.9195470628775,384.1280517578125,8844633
2024-04-09,740.8990176998179,744.7556069687643,733.8124996099999,736.8013916015625,7465892,385.3365412299807,386.2764829149658,380.9500805003139,381.6662292480469,6967273
2024-04-10,739.0188603767406,752.7097629710994,736.2710642780829,751.118896484375,14530669,383.4118938770422,391.9162532244859,381.12913762155324,391.15533447265625,14547618
2024-04-12,749.3834123957522,751.5527435992136,737.3797679672235,738.8259887695312,14408722,389.4096539174515,390.08106107425925,383.411844554351,385.023193359375,18785009
2024-04-15,732.5590796729715,735.9335950981468,721.9052641714367,730.341552734375,11356572,383.14330901862525,384.1727906087181,378.5778251406515,381.2633972167969,9083087
2024-04-16,724.315633679616,727.8347947397396,717.7112484453821,724.74951171875,13338991,378.8911295886313,382.24810886947125,378.8463880225293,381.2633972167969,10357752
2024-04-18,725.0869303823578,732.7037172254089,715.3972622519597,718.0968627929688,14589648,381.35292440864043,382.1585846561629,373.87804738734405,374.9522705078125,22133191
2024-04-19,708.166151201757,725.0387279832828,705.8039786829678,723.5443115234375,10886554,374.19139799851746,381.5767644305929,372.4010259101458,380.2339782714844,17221280
2024-04-22,727.1116662441453,741.4292292520696,723.5443096786286,738.6331787109375,17452186,382.24809683901475,382.7852225858655,378.9806575358475,380.7262878417969,7386048
2024-04-23,742.7308138738571,749.8173315016863,738.1029188222026,745.2858276367188,12292429,380.72626885904805,385.3812638619412,380.5472174952533,384.217529296875,12484384
2024-04-24,750.5886207443748,750.5886207443748,742.5862104814081,745.3822021484375,7842615,384.2623095810225,385.6498655834832,383.4118793527575,383.9490051269531,6070285
2024-04-25,743.0201189674838,785.2015621323537,742.0559716951439,783.5625,36732974,385.82891540742,392.36382269137283,384.0385150815419,391.69244384765625,30337038
2024-04-26,786.647751919581,787.6118991537774,770.2572489382424,772.5711669921875,14964358,393.2142434359195,396.83978556705586,390.662952822937,393.8856506347656,15342965
2024-04-29,778.0668050277905,801.4473750673492,770.0643948867187,796.86767578125,27302732,395.67604109637887,396.07885703437194,389.05159426034965,392.2742919921875,12075706
2024-04-30,796.8676847564651,804.9182905797428,790.5043365839119,796.6266479492188,27449073,393.84085089564684,394.3332066804385,389.4991603284896,389.99151611328125,12528665
2024-05-02,797.2533767737393,804.0024074577941,795.4214734778877,800.2904052734375,19943724,390.3048759623476,396.2131457894124,389.27539438775926,392.9904479980469,24123523
2024-05-03,804.8701286023054,806.2199583180101,790.6007607867497,801.6402587890625,22667634,393.93042888789734,393.93042888789734,386.14221870213413,390.70770263671875,23786388
2024-05-06,805.0629516671522,806.0270989146577,774.2102397469739,778.838134765625,35283557,392.0952475427761,394.2884921290817,387.93260805370363,389.1858825683594,10753860
2024-05-07,782.8875831251004,785.4425969289771,764.7616262211365,773.1497192382812,16725013,391.11052780582645,399.25681198237896,389.5886904450738,394.1989440917969,26969062
2024-05-08,773.8245714766452,792.5290519594521,770.8357384934087,781.7305908203125,27908322,395.00464621540885,398.09306260698986,392.27430420837044,394.7808532714844,10916481
2024-05-09,782.7911700385396,809.5462560286481,774.7405052523084,790.4078979492188,49290254,393.930416513751,395.22843258972705,378.9806622581897,380.5472412109375,24314298
2024-05-10,797.3497596453622,802.2186913901453,786.3584576786101,788.0457153320312,20543142,381.8005259086496,390.6181892842415,381.8005259086496,387.9326171875,14524604
2024-05-13,790.456122787604,790.456122787604,769.9679931182314,779.8023071289062,15398505,387.8430593472191,389.8125109477641,384.48608019612794,386.5898132324219,7584217
2024-05-14,783.8517179173241,792.9147256484775,778.9345904580701,788.8652954101562,10912462,385.38127935657843,387.88782832259807,383.6356490674802,384.6651306152344,11423749
2024-05-15,791.5649295245947,795.7107511254447,788.7206832337843,790.8900146484375,9755062,385.60509663039625,387.84308286683984,382.02432432634987,382.96429443359375,7856433
2024-05-16,795.7107594941345,796.5303200119738,768.7628305348695,782.8394165039062,20536990,384.9337038883544,387.2612015462776,378.5778198017074,386.2317199707031,23911954
2024-05-17,785.297962171262,792.9629448421255,782.1162879060583,788.52783203125,12492509,387.08216474486596,391.64764839572535,383.9489785643487,390.57342529296875,11894830
2024-05-21,791.5649127770058,806.3163543151672,790.2150830532505,800.8689575195312,14037801,390.30487284063116,391.28958447059944,387.7983238293244,389.2306213378906,11175153
2024-05-22,810.2799344229562,810.3780018937406,797.5358302513197,802.6334838867188,19239277,391.51338645338825,395.63128444260855,389.7677560924288,393.796142578125,11036895
2024-05-23,808.4663420586099,819.0537392891404,805.8194777925474,815.7206420898438,17497488,395.13891666458176,398.2721029063194,390.79722586221516,395.0941467285156,27244733
2024-05-24,813.6620166705683,824.6905681013441,810.7210696223614,812.28955078125,12252075,394.78086674006835,396.0788828819043,389.6782569364502,390.4839172363281,13252938
2024-05-27,816.2108014350272,822.876995845969,806.7997949535047,817.2891845703125,12295193,392.81142470930064,392.90093621140824,385.56034049832,386.2764892578125,12282545
2024-05-28,819.2498532378913,824.151431802395,807.093914464433,814.7894287109375,13818893,386.81365590169696,387.17173031929394,383.36713643610324,384.0385437011719,9668761
2024-05-29,812.0935412900568,818.0244392460639,803.1726326134542,806.4567260742188,14518232,380.905302219086,387.08216305407205,380.905302219086,385.78411865234375,10832067
2024-05-30,805.2313320096405,819.5439171556648,803.1726331596147,809.5936889648438,17818705,383.59092107640083,385.78413731361627,378.0854671434653,379.4282531738281,21314885
2024-05-31,814.3482733523172,818.5636189442075,801.0159437782618,814.005126953125,22267336,382.02430017549347,384.53084914126174,379.7863140805311,381.7557373046875,29300711
2024-06-03,846.5516101706216,894.0479177688353,839.8854753820721,887.8229370117188,64269020,388.514477016602,389.3201656528504,383.725200249957,385.24700927734375,16116836
2024-06-04,879.3431739398783,879.3431739398783,717.542081270305,759.9407348632812,122381193,388.3822180405629,388.6557312027862,367.2764561221505,378.535888671875,47791986
2024-06-05,775.1846003180706,779.3509418310036,729.4038474915685,774.2042846679688,74256082,384.7354289238378,397.499184347516,381.13424920337036,392.3025207519531,28197030
2024-06-06,784.2525339544707,816.9460375302097,780.3312712846982,800.868896484375,40555649,397.4991442097778,399.04900387392235,393.0318302625804,396.9521179199219,32318523
2024-06-07,803.7608761709042,815.1325144961712,794.545884544975,813.613037109375,25061284,393.30540065100246,402.6502707286166,393.0318874662661,400.37103271484375,29543660
2024-06-10,817.7303524667053,828.8079077389773,812.877777859861,815.4265747070312,16725508,401.14593572253284,402.05763661284067,397.36240447731143,398.3196716308594,11872688
2024-06-11,819.5439372413512,823.0730498797147,812.730731059502,819.102783203125,14754408,398.4108722591482,399.1402214325666,394.0803145887873,394.7640686035156,13158571
2024-06-12,820.5242466911467,828.905934018559,816.6029838634709,822.5828857421875,15071442,392.5303996702627,396.04041761505835,392.2112913693166,394.1258544921875,10751658
2024-06-13,828.3667754966601,829.2490835697314,819.6419417384134,827.2884521484375,12523972,398.3196949708831,398.3196949708831,391.8010895670423,392.3025207519531,9641349
2024-06-14,828.3667270254315,833.1702976600134,818.6615781244269,822.680908203125,12903496,392.9406665240471,393.7611770597148,391.1628599867876,393.0774230957031,9572809
2024-06-18,824.9846443812804,834.7387973148866,823.7102459704445,828.2687377929688,14929083,394.7640665251691,395.8581191738071,390.38794261342787,390.8893737792969,14641141
2024-06-19,830.1313196004876,843.6596642417119,824.4455005291003,835.817138671875,32925140,392.0290022211883,392.71275624893684,385.6927197561344,386.23974609375,11329972
2024-06-20,836.209277488426,836.3072851232247,825.7688915323681,827.141357421875,13985352,386.6044066765355,388.8380493170652,384.2795737201941,385.9206237792969,15147549
2024-06-21,828.2687636644131,831.3567222370788,812.2895697948148,819.8380126953125,18990090,387.47051347196447,387.74402663160475,381.5900672225091,382.54736328125,26176371
2024-06-24,815.1325081138934,819.543928783181,804.8881970373593,816.3088989257812,12715254,382.9120368199867,386.5132163607238,382.9120368199867,385.9206237792969,9723008
2024-06-25,820.5242410117988,829.2000110244921,817.8773766546938,825.6708984375,20917530,385.64711062040146,386.5588115186297,382.68411881899715,385.9206237792969,10655609
2024-06-26,823.3181026095383,832.0919399410025,819.5439111626723,828.7098388671875,16281760,385.6471083760463,388.74688563312844,384.7810026407644,386.5132141113281,11511714
2024-06-27,827.288405942117,830.7195107377448,821.7495985528304,827.3864135742188,20378887,386.51322519909763,389.5218411214756,383.9149079187151,388.0175476074219,38438054
2024-06-28,830.2293784821371,846.992752780768,827.386439058991,832.239013671875,23636388,387.9263614555754,390.2055993306075,386.1029884921122,387.3793640136719,18554411
2024-07-01,832.6311314704473,833.7585184800706,823.4161996179325,825.3768310546875,10967797,388.6557165788598,392.25689602791135,387.1513942432347,391.1628723144531,13391362
2024-07-02,827.3864282167037,829.6411422984175,806.9468703630849,809.8878173828125,21142840,392.0290008128207,392.6215934135948,385.2368534593977,387.9263610839844,11177863
2024-07-03,812.6817296590598,827.2393941277866,808.760466789776,823.4161987304688,23598009,388.4733708395652,391.70987576739714,387.9263445272619,390.4790954589844,7435499
