,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-01,679.0819357370663,683.1528519736394,673.4900624593615,675.3241577148438,14004468,1866.4580504117255,1880.1464732577829,1854.4052770234578,1866.11376953125,1354908,631.5614994346679,635.857836165516,629.456283947449,633.151123046875,2112415,604.345388393747,606.1923924015477,601.7406554576465,605.5293579101562,3673698,522.1845425843054,524.6992064121995,518.1223433733362,519.1378784179688,7642793
2020-01-02,676.3978391555818,689.3487293284268,676.3978391555818,686.8211669921875,17710316,1876.7458731803315,1876.7458731803315,1850.2728178841435,1857.5474853515625,2380752,634.9126441731436,636.5452206149837,628.0385056083046,631.3037109375,5658200,605.7188543538712,609.9811449630853,605.7188543538712,609.38916015625,6137166,518.4125936103889,524.119024503782,518.2674918462116,522.8616333007812,10264223
2020-01-03,685.7923126356704,689.6619561224467,681.3187895160008,687.6488647460938,20984698,1863.0147774616473,1913.808618436803,1863.0147774616473,1894.567138671875,4655761,630.6162539816314,642.7319011943908,630.6162539816314,641.0133666992188,7882938,607.2342686142049,608.5603376104458,598.4255468849254,600.6987915039062,10855550,520.3469814526062,523.0550952001441,518.6544029813384,521.1690673828125,9594690
2020-01-06,679.976780464453,683.510829151107,670.1349935917717,671.7007446289062,24519177,1898.3117244642015,1916.3477960907423,1883.5900392622323,1894.39453125,3023209,641.0993168830549,647.7156856371781,632.8503717126638,634.86962890625,6519403,596.720662743602,597.5731439576414,585.3545548818191,587.6987915039062,10890186,519.6215047447083,519.6215047447083,506.6128205532662,508.45050048828125,12534334
2020-01-07,679.5293205694625,686.4633346701793,677.0688889990518,682.0345458984375,16683622,1894.4379793079524,1906.619807257736,1880.0607824197052,1899.0439453125,2429317,634.1392102944898,638.0918185403439,623.0546421444718,625.4606323242188,7899363,596.1997455707353,602.143238298382,593.0503748607391,597.0048217773438,14724494,513.866772253729,518.0256672258183,504.53344711196837,505.742431640625,16101835
2020-01-08,677.7399630034671,686.440941615489,675.5032015883575,676.912353515625,16047902,1898.3116656837171,1945.6618432858052,1895.7720163763395,1941.572509765625,5197454,622.9259094170285,626.4059318828291,608.6190862908794,617.1258544921875,8639443,590.5402756575533,597.7388448014235,587.2725661329978,595.4419555664062,11332110,499.0688234471546,510.0463795747278,498.10163580481515,508.6923522949219,16094310
2020-01-09,688.2975664742811,693.397366317632,685.0095250542222,692.502685546875,14982742,1935.976876542589,1938.7317543524014,1902.6165190257352,1906.361572265625,3734173,620.1332193947744,628.5540284252443,613.7746204119936,625.159912109375,13521186,599.0886549789353,604.2034270944675,598.1888264645892,602.11962890625,9546316,513.286469844567,529.4385145307168,512.8995711925547,528.3745727539062,18934019
2020-01-10,694.247234586273,696.9537331994524,688.7671661721967,692.3460083007812,12478359,1918.1129947927036,1923.2784696440306,1900.8947452882808,1905.6728515625,1915807,636.2444315832944,638.3496467880162,627.694712147083,634.2681274414062,9341405,608.1341649432716,609.4602340876271,603.871874164867,607.4711303710938,9214580,527.0205169871746,528.5679934465019,520.8304930849795,522.5230712890625,12335407
