,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2024-02-02,1422.6455164089482,1464.0639387350582,1422.6455164089482,1446.990234375,19652588,717.8614898495053,720.7085896391353,701.8252179588541,703.8206176757812,44867754
2024-02-05,1450.0177530325548,1459.6961190035063,1421.007495677393,1428.452392578125,8814432,703.7476277670278,706.6190857097415,697.931756543557,703.1879272460938,38605046
2024-02-06,1431.256637826339,1431.256637826339,1409.3934322746634,1417.3099365234375,9047984,703.5285448598157,705.5482430083341,697.2259293320517,702.8228149414062,41075740
2024-02-07,1425.3752031215413,1438.8504181404362,1418.7491963623445,1431.554443359375,9296568,707.1543478186637,707.5437201567751,694.330191039234,695.9362182617188,54837086
2024-02-08,1439.3467435794867,1448.752105824393,1417.0368932886952,1439.4708251953125,14694634,695.8876252029665,700.3164537570308,681.6034099643059,682.844482421875,69106124
2024-02-09,1443.31729322881,1461.1602045826953,1440.2896534634558,1450.0177001953125,12556798,677.5395328507874,688.2709172654594,675.033089526087,683.112060546875,56642124
2024-02-12,1450.017752117624,1450.2659153474917,1431.7529141646626,1441.679443359375,6674430,681.18969323455,688.0032934481292,673.2566920790741,676.4931640625,34447812
2024-02-13,1444.806250056761,1468.1335924657844,1443.3172707540573,1454.335693359375,7715594,677.4422211445823,683.4771364619307,673.7434212435891,678.658935546875,57580994
2024-02-14,1446.7916226083244,1472.749520552248,1446.7916226083244,1470.4912109375,7117888,669.6795681971766,677.2231970540489,663.6203545889955,673.597412109375,91320810
2024-02-15,1472.4517353218182,1473.8166331337911,1455.7503978374216,1459.79541015625,10006782,674.0597534612269,688.903668609651,673.7433958465795,688.197998046875,41584944
2024-02-16,1465.6271998466532,1466.1483668657747,1447.8339689108675,1449.843994140625,9767498,692.9918479710976,694.8412181662663,685.4725175238648,691.0451049804688,32175742
2024-02-19,1451.3082561823699,1468.6300012389227,1442.8458657695369,1463.17041015625,6729828,695.4738838784058,695.4738838784058,688.7575972750415,689.6823120117188,34451756
2024-02-20,1464.1878968342883,1464.659382736365,1451.0600862084646,1460.21728515625,7117496,688.6603356526384,709.222808572302,687.102965017942,707.787109375,56133508
2024-02-21,1463.170510366537,1477.5888193115914,1446.8414171157522,1456.916748046875,12720292,712.5079475266035,712.5079475266035,698.3940605878935,700.413818359375,45893136
2024-02-22,1457.36346935178,1474.0399663973683,1447.2880175600008,1470.863525390625,18493728,689.9987587340186,695.3766603212918,687.2976289140083,690.8748168945312,50560882
2024-02-23,1478.556551746289,1486.5474563697878,1472.4517119404402,1482.6512451171875,14438584,692.334815015207,697.85868621692,690.1203711604371,691.3857421875,29833452
2024-02-26,1482.5768223248915,1483.5446346905887,1471.607959051116,1476.3974609375,7513106,687.9546346452112,698.3210050066913,687.9546346452112,692.213134765625,23506870
2024-02-27,1472.1291493159843,1488.9297276070065,1467.1907251784094,1474.73486328125,10826044,687.9546948776648,694.3545652339111,687.7113519923358,691.1668090820312,32087150
2024-02-28,1472.1042938560004,1480.3185210789975,1439.5205099276588,1444.930419921875,8647950,691.1667470533215,693.1377886016653,683.3067606806109,685.9348754882812,25321986
2024-02-29,1454.2365988812116,1468.1088998815815,1443.8385832706604,1450.0675048828125,23628976,682.3820552900959,686.4215706434694,680.0459994144303,683.0147705078125,53295700
2024-03-01,1452.7475417409498,1488.979373154373,1451.7548888255137,1481.1622314453125,12132926,681.360036052442,697.2989940386686,681.360036052442,696.3256225585938,34738898
2024-03-04,1479.5243736818861,1501.337897909408,1476.2982516112518,1496.3250732421875,10024420,696.422958130924,699.3674307159147,693.186545384466,697.274658203125,35616474
2024-03-05,1494.712091681268,1496.3251528023525,1475.1320355384912,1489.177978515625,7107668,692.0671354112525,702.2875361451739,691.8968072809968,701.2411499023438,37991672
2024-03-06,1482.4773919378927,1497.9131926576536,1467.6372798835923,1491.957275390625,7805676,697.6883641851937,707.0813632922424,697.6883641851937,702.0928344726562,42409530
2024-03-07,1491.9325571368477,1492.056638756749,1464.7091224345347,1468.059326171875,8315726,703.5042650748312,706.205394802925,701.5088653436588,703.7962646484375,49348046
2024-03-11,1478.060279979328,1478.060279979328,1452.747629113329,1455.8248291015625,11277130,695.9605773947812,703.7231908402335,692.553777365576,694.889892578125,50531094
2024-03-12,1455.8247263461558,1477.0675227494196,1454.261346490045,1464.5849609375,9432678,697.9073192338245,712.5078907659129,695.5955620745772,710.3421630859375,65418454
2024-03-13,1468.9029635812572,1472.2034859914554,1417.2850129833478,1421.6527099609375,13522134,713.2379447418698,716.2067158438075,705.7429725398497,710.755859375,63067454
2024-03-14,1429.1223094125826,1437.8825438227764,1415.0266869213976,1420.957763671875,18571102,711.5832127948388,713.4812990740788,702.9202422173576,708.3467407226562,52432158
2024-03-15,1415.4733954219128,1422.694969713975,1402.5193474045138,1407.80517578125,19223818,705.6943406988961,710.2205419583659,701.9225261192986,706.9840698242188,143613804
2024-03-18,1409.56727675182,1431.1326391984185,1406.1178317705178,1428.899169921875,9169392,704.2342392927528,708.6144107880084,698.7833829737194,703.7719116210938,21437856
2024-03-19,1418.252849649116,1427.0378036957165,1406.8373411480031,1414.778564453125,8275764,698.6373444116205,706.8623448833252,698.6373444116205,705.3779296875,36183594
2024-03-20,1417.4587350761735,1434.3835163859578,1413.562644941621,1433.1427001953125,8488806,705.2319615530049,706.4973325344582,693.3568181834665,696.4716186523438,43606094
2024-03-21,1441.8532357214951,1447.1887452733042,1434.060934378195,1440.3145751953125,13006936,702.0928435492851,706.3026871236781,700.0001304926251,703.6259155273438,28922860
2024-03-22,1439.321893152815,1449.2732629085037,1436.716179238339,1444.3348388671875,19527608,701.3141208411934,706.0593065998343,699.7323922549797,702.2144775390625,45980326
2024-03-26,1434.3835274360674,1441.7291835759677,1428.4276096750873,1430.983642578125,11415906,694.597800363169,699.8296715860995,692.1400732485544,693.7218017578125,56844290
2024-03-27,1437.3613782559069,1488.979328303771,1436.368725370371,1481.8818359375,16326644,692.8215385852401,704.6966236214441,691.7021375713913,701.1681518554688,62168668
2024-03-28,1481.90676076149,1494.8856495085238,1467.786296896486,1474.933349609375,21854364,701.1681292352769,710.8045307526719,701.1681292352769,704.6723022460938,55592142
2024-04-01,1481.5095896793896,1482.9985690062601,1471.60790139039,1473.8662109375,5013880,709.5878149173326,717.2774734382766,708.4197572494843,715.67138671875,25199570
2024-04-02,1473.0968689675985,1483.0233977342266,1464.1629930776332,1476.025146484375,8910166,713.0676337207477,727.5221766350272,712.1429189199621,720.367919921875,41225446
2024-04-03,1471.186101560143,1473.5436523631188,1458.1079713887636,1460.7880859375,7008292,716.450076374618,727.9115494819865,716.109420115624,721.414306640625,45584386
2024-04-04,1468.8780939901114,1468.8780939901114,1439.3466709144527,1452.1767578125,14490272,731.9754091764817,744.6292393883092,731.9754091764817,743.461181640625,88935066
2024-04-05,1450.1417667351745,1459.9938949751336,1445.3025839763254,1449.3724365234375,7442298,749.0093625181328,756.5529915753328,744.7022055513205,754.1439208984375,59055902
2024-04-08,1452.226356281804,1480.0206375610207,1450.2658910334067,1475.057373046875,8357118,756.7720051664586,757.8914061879058,750.2504634550537,752.7081909179688,20482940
2024-04-09,1478.060211901015,1478.8543827139295,1451.7549092714805,1452.896484375,7071414,756.7233110790663,756.7233110790663,749.6420692068525,753.6572265625,21884494
2024-04-10,1455.5766564963697,1476.0749645358123,1455.5766564963697,1468.7044677734375,9138330,754.3142198543229,754.3142198543229,746.0648611390807,747.7196044921875,27807400
2024-04-12,1465.0317226594827,1475.5538200544618,1452.3257159957793,1456.370849609375,15551012,740.2490112702176,744.5561681914903,736.5745101656407,739.2512817382812,41084208
2024-04-15,1450.2658952456557,1471.2356878788278,1435.6986653849476,1454.062744140625,12902062,728.8361984614614,734.8954117012732,726.1594270943376,727.4490966796875,23415248
2024-04-16,1442.6720371000315,1460.3661473678603,1440.2649265731254,1454.98095703125,9366184,723.7017589124875,736.3069325670494,721.3900014445425,734.530517578125,20744886
2024-04-18,1452.7476380801534,1475.0823301585979,1448.628103973215,1453.5665283203125,19005692,734.7980983246009,739.2025682918519,725.6727413912242,727.4490966796875,34234884
2024-04-19,1446.0720814485837,1463.1705049395248,1432.4231028577299,1459.323974609375,15741778,723.4827148610226,747.0382572891224,720.4165709168466,745.2619018554688,34576434
2024-04-22,1461.6317610616636,1471.9305352298081,1457.0160218672338,1468.9774169921875,10350362,757.9643557818745,757.9643557818745,734.0680986992392,735.9661254882812,42298438
2024-04-23,1468.1337674689391,1482.5272357774581,1444.8561033979943,1448.603271484375,14605554,742.8284760660457,742.9257894510552,731.6103458842442,733.7274169921875,26827060
2024-04-24,1452.7475596039474,1457.7605053579202,1438.8504186169605,1439.5205078125,10462776,737.3288649584306,740.613993564681,734.4331086916868,735.7227783203125,22441580
2024-04-25,1431.9018276580116,1457.189636393573,1430.9091747445573,1449.2484130859375,15943926,733.0704121681982,739.616311752735,733.0704121681982,735.260498046875,35445204
2024-04-26,1453.194198141131,1454.236532179651,1439.3467383348082,1441.8780517578125,9413848,739.6650141563123,743.6558134751455,732.729742335618,734.7981567382812,24854694
2024-04-29,1439.3467183436048,1457.1152296530197,1439.3467183436048,1454.2613525390625,7247974,737.3289207914913,746.7949349875348,733.216449914726,744.3858642578125,36093350
2024-04-30,1457.214576809603,1472.178772035999,1452.1272302795285,1456.221923828125,11474262,744.2397410284531,749.2526274508922,737.2801712358929,739.8109130859375,52307382
2024-05-02,1461.1850562736174,1466.4708844514234,1453.3679147531318,1455.775146484375,14512646,740.7356535814621,748.0359392606487,739.9326102747762,745.7241821289062,33475006
2024-05-03,1460.1925152681529,1464.1134460205978,1405.7455242326487,1423.46435546875,17226958,746.2108374978702,749.7879654532404,733.532651453262,739.5675659179688,31865242
2024-05-06,1424.9533097670264,1429.4202480421582,1407.5818831415143,1409.095703125,7394208,740.7357053714223,746.819277196089,738.3752913854279,741.0520629882812,28793396
2024-05-07,1405.571689953147,1410.311631866643,1381.772860502106,1391.17822265625,14517472,740.7113274497933,741.7334150168236,732.0483570497901,733.021728515625,28480602
2024-05-08,1387.2324157830615,1422.42191231512,1387.2324157830615,1408.1278076171875,9439002,728.0574791574124,728.5441648774708,720.465193806477,721.5845947265625,41687862
2024-05-09,1402.6185253372132,1413.2895438420787,1379.7875090012217,1383.8822021484375,11009612,717.83709973452,723.5800151607533,703.4069152466064,704.4776000976562,46281278
2024-05-10,1386.4879762578594,1399.6406275450738,1377.8766636438304,1397.0845947265625,10505096,709.9042250216206,716.2928456267198,703.8856031439476,709.361572265625,27276608
2024-05-13,1389.6149314683873,1396.6379028351905,1373.8317248456565,1392.394287109375,8456620,706.4509373389452,720.1655815796556,705.6122976051453,717.9208984375,27047202
2024-05-14,1390.681954289976,1416.5901722719507,1389.7389824487905,1409.6416015625,7188300,716.4408878596623,722.9775322143812,715.4789152317669,720.7328491210938,25665142
2024-05-15,1410.063563528233,1419.468926315315,1402.6435067088078,1405.86962890625,5046534,720.116199874965,720.116199874965,708.3256213801538,709.6575927734375,38931996
2024-05-16,1408.1278405018506,1417.0120356183081,1387.75361519461,1414.8778076171875,14711774,713.3822271543565,721.5221990437014,708.1775543730138,720.3875122070312,34945236
2024-05-17,1412.5948920294334,1426.6408349602225,1402.8668442157614,1425.15185546875,10916476,713.4562165510583,724.210870736283,713.4562165510583,722.286865234375,20920190
2024-05-21,1415.1260338425998,1431.231803864575,1415.1260338425998,1425.57373046875,11176128,715.3801590157026,725.0494465734148,715.3801590157026,719.6721801757812,43769978
2024-05-22,1425.722543020764,1457.9837617014118,1425.722543020764,1449.91845703125,10281604,719.203521164468,723.0268413842214,714.4182283327197,719.8695068359375,39996278
2024-05-23,1447.8340020088174,1481.2615172416956,1444.3100355832012,1475.1319580078125,14608260,719.5982164877166,737.8514873644924,718.808897899437,736.3468017578125,40861920
2024-05-24,1472.724715385057,1477.5638984586112,1465.2549777906743,1469.37451171875,7094776,733.8308615274302,749.814819731989,733.0908640200075,748.4827880859375,31060206
2024-05-27,1469.3497180106694,1473.990419113941,1450.8119965034373,1455.4774169921875,6629010,751.5168000055969,762.1974428837648,749.3955099218479,753.6627807617188,29385440
2024-05-28,1457.2145743340495,1467.637430621861,1442.0766163922278,1445.501220703125,7820162,754.846722684579,757.7820820455768,752.2321011517142,755.0440673828125,27908904
2024-05-29,1435.8724890871501,1447.287997987601,1427.8815843874524,1430.1895751953125,7383556,748.8774560751649,751.763434227272,740.6141508121484,744.0921630859375,35147706
2024-05-30,1424.9532474164846,1429.817270893488,1409.6663684202383,1414.3814697265625,13206858,739.6027730570852,751.6400771573121,738.8381451452329,747.3234252929688,33755350
2024-05-31,1420.7841589242364,1431.653659822201,1411.800601617005,1419.8907470703125,31069832,749.370736784836,757.7573743920395,746.9040786650703,755.5620727539062,74079588
2024-06-03,1472.1043222829317,1503.3728901534053,1448.2806515244756,1499.228515625,21527942,788.8372786068238,788.8372786068238,764.6640286682782,775.615966796875,72637256
2024-06-04,1487.0437791255476,1487.0437791255476,1349.3131842665355,1387.0091552734375,36709098,768.1174071283333,769.1040704644005,717.3042453208712,731.6848754882812,89531240
2024-06-05,1411.5524616660985,1420.6352601794422,1373.9308915121778,1410.3116455078125,17464890,737.062160780223,769.4000136473305,731.2901444599279,765.5520629882812,81631650
2024-06-06,1424.4569533735907,1433.0929853880773,1410.9072166555904,1421.0819091796875,17855722,772.0147015010076,772.2859977724349,762.9867083301413,769.4493408203125,46422870
2024-06-07,1418.004611799037,1461.1850112482903,1416.0193060772324,1459.1500244140625,18558696,770.115345809898,781.6099363682906,765.675361251112,776.1832885742188,36712216
2024-06-10,1459.150058153404,1482.3781598703026,1457.2888339961758,1460.5894775390625,9251760,776.5040577255814,779.784725413951,768.4134061980604,770.23876953125,22454058
2024-06-11,1458.20717740815,1462.847878399236,1443.9874724286744,1445.9727783203125,11774902,767.6240504407497,775.0240252200629,765.7493660748642,771.9653930664062,29545326
2024-06-12,1446.7915758989445,1465.155654220818,1444.4837064170613,1452.57373046875,10081742,776.9973227739393,783.5586575880445,772.7546827700062,776.5780029296875,39280436
2024-06-13,1461.1851486521073,1461.433311890669,1449.3725542618724,1454.4847412109375,9181160,780.3273770852536,782.2760131134276,776.5040566032491,779.8340454101562,24120192
2024-06-14,1459.199879544848,1468.8038455887872,1446.518713499826,1466.6944580078125,8157998,781.4373401835603,788.8373149959045,778.329326673916,787.8013305664062,25540554
2024-06-18,1476.4224025999808,1476.4720837189377,1460.5399547367645,1470.1439208984375,7196766,787.8012622589033,794.5105601294592,784.1259056214269,793.1785888671875,32415714
2024-06-19,1476.571240472528,1476.571240472528,1445.3026730272272,1447.9332275390625,8725874,795.941305047812,823.8145435842582,791.3039754417663,817.869873046875,90131196
2024-06-20,1448.2806091505108,1471.9553570393568,1439.4459739347105,1462.87255859375,16113776,823.7651872236406,829.5124525875813,814.983860042712,823.5431518554688,41408742
2024-06-21,1462.7982011333013,1463.8652545834836,1429.9909727182371,1443.515869140625,31170360,825.2698546527171,825.2698546527171,810.6179284522095,821.7672119140625,51630776
2024-06-24,1434.9045699529108,1438.8503408924523,1426.9385064042085,1430.88427734375,8878386,812.5172157896385,826.3798229097616,811.9005512360641,825.0478515625,28544994
2024-06-25,1432.3982039886682,1445.2282918111714,1430.4128980926341,1443.46630859375,7045386,824.4065232844747,847.025767804676,824.4065232844747,844.2631225585938,74521548
