,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,889.6095123241837,902.1468540671391,885.2338830875444,886.9795532226562,19604141,2808.650389676699,2853.307534257828,2781.3990087439984,2792.739013671875,2658751,762.4764131313533,771.0009941477288,751.4417934690837,763.3525390625,18421366,1150.4907792397423,1172.5868003058606,1142.523836448464,1149.3023681640625,7965949,610.6338012797704,622.0950085135672,607.9740356688493,612.5681762695312,27155615
2021-02-10,885.8913937556059,899.9477267102546,873.8980819416108,895.2093505859375,21234156,2799.859632248991,2830.099788583551,2775.5092476017694,2824.737548828125,2127983,761.6950206892861,764.7733417696696,742.112174301666,749.0975952148438,19788006,1140.7192678958165,1148.2459431730363,1129.979294062902,1141.33544921875,5951207,612.5681705304688,617.2590652561544,605.8462647299784,611.4075927734375,23967387
2021-02-11,897.7938959649373,935.9728593397923,894.2798277886045,932.11865234375,42539278,2826.2320039574233,2830.012077244088,2799.9036958644483,2818.3203125,1165882,749.2160085200398,756.6987199722709,740.7861213301096,744.6458740234375,13648618,1134.7328543695958,1140.8950964026346,1129.494991625902,1137.946044921875,4673317,606.1847931105234,612.8100041729464,603.621722506333,609.9568481445312,16072702
2021-02-12,932.0279220969353,942.2301071014969,913.8453084946966,925.7252197265625,30497029,2799.156502953269,2853.043957554055,2797.2225767792333,2804.95849609375,2777404,745.3799133148704,754.1886355811185,744.9536726964518,749.1922607421875,9910106,1148.8181202738297,1165.3241277490283,1145.7810578827875,1153.043701171875,5797875,609.2314742026796,628.5752256105127,608.7478804174838,626.3506469726562,19049709
2021-02-15,928.6499377082844,934.6578975884943,918.1983447144302,921.6444091796875,15791099,2820.9577592450128,2820.9577592450128,2752.8732965739478,2760.169677734375,2630853,757.7877914152841,769.5801386403439,756.177581409158,765.6019897460938,10355244,1162.0227926096593,1169.4175046002792,1150.6666392805976,1152.9114990234375,4363513,633.5078437351505,654.592520468244,630.6062810920887,651.8360595703125,27155194
2021-02-16,924.8864053509033,942.8649480322981,922.7325927047402,933.8416748046875,21421660,2769.0924397531107,2784.6080623380185,2725.1385915030614,2732.87451171875,3435770,767.7806058448106,777.1576684792043,761.742360705804,770.3616943359375,13897358,1156.740993838117,1161.8028360866476,1132.0920228887508,1135.9654541015625,6896421,651.3040827963591,657.1072077668081,628.2366256193608,636.7478637695312,24966739
2021-02-17,934.0684536675998,950.3693317941866,929.8062237379862,944.6107788085938,23742994,2729.622410783274,2754.016800502436,2677.273326137925,2701.491943359375,3678426,767.2122372237433,768.0647183895073,749.6894885957936,751.3470458984375,12794426,1135.9653611845283,1139.574653000407,1122.4084067790798,1127.9544677734375,4575741,633.3144450813422,643.1314230886578,628.0432607182878,635.78076171875,21684753
2021-02-18,945.4041756996926,956.014443525895,933.6602717704307,937.559814453125,18646877,2694.371338409791,2723.292889441269,2664.482716711281,2687.646484375,4189909,760.5584237121387,760.5584237121387,733.1140295170923,736.09765625,14720560,1123.2886719085736,1149.6982801822862,1122.4083516327833,1137.7698974609375,6437551,628.6719275027538,630.9932013095881,616.6787778881848,623.4974975585938,27845347
