,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2024-01-29,410.4091679616553,411.62445333286826,402.8473289174317,404.9178161621094,18557346,3564.430891857951,3582.436811190723,3545.7216145125103,3564.618408203125,1646747,1567.7135599982494,1581.0825992301918,1551.1904544983925,1559.663818359375,4253785
2024-01-30,402.39722834938993,408.4286625499114,393.7551388834062,394.34027099609375,45190319,3570.6673355072853,3608.5080891700763,3551.4891523141855,3564.196533203125,1411621,1565.1715194029991,1591.109474259052,1551.8024798505812,1554.815185546875,4995943
2024-01-31,396.09568649125384,398.3462296781842,394.92539376306877,397.49102783203125,20648695,3574.1845587520775,3595.5666912836496,3560.3518491285945,3578.63916015625,2459358,1551.8024734029086,1569.690686352798,1542.2463787626282,1563.7122802734375,6763779
2024-02-01,397.89611814582366,403.0723501713392,395.46551903791453,398.706298828125,19903526,3582.436989907515,3662.057029330496,3568.4167652804376,3614.463134765625,2363107,1562.4411142962754,1578.8699777539653,1553.7793853545775,1560.08740234375,5760011
2024-02-02,400.5967720892722,402.5772455250547,395.64558849981586,396.1856994628906,17816750,3634.063444426215,3736.612908383376,3631.2030759637855,3719.638671875,2826510,1568.5608388941694,1617.941672001784,1567.5722338568344,1594.2633056640625,7858483
2024-02-05,397.89614186901326,399.381496983877,392.98995075808165,394.34027099609375,12505666,3735.300332044272,3771.8749524182936,3715.700178349996,3726.20361328125,1691523,1595.5815235195898,1601.2304328815121,1583.4363454059862,1588.4732666015625,3634135
2024-02-06,396.095655967197,396.90583661619564,386.6433581922035,388.3537902832031,19487043,3748.4294655539775,3891.820633736524,3741.864790482955,3878.78515625,4474396,1588.0494991796102,1631.5931715300217,1575.9984476716934,1628.2508544921875,7694265
2024-02-07,391.59456333742565,391.59456333742565,387.8136442911793,388.7138671875,13376903,3894.7280181656797,3896.603639652877,3820.594033092657,3829.456298828125,2124267,1627.8272320398985,1627.8272320398985,1588.1436244214153,1594.639892578125,4613877
2024-02-08,392.08703057366546,392.17841802252724,373.4423399489455,378.88037109375,50039587,3835.6453902535327,3899.416511656281,3831.9410841400536,3877.0029296875,2345173,1598.6412091518757,1606.50258433862,1584.3306859949523,1593.08642578125,5919715
2024-02-09,374.81326995012324,387.7000589587421,373.4423423447581,379.7486267089844,33527317,3879.300079304082,3924.502731351536,3845.023286586128,3876.627685546875,2100596,1586.1194941932167,1593.8397389846994,1562.6766131725003,1571.667724609375,4600004
2024-02-12,381.62222138780527,382.0335083512696,371.1117379944829,371.8428955078125,11326971,3873.1582239962727,3900.917512535836,3850.2285690197773,3864.436767578125,1013716,1572.6092188693096,1593.8867538003944,1572.6092188693096,1581.7886962890625,3555808
2024-02-13,371.88859101113314,375.4530199742445,368.5983533476318,371.7514953613281,16207766,3868.891634867096,3910.670921618945,3827.6746682464563,3891.44580078125,1257415,1584.518924068217,1590.2619583832927,1566.1599704025425,1585.978271484375,2696481
2024-02-14,371.0660668579939,376.7782893667236,369.60372283348534,376.1385192871094,12618012,3851.5882333641575,3858.9968457118357,3797.6641224758114,3845.117431640625,1391283,1563.0531172122069,1571.7618521594686,1539.7984871618103,1568.7020263671875,3768579
2024-02-15,377.4637723618133,378.88040830490235,368.46131120221764,369.14678955078125,21169031,3871.2826692770527,3888.444422362778,3829.081186690457,3848.025146484375,1091582,1578.870044759722,1588.9910065851047,1564.3711555313787,1578.258056640625,4834391
2024-02-16,370.15210830847485,374.31059937497434,365.0339476322224,369.7865295410156,38963810,3857.4498528668705,3889.9920672478725,3845.1177337734257,3871.563720703125,1307556,1590.1678309849335,1608.997527029752,1589.1792259716428,1602.07763671875,4880654
2024-02-19,370.1521077273739,377.23525788833905,369.78652896048857,374.0364074707031,17602580,3866.640013196389,3871.563519103643,3802.822181698031,3848.587158203125,772291,1605.2316136506747,1611.3512649637125,1588.943880338882,1600.288818359375,3690993
2024-02-20,375.133187013915,375.133187013915,369.5123517065761,371.157470703125,14626643,3828.236868254403,3843.1479657037125,3760.620630178596,3779.986328125,1193648,1586.4020799433968,1595.110815397092,1571.1029500923107,1586.637451171875,3706389
2024-02-21,371.9799904971458,374.8132620636199,366.77044253364437,368.6440734863281,20162369,3763.434169375059,3810.653027573639,3733.0491956484493,3743.271240234375,1885939,1576.0457659509111,1576.0457659509111,1549.0251945486223,1558.6754150390625,4300508
2024-02-22,371.88862598407167,379.4287715687956,368.73548367384933,378.78900146484375,19321180,3724.0463538039667,3840.287946278356,3724.0463538039667,3832.92626953125,2982052,1567.5722005233338,1586.0252797181995,1548.1776365233488,1582.9654541015625,5841277
2024-02-23,380.1142172699116,380.1142172699116,375.1788603578767,376.0014343261719,11576964,3873.1583931027276,3873.1583931027276,3794.757322908657,3800.10302734375,2538072,1597.6997014214783,1599.0648084069708,1574.0684559887509,1578.728759765625,5373072
2024-02-26,375.7272290145601,377.5094435802666,372.254187332029,373.99072265625,8289561,3785.0037308931537,3798.133079811019,3735.065314473416,3752.227294921875,1379284,1576.9400103998594,1576.9400103998594,1548.742584990576,1563.006103515625,2782438
2024-02-27,374.7218905950383,377.2352627534842,373.396642202815,375.7729187011719,8083518,3750.3047523909354,3867.5310824856756,3750.3047523909354,3849.14990234375,2960475,1563.8063128021718,1573.315286661556,1556.0861831168934,1566.254150390625,5159088
2024-02-28,375.77291141482976,376.86967667427535,371.7972242470729,373.16815185546875,8949664,3840.8976823678586,3896.509674983892,3834.7080400231876,3862.795654296875,1939225,1572.2796869156693,1589.0381630824766,1564.7949283890164,1573.45654296875,3188916
2024-02-29,373.8079027018121,375.68150463575023,369.6950911223243,371.3402099609375,15468800,3844.0863254782985,3880.754817970432,3811.778790417747,3840.428955078125,3772719,1567.5721783829442,1583.8127910418666,1556.5568522895687,1575.951416015625,7814722
