,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2025-01-23,1264.9478840486133,1272.2686211078578,1256.581275301743,1258.6231689453125,8720682,1804.5941442893445,1825.5247642701754,1799.446438649042,1811.8299560546875,5907471,832.2505181334424,832.2505181334424,814.6139111249832,821.347900390625,34909158
2025-01-24,1260.9638702056575,1267.9360243063209,1238.5533748820974,1241.34228515625,14235970,1811.8786496612856,1840.4336089404926,1810.6645792715367,1821.5426025390625,4887027,818.9305795964561,824.0119199318104,811.2839386423929,813.8986206054688,24236200
2025-01-27,1234.1708090151494,1235.515414368934,1215.1468135462453,1224.4595947265625,9536019,1795.6100112127813,1809.4504129219265,1759.9163436470913,1769.62890625,7652371,809.6065327196525,810.839861804967,802.157237088582,804.0319213867188,22804166
2025-01-28,1233.0752790316255,1239.7984277662488,1213.6528493538253,1229.4896240234375,10568025,1777.3990640797924,1809.9361507719634,1772.4456805643415,1777.15625,6999495,812.5172453545283,830.9185403912116,812.5172453545283,824.0612182617188,30179312
2025-01-29,1231.0832160878692,1237.8063647194172,1223.1648896668228,1230.585205078125,5928156,1791.9678626583263,1834.36322360914,1787.5972093347696,1827.1759033203125,5145155,826.3304621132276,829.3644636153648,823.2964606110903,827.4651489257812,12619890
2025-01-30,1230.635044492625,1251.9996679975989,1227.497550840604,1248.0654296875,9269259,1819.3088138415467,1832.9548941080284,1790.9966681783667,1806.4881591796875,7336056,829.2905374831995,837.6278547525732,825.1219089590883,834.4705200195312,25744846
2025-01-31,1250.8541794958078,1261.9598488917904,1244.0314532484974,1260.0673828125,6584612,1817.2205970496623,1842.910279604707,1817.2205970496623,1825.7677001953125,5820470,832.3738053097981,840.9824182950722,830.7457868177106,838.047119140625,15821686
2025-02-01,1260.0673469134033,1265.495739501575,1236.0632421918099,1259.5693359375,7118453,1826.2533177597818,1836.2571867836969,1792.9391783431893,1798.1353759765625,1701402,837.4305042201771,845.0771450539991,826.8485640579613,834.1991577148438,5587528
2025-02-03,1246.0235355947286,1251.003645649064,1232.6270881824535,1240.94384765625,9252345,1783.2265984737837,1822.6110895629577,1779.7300994439906,1809.741943359375,4823228,823.8638327488314,832.1518283284162,820.6324864421063,827.8104858398438,20276540
2025-02-04,1243.0852829885687,1283.6731787459128,1241.6409781641657,1280.08740234375,16691069,1834.703198206104,1856.2650411997822,1821.1056096540206,1844.2215576171875,7334787,833.0891713164636,851.391824544325,828.8219005259823,848.9744873046875,28616502
2025-02-05,1277.5476050956522,1285.366353249074,1271.6212014188793,1273.115234375,10112028,1851.2145472314708,1864.5207114002724,1839.8508957040453,1842.5218505859375,4996744,854.9437515638108,860.4690419690123,847.9877873258422,857.311767578125,23675506
2025-02-06,1268.6331564996678,1282.8763195509282,1265.2965071593937,1276.4520263671875,9956001,1861.898330498206,1868.6971246106148,1845.3869733680706,1860.587158203125,4765255,856.1770794811201,862.8370567631686,850.5037655001158,860.29638671875,26760716
2025-02-07,1271.073491533156,1278.5933846345008,1256.979756005846,1261.6610107421875,8764283,1864.13231412214,1868.405747107761,1835.14021793859,1848.93212890625,4126260,863.3304057123341,871.7170439392539,850.997114202158,854.8204345703125,23509600
2025-02-10,1259.469777897567,1261.461821832557,1240.5952102474196,1248.6629638671875,6970972,1850.2432794461592,1850.2432794461592,1824.6020890265615,1826.2532958984375,3828734,847.1984039096569,850.2323451556149,842.8570616226162,846.4337158203125,17195950
2025-02-11,1259.5196705337273,1259.5196705337273,1225.2066396338644,1229.937744140625,8859714,1828.9727506286142,1848.3007750893653,1816.249316561804,1821.7369384765625,4411601,840.1437497009048,844.090402664855,833.0890834393857,839.3544311523438,22724704
2025-02-12,1214.5989377224967,1222.0193743195214,1188.6027887286011,1211.7105712890625,21131654,1830.8181177592105,1840.142154487476,1793.9103785152583,1809.59619140625,5633947,835.2104321766692,844.5837329512449,829.38909497558,842.0184326171875,22809570
2025-02-13,1212.2086229517822,1223.1150152108587,1207.1786632211406,1211.2623291015625,8511216,1814.7924102365155,1819.6486917731397,1782.8866642532057,1790.2681884765625,5237744,838.1704689996619,845.6937766231139,835.4818356095761,837.5291137695312,12602434
2025-02-14,1214.1507532507958,1219.1308629852126,1200.6546072366423,1212.40771484375,10298145,1800.709122375355,1805.8568280246752,1775.796375368045,1803.0401611328125,5292961,839.601120018604,839.601120018604,828.7971451888767,836.1231079101562,19959892
2025-02-17,1206.2821918357026,1222.6169765728448,1199.7084711054922,1220.02734375,8166683,1785.7033698235564,1799.495162260814,1769.7747423270973,1789.3455810546875,4428956,831.3624591587258,848.5304243918573,829.413823260936,847.2230834960938,12938946
2025-02-18,1219.9775298877432,1225.0074896525716,1211.2623373341316,1220.525390625,6673250,1789.3456107739096,1808.1393973263787,1784.780634818134,1798.7181396484375,4365260,845.1017788797033,854.2284140997132,841.697778564227,850.0350952148438,16350910
2025-02-19,1214.6488125132394,1227.8461038341088,1212.706618273488,1222.567138671875,6217338,1794.2989338566194,1796.0471240806544,1753.9917969230971,1758.7509765625,4611411,847.0504387449713,857.3610822217985,844.8057556604201,852.0823974609375,11884112
2025-02-20,1219.0810452834291,1234.4198079853766,1217.1388510698625,1228.0950927734375,7795582,1753.6518766132701,1778.3703022593725,1753.6518766132701,1772.6884765625,2218020,844.0904430253034,845.9157460199498,831.4118438608401,832.2998046875,26390510
2025-02-21,1223.8121434284387,1235.0672403005465,1217.2882724889691,1223.264404296875,6904025,1769.4347905187403,1777.2533326664163,1754.2830972545896,1762.8302001953125,3379879,829.2411711352042,836.1724445897772,827.4404985932164,834.9638061523438,15680940
