,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,
2024-01-23,1361.6716823004633,1361.6716823004633,1312.8332056966303,1318.8138427734375,20055420,3657.4617018928593,3689.253392795468,3603.772039730458,3618.30810546875,2618854,1553.5440845490969,1576.7045882258603,1541.8696497501444,1546.059326171875,9401255,712.9946289403671,717.7154569857805,693.5271987986505,694.6708984375,115469402
2024-01-24,1325.4149927095905,1339.5851376107455,1314.1980872328543,1334.00146484375,21919128,3638.70542557381,3642.12834296067,3568.932402810829,3602.881103515625,2657709,1562.770633148314,1581.694454529538,1548.7424867268392,1577.3636474609375,8999681,671.7480069982282,709.8068089160445,671.7480069982282,708.5657958984375,86004404
2024-01-25,1333.0831783387705,1354.1274927557365,1325.390118278632,1343.1337890625,11808872,3601.0993927441014,3620.887291071968,3543.7054208683003,3573.34033203125,2205154,1575.0569444579046,1582.2123208537434,1560.9817927200572,1571.4322509765625,8865304,706.9110553088505,709.27146932584,690.8017687875753,698.3453979492188,98941852
2024-01-29,1354.474931519067,1441.8283899094502,1350.1817560391485,1437.4111328125,23893438,3564.430891857951,3582.436811190723,3545.7216145125103,3564.618408203125,1646747,1567.7135599982494,1581.0825992301918,1551.1904544983925,1559.663818359375,4253785,704.7452835773879,711.9238979776146,703.6502407027771,707.9573974609375,65645498
2024-01-30,1449.2235971647833,1449.2484377227322,1394.1066401470152,1397.2830810546875,14093978,3570.6670909234226,3608.5078419941947,3551.488909043992,3564.1962890625,1411621,1565.171273636199,1591.1092244194149,1551.802236183018,1554.81494140625,4995943,707.90875580775,712.1185398649957,701.2654836786888,702.9202270507812,41728768
2024-01-31,1393.6847810610707,1423.7125336444733,1392.195801594125,1416.1435546875,15130226,3574.183827241903,3595.565955397303,3560.3511204494907,3578.638427734375,2459358,1551.8023522623284,1569.6905638157846,1542.2462583680392,1563.712158203125,6763779,700.5841161285045,717.8371016849802,699.2700884068386,711.80224609375,65761040
2024-02-01,1424.4569627393994,1432.745590517861,1407.631543948549,1416.1683349609375,13349362,3582.436989907515,3662.057029330496,3568.4167652804376,3614.463134765625,2363107,1562.4413588052366,1578.8702248339061,1553.7796285080506,1560.087646484375,5760011,713.0189555223712,717.1800828855794,708.6387839338071,713.651611328125,32690740
2024-02-02,1422.6453963923934,1464.0638152243819,1422.6453963923934,1446.9901123046875,19652588,3634.063444426215,3736.612908383376,3631.2030759637855,3719.638671875,2826510,1568.5607187918556,1617.9415481184549,1567.5721138302167,1594.26318359375,7858483,717.8614898495053,720.7085896391353,701.8252179588541,703.8206176757812,44867754
