,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2025-01-23,4028.769436842585,4051.3395327602407,4001.7529079009387,4006.972900390625,1822998,420.49287689797217,427.1144372962157,419.6228975353898,425.51947021484375,8888248,735.2367384986907,740.7755458622017,728.4725365710152,731.2174682617188,10986405
2025-01-24,3966.9068713794295,4038.4349192551795,3966.9068713794295,4013.641845703125,1910099,424.74612978757085,430.15937728937985,424.40779628749044,426.8727722167969,9665384,735.138768408009,738.8639561065576,724.4533033293378,729.501953125,10579213
2025-01-27,3964.973867046099,4017.5084152856,3906.0599315038703,3929.354736328125,1551782,426.09942801772166,430.15937095928996,421.9911643624925,425.42279052734375,10480203,725.4335984843208,740.4814201410142,721.4143281559363,734.4525146484375,11433353
2025-01-28,3934.816117007367,3964.9738425768846,3893.735817565749,3905.3349609375,2468272,425.32613404915026,427.06609279760266,420.00955737353587,420.9278869628906,20813072,742.0989667504426,744.7948348595096,730.7273288420482,737.5895385742188,14140860
2025-01-29,3918.5775340354608,3970.6287878295893,3918.5775340354608,3962.847412109375,1217089,421.4111847122362,422.90948078709505,415.7562748977468,418.89788818359375,15158510,738.1777143020389,745.8241647145189,735.0406921284334,743.5204467773438,9251973
2025-01-30,3962.943972286711,3991.941831258984,3922.927021299046,3963.0888671875,1531251,418.5595698630739,423.392821247174,417.061273733933,421.6528625488281,22496695,743.6184784127346,749.9415267817568,739.8932906386025,747.5887451171875,11085824
2025-01-31,3972.7066328908318,3990.5405047390313,3948.7833995175843,3975.0263671875,1492943,421.9428359729618,433.2526557474246,420.58953151699967,432.57598876953125,13546181,749.8435094869757,762.2444673012822,744.5497807267266,757.68603515625,10083763
2025-02-01,3975.606564509793,3997.741503018046,3920.5106310847846,3937.087646484375,437172,433.05930484973186,455.775585349662,424.8910985721678,447.1240539550781,30393007,759.548580017539,763.4208389361906,737.3444656745553,750.9218139648438,9363077
2025-02-03,3896.2488211358454,3940.8089579536745,3865.1245003058734,3932.73779296875,1265713,446.59243971426656,449.68573248191484,437.21591998094135,439.19757080078125,16991730,747.7848125737272,747.7848125737272,738.3248018604113,745.9712524414062,7862190
2025-02-04,3947.285122132378,3981.2610880254483,3930.2248097290194,3969.85498046875,2547132,442.7258148273928,444.9974488165376,433.78430000828064,439.9708557128906,18923681,751.9021360972733,765.8716347144651,750.5787338459753,763.8619995117188,12020807
2025-02-05,4011.3703550712034,4011.3703550712034,3939.8423053663196,3954.43798828125,1693912,439.97089811017986,440.64756515081626,431.60937853571323,433.204345703125,12836283,764.6462410892296,766.6068724766379,749.9415056836675,750.9708251953125,13419162
2025-02-06,3968.259986916976,4001.2209788539626,3916.2089750568643,3946.36669921875,2284536,434.99261621292146,434.99261621292146,423.5861549654903,426.3894348144531,17469129,753.8627308990996,755.6762909086074,735.2857374622155,737.4424438476562,32745391
2025-02-07,3953.374595002479,3953.374595002479,3874.113784051329,3894.798828125,1548940,425.32610601162634,430.64268233677166,414.1129573168095,416.48126220703125,18875982,744.8438308139157,744.9418982807152,717.3459883584466,722.688720703125,37240692
2025-02-10,3905.045086746592,3916.644230568612,3880.2520112210996,3902.096923828125,1339511,412.7596610777305,418.84954591665235,412.2763359476629,412.9530029296875,12227140,725.4335919181764,729.256846944206,718.963532464286,722.2965698242188,12667049
2025-02-11,3884.1667849836185,3905.045339609273,3822.8847322165034,3831.149169921875,1810908,414.49965150720004,416.19128959205887,403.5765145306136,404.3498229980469,14288751,722.9338420118377,725.5807064311172,712.2483766958933,716.7088012695312,13017060
2025-02-12,3838.446649169052,3887.404606196338,3808.5303361658844,3818.1962890625,1678002,405.6753937562897,406.3136281355489,400.2258148708563,402.48419189453125,13884574,718.7184448242188,724.1591847308209,703.0333943785369,718.7184448242188,12697743
2025-02-13,3835.4501025039126,3851.3505477933163,3771.896462322554,3779.532470703125,2277310,402.5333188714483,406.46095206462076,401.60049400188456,402.287841796875,12989029,719.9438519637431,722.9828066071801,711.8562476864424,713.3267211914062,12370571
2025-02-14,3793.886412954254,3816.1181040365336,3769.72153134308,3803.407470703125,1681975,404.30071268308313,408.6702162817502,401.01131412778494,402.8278503417969,14124236,716.5617636405941,718.4733911976853,702.1021072520733,707.9349975585938,10417539
2025-02-17,3727.674715397498,3802.585849960782,3727.3846896150562,3774.0712890625,1799806,402.3860051226291,403.95706437920165,399.39119682530554,401.2077331542969,11975265,704.8959778549706,714.4050519193028,697.5436102537428,713.375732421875,9093600
2025-02-18,3768.1750490618683,3793.3065270348457,3735.4075625604055,3743.81689453125,2149879,400.6185827614127,403.4170273840887,396.69094959708514,397.9183349609375,12998403,713.3757463206829,713.9149079885333,703.2294429330741,711.5131225585938,8562003
2025-02-19,3742.8500136623115,3745.5081505528037,3642.2757324813897,3657.693115234375,4366672,397.4764566403701,401.40408972956527,397.1818961448654,399.0475158691406,7079032,707.8369242269698,720.3849529544706,707.8369242269698,712.9835815429688,6766606
2025-02-20,3635.848185178673,3661.4629603766616,3625.988960412709,3653.150146484375,2888572,392.71423117033765,396.5927509227199,389.03207509597695,394.7762145996094,15355585,710.6308614417115,717.100921006022,709.1113242684337,715.3363647460938,7423268
2025-02-21,3649.960586134303,3689.4942392872176,3648.8972369162293,3659.52978515625,1833931,394.7761916445472,395.9544935060131,391.9777771631228,393.6470031738281,8240986,712.983563836215,717.2969766512275,705.8272715222472,707.7879028320312,6571602
2025-02-24,3618.1114451391504,3637.491729934909,3547.4050866481334,3552.818115234375,2508516,392.7633170048975,396.10179920634647,391.53593163925717,394.6289367675781,7037625,696.5142704603655,705.5821902376468,696.5142704603655,702.2981567382812,6912148
