,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,BSE.NS,BSE.NS,BSE.NS,BSE.NS,BSE.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2024-01-29,3564.4306477301684,3582.4365658297156,3545.721371666126,3564.6181640625,1646747,410.4091370302086,411.62442230982873,402.8472985559007,404.91778564453125,18557346,704.7468902265479,717.106241232974,700.6161341297043,703.5242309570312,1332561
2024-01-30,3570.6673355072853,3608.5080891700763,3551.4891523141855,3564.196533203125,1411621,402.3971972082923,408.42863094204745,393.75510841111077,394.3402404785156,45190319,707.1427262236391,733.6293993164721,706.2008925955477,722.9884643554688,2263062
2024-01-31,3574.184071078628,3595.566200692752,3560.351363342525,3578.638671875,2459358,396.0956560808038,398.34619909494756,394.92536344246855,397.4909973144531,20648695,730.0604618697744,774.2269251861036,722.0631956095486,767.865478515625,3281166
2024-02-01,3582.4367479301113,3662.0567819751186,3568.4165242500367,3614.462890625,2363107,397.89614860138937,403.07238102310146,395.4655493074385,398.7063293457031,19903526,774.1773473546807,828.8029736894167,773.285071145628,823.9947509765625,7848948
2024-02-02,3634.063444426215,3736.612908383376,3631.2030759637855,3719.638671875,2826510,400.5967720892722,402.5772455250547,395.64558849981586,396.1856994628906,17816750,829.4639458059595,832.2398289133168,805.3565733942612,814.5930786132812,3057792
2024-02-05,3735.2998425709893,3771.874458152277,3715.6996914451147,3726.203125,1691523,397.89611107625,399.3814660761637,392.9899203450033,394.3402404785156,12505666,819.5500265998003,858.8586488685031,819.5500265998003,846.3341064453125,4634430
2024-02-06,3748.429229618272,3891.8203887754125,3741.8645549604466,3878.784912109375,4474396,396.095655967197,396.90583661619564,386.6433581922035,388.3537902832031,19487043,845.6566168194541,845.6566168194541,786.6358074728184,816.030517578125,4928013
2024-02-07,3894.7275215618497,3896.6031428098927,3820.593545941405,3829.455810546875,2124267,391.59456333742565,391.59456333742565,387.8136442911793,388.7138671875,13376903,822.8546016135062,839.3612874039743,803.9355752202074,826.7540893554688,2395305
2024-02-08,3835.6458733260915,3899.417002760364,3831.9415667460817,3877.00341796875,2345173,392.08703057366546,392.17841802252724,373.4423399489455,378.88037109375,50039587,836.0731789582557,836.7341265583009,809.636122092431,830.042236328125,1665039
2024-02-09,3879.3008122308597,3924.5034728185747,3845.0240130368975,3876.62841796875,2100596,374.81326995012324,387.7000589587421,373.4423423447581,379.7486267089844,33527317,833.6608131916672,849.62218594664,795.426118131754,822.722412109375,2296917
2024-02-12,3873.1582239962727,3900.917512535836,3850.2285690197773,3864.436767578125,1013716,381.62222138780527,382.0335083512696,371.1117379944829,371.8428955078125,11326971,826.1592763516535,827.9107300262982,768.394222372847,780.637939453125,1643832
2024-02-13,3868.891392141469,3910.6706762721788,3827.67442810669,3891.445556640625,1257415,371.88862153996564,375.4530507956858,368.5983836063643,371.75152587890625,16207766,791.4606002713698,792.4519914452002,757.4393759586803,773.9130249023438,1252179
2024-02-14,3851.5884779156377,3858.997090733716,3797.6643636034514,3845.11767578125,1391283,371.0660969640242,376.7783199362087,369.60375282087,376.1385498046875,12618012,753.4572436418204,787.5941603339714,751.8049049551582,775.6644287109375,912108
2024-02-15,3871.2826692770527,3888.444422362778,3829.081186690457,3848.025146484375,1091582,377.46374115666544,378.8803769826403,368.4612807413084,369.1467590332031,21169031,783.1990278815474,787.1645925796818,765.0235431850031,767.9315795898438,1167582
2024-02-16,3857.450096117476,3889.992312550588,3845.1179762463685,3871.56396484375,1307556,370.15210830847485,374.31059937497434,365.0339476322224,369.7865295410156,38963810,774.6068696653249,774.8381982824475,760.0830267867398,761.322265625,813639
2024-02-19,3866.640013196389,3871.563519103643,3802.822181698031,3848.587158203125,772291,370.1521379280326,377.23528866691095,369.7865591313197,374.03643798828125,17602580,766.7088385509103,777.2836976231212,757.4228363776889,761.6032104492188,1780167
2024-02-20,3828.2371155114192,3843.1482139238024,3760.6208730684352,3779.986572265625,1193648,375.133187013915,375.133187013915,369.5123517065761,371.157470703125,14626643,765.0235208101631,772.2937023742049,758.2159360056207,759.0586547851562,723558
2024-02-21,3763.4346602864093,3810.6535246443304,3733.0496825963114,3743.271728515625,1885939,371.98002129088223,374.8132930919039,366.7704728961171,368.64410400390625,20162369,762.7102007345629,763.6685535341635,723.7155042377738,732.3736572265625,1678551
2024-02-22,3724.0461165985157,3840.2877016688244,3724.0461165985157,3832.926025390625,2982052,371.88862598407167,379.4287715687956,368.73548367384933,378.78900146484375,19321180,731.9770609660176,734.5712332319561,713.7520205405056,727.0862426757812,1406748
2024-02-23,3873.157895434478,3873.157895434478,3794.756835314285,3800.1025390625,2538072,380.1142172699116,380.1142172699116,375.1788603578767,376.0014343261719,11576964,735.2652452236327,776.2592436573354,729.3334176802229,752.3997802734375,2705649
2024-02-26,3785.0037308931537,3798.133079811019,3735.065314473416,3752.227294921875,1379284,375.7272290145601,377.5094435802666,372.254187332029,373.99072265625,8289561,757.7532612446471,759.7360434899533,743.8737855275031,753.1102905273438,989763
2024-02-27,3750.3049902620937,3867.5313277921664,3750.3049902620937,3849.150146484375,2960475,374.7218905950383,377.2352627534842,373.396642202815,375.7729187011719,8083518,756.9766747383447,796.1201046803569,753.4572483774713,791.8240966796875,3614343
2024-02-28,3840.8976823678586,3896.509674983892,3834.7080400231876,3862.795654296875,1939225,375.77291141482976,376.86967667427535,371.7972242470729,373.16815185546875,8949664,796.4175385480693,799.7222160609822,754.3330325563657,772.392822265625,3113067
2024-02-29,3844.08608110517,3880.7545712662445,3811.778548098447,3840.4287109375,3772719,373.8079334221908,375.6815355101058,369.69512150470285,371.3402404785156,15468800,766.6593040858556,786.5036467745704,755.8862148689371,782.1580810546875,1199655
