,MRF.NS,MRF.NS,MRF.NS,MRF.NS,MRF.NS,LTF.NS,LTF.NS,LTF.NS,LTF.NS,LTF.NS,CMSINFO.NS,CMSINFO.NS,CMSINFO.NS,CMSINFO.NS,CMSINFO.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2002-07-01,818.876664102229,818.876664102229,791.8807301208368,807.7183227539062,426.0,,,,,,,,,,
2002-07-02,809.8779486028141,814.3772705394963,805.3786266661317,813.1624755859375,310.0,,,,,,,,,,
2002-07-03,818.8764624085844,818.8764624085844,809.8778199645341,815.9069213867188,336.0,,,,,,,,,,
2002-07-04,827.8752435531117,832.3745655289438,818.8765996014474,824.9956665039062,591.0,,,,,,,,,,
2002-07-05,823.3760136242739,841.3733035395586,818.8766911454527,834.4443359375,1623.0,,,,,,,,,,
2002-07-08,836.873497484324,839.5730894116929,826.075129774849,836.0186157226562,1595.0,,,,,,,,,,
2002-07-09,840.4731150401985,840.4731150401985,810.0127355704475,813.837158203125,586.0,,,,,,,,,,
2002-07-10,818.876370735858,825.9853194401571,810.7775934428661,819.5062866210938,826.0,,,,,,,,,,
2002-07-11,801.7790442711923,827.8751074405129,796.3798587878847,804.4336547851562,1265.0,,,,,,,,,,
2002-07-12,817.8867953956809,817.9767598685644,800.9693003177925,806.7284545898438,361.0,,,,,,,,,,
2002-07-15,809.8780203683035,818.8766650390625,783.9619347011915,787.3814086914062,1265.0,,,,,,,,,,
2002-07-16,800.8791281327734,800.8791281327734,791.8804862436411,794.6250610351562,552.0,,,,,,,,,,
2002-07-17,791.9705228866674,794.5801512417415,791.8805584289157,793.3653564453125,572.0,,,,,,,,,,
2002-07-18,780.1822754285605,832.374399967034,780.1822754285605,821.0361328125,1293.0,,,,,,,,,,
2002-07-19,823.3759970717654,823.3759970717654,812.5776233396766,816.58203125,415.0,,,,,,,,,,
2002-07-22,808.0781995793778,810.777792673741,791.8806410131988,796.8298950195312,756.0,,,,,,,,,,
2002-07-23,782.8821588779173,805.2888081530829,782.8821588779173,802.1392822265625,271.0,,,,,,,,,,
2002-07-24,777.4827439153066,805.3335545807405,777.4827439153066,799.5294189453125,423.0,,,,,,,,,,
2002-07-25,809.8779926385581,809.8779926385581,801.7792127121725,802.6790771484375,355.0,,,,,,,,,,
2002-07-26,766.6843595008727,796.289916009627,766.6843595008727,793.4103393554688,1101.0,,,,,,,,,,
2002-07-29,795.4799875452899,814.3771365706871,766.6843318875418,807.17822265625,2486.0,,,,,,,,,,
2002-07-30,825.1757741461051,835.0742839777379,800.8794318320977,804.6138916015625,1657.0,,,,,,,,,,
2002-07-31,788.2812823783015,808.8882008847074,782.8820955126967,800.6544189453125,1149.0,,,,,,,,,,
2002-08-01,808.0781176880839,808.0781176880839,795.1200501789768,796.3348999023438,659.0,,,,,,,,,,
2002-08-02,788.2812116171297,800.8793131726546,784.9067201290427,800.3394165039062,666.0,,,,,,,,,,
2002-08-05,764.884833639916,834.1744009225908,764.884833639916,823.0610961914062,1726.0,,,,,,,,,,
2002-08-06,872.8682886754825,872.8682886754825,803.5787441105216,815.366943359375,691.0,,,,,,,,,,
2002-08-07,815.2770284840379,863.9146812847555,815.2770284840379,854.0161743164062,5411.0,,,,,,,,,,
2002-08-08,854.6913143375969,854.6913143375969,804.478884857981,810.41796875,1071.0,,,,,,,,,,
2002-08-09,803.5559806816198,830.6421373338093,803.5559806816198,819.0853881835938,417.0,,,,,,,,,,
2002-08-12,820.7103372240189,838.7677703862636,820.7103372240189,834.1631469726562,587.0,,,,,,,,,,
2002-08-13,832.5833263752711,839.4451306220706,821.6134109879906,822.0197143554688,450.0,,,,,,,,,,
2002-08-14,804.5040562932477,820.2591831607036,804.4589237162212,810.192138671875,409.0,,,,,,,,,,
2002-08-15,810.192138671875,810.192138671875,810.192138671875,810.192138671875,0.0,,,,,,,,,,
2002-08-16,767.3509575813139,829.7393925872668,767.3509575813139,819.8078002929688,205.0,,,,,,,,,,
2002-08-19,817.0989730245456,817.0989730245456,807.1673832971753,808.7925415039062,349.0,,,,,,,,,,
2002-08-20,802.6529990273527,817.0989472663152,802.6529990273527,813.5325927734375,333.0,,,,,,,,,,
2002-08-21,803.5558728448276,824.3219234913793,803.5558728448276,818.2275390625,747.0,,,,,,,,,,
2002-08-22,821.6134696544452,835.1565488245734,817.5956784792544,822.6517944335938,675.0,,,,,,,,,,
2002-08-23,834.2535405124654,834.8855617918136,814.3903609764543,814.841796875,482.0,,,,,,,,,,
2002-08-26,826.127805207905,830.642164799205,814.4807354195794,823.419189453125,156.0,,,,,,,,,,
2002-08-27,821.6133595403501,821.6133595403501,812.5846413036429,814.0744018554688,2288.0,,,,,,,,,,
2002-08-28,803.7817048390073,812.58470581871,801.840508221225,803.736572265625,365.0,,,,,,,,,,
2002-08-29,801.750201089586,808.070304026103,801.750201089586,805.2714233398438,252.0,,,,,,,,,,
2002-08-30,812.5395303553,819.7173725658672,805.5422735356569,814.0292358398438,323.0,,,,,,,,,,
2002-09-02,818.9049149962709,822.516403044766,805.3618348144141,810.2373657226562,215.0,,,,,,,,,,
2002-09-03,821.5233113739661,821.5233113739661,803.5561352948237,808.0704956054688,141.0,,,,,,,,,,
2002-09-04,812.5396661374582,816.1962867102935,803.6012113088088,807.7544555664062,210.0,,,,,,,,,,
2002-09-05,806.4000084616578,825.2248643417834,806.4000084616578,810.9143676757812,70.0,,,,,,,,,,
2002-09-06,768.3441042031378,814.3905781330556,768.3441042031378,813.848876953125,453.0,,,,,,,,,,
2002-09-09,758.4121641423983,812.5844615811411,758.4121641423983,809.4695434570312,636.0,,,,,,,,,,
2002-09-10,809.4695434570312,809.4695434570312,809.4695434570312,809.4695434570312,0.0,,,,,,,,,,
2002-09-11,812.58490534112,820.7107543945312,812.58490534112,820.7107543945312,255.0,,,,,,,,,,
2002-09-12,812.5845967778209,827.9334169391798,806.7159302455367,826.9854125976562,348.0,,,,,,,,,,
