,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,TMPV.NS,TMPV.NS,TMPV.NS,TMPV.NS,TMPV.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2025-01-23,735.2367384986907,740.7755458622017,728.4725365710152,731.2174682617188,10986405,420.49287689797217,427.1144372962157,419.6228975353898,425.51947021484375,8888248,,,,,
2025-01-24,735.138768408009,738.8639561065576,724.4533033293378,729.501953125,10579213,424.74612978757085,430.15937728937985,424.40779628749044,426.8727722167969,9665384,,,,,
2025-01-27,725.4335984843208,740.4814201410142,721.4143281559363,734.4525146484375,11433353,426.09942801772166,430.15937095928996,421.9911643624925,425.42279052734375,10480203,,,,,
2025-01-28,742.0989667504426,744.7948348595096,730.7273288420482,737.5895385742188,14140860,425.32613404915026,427.06609279760266,420.00955737353587,420.9278869628906,20813072,,,,,
2025-01-29,738.1777143020389,745.8241647145189,735.0406921284334,743.5204467773438,9251973,421.4111847122362,422.90948078709505,415.7562748977468,418.89788818359375,15158510,,,,,
2025-01-30,743.6184784127346,749.9415267817568,739.8932906386025,747.5887451171875,11085824,418.55960015677164,423.3928518906835,417.0613039191899,421.65289306640625,22496695,,,,,
2025-01-31,749.8435094869757,762.2444673012822,744.5497807267266,757.68603515625,10083763,421.94286574038716,433.2526863127406,420.5895611889515,432.5760192871094,13546181,,,,,
2025-02-01,759.548580017539,763.4208389361906,737.3444656745553,750.9218139648438,9363077,433.05930484973186,455.775585349662,424.8910985721678,447.1240539550781,30393007,,,,,
2025-02-03,747.7848125737272,747.7848125737272,738.3248018604113,745.9712524414062,7862190,446.59243971426656,449.68573248191484,437.21591998094135,439.19757080078125,16991730,,,,,
2025-02-04,751.9021360972733,765.8716347144651,750.5787338459753,763.8619995117188,12020807,442.7258148273928,444.9974488165376,433.78430000828064,439.9708557128906,18923681,,,,,
2025-02-05,764.6462410892296,766.6068724766379,749.9415056836675,750.9708251953125,13419162,439.9708671159242,440.64753410889205,431.6093481304944,433.2043151855469,12836283,,,,,
2025-02-06,753.8627308990996,755.6762909086074,735.2857374622155,737.4424438476562,32745391,434.9926473462472,434.9926473462472,423.5861852824319,426.38946533203125,17469129,,,,,
2025-02-07,744.8438308139157,744.9418982807152,717.3459883584466,722.688720703125,37240692,425.32610601162634,430.64268233677166,414.1129573168095,416.48126220703125,18875982,,,,,
2025-02-10,725.4335919181764,729.256846944206,718.963532464286,722.2965698242188,12667049,412.7596610777305,418.84954591665235,412.2763359476629,412.9530029296875,12227140,,,,,
2025-02-11,722.9338420118377,725.5807064311172,712.2483766958933,716.7088012695312,13017060,414.4996202235818,416.1912581807673,403.5764840713996,404.34979248046875,14288751,,,,,
2025-02-12,718.7184448242188,724.1591847308209,703.0333943785369,718.7184448242188,12697743,405.6753937562897,406.3136281355489,400.2258148708563,402.48419189453125,13884574,,,,,
2025-02-13,719.9438519637431,722.9828066071801,711.8562476864424,713.3267211914062,12370571,402.5333188714483,406.46095206462076,401.60049400188456,402.287841796875,12989029,,,,,
2025-02-14,716.5617636405941,718.4733911976853,702.1021072520733,707.9349975585938,10417539,404.30071268308313,408.6702162817502,401.01131412778494,402.8278503417969,14124236,,,,,
2025-02-17,704.8959778549706,714.4050519193028,697.5436102537428,713.375732421875,9093600,402.3860051226291,403.95706437920165,399.39119682530554,401.2077331542969,11975265,,,,,
2025-02-18,713.3757463206829,713.9149079885333,703.2294429330741,711.5131225585938,8562003,400.6185827614127,403.4170273840887,396.69094959708514,397.9183349609375,12998403,,,,,
2025-02-19,707.8369242269698,720.3849529544706,707.8369242269698,712.9835815429688,6766606,397.4764566403701,401.40408972956527,397.1818961448654,399.0475158691406,7079032,,,,,
2025-02-20,710.6308614417115,717.100921006022,709.1113242684337,715.3363647460938,7423268,392.71423117033765,396.5927509227199,389.03207509597695,394.7762145996094,15355585,,,,,
2025-02-21,712.983563836215,717.2969766512275,705.8272715222472,707.7879028320312,6571602,394.7761916445472,395.9544935060131,391.9777771631228,393.6470031738281,8240986,,,,,
2025-02-24,696.5142704603655,705.5821902376468,696.5142704603655,702.2981567382812,6912148,392.7633170048975,396.10179920634647,391.53593163925717,394.6289367675781,7037625,,,,,
2025-02-25,704.7979622750793,704.7979622750793,696.0241250697796,696.9064331054688,8599635,394.7271291352976,399.63667054245303,393.25426671315097,397.52557373046875,15760891,,,,,
2025-02-27,701.9060466163252,703.5725952859297,687.2993186401222,690.0442504882812,12033139,397.525552328783,399.1456949128277,392.2723373128528,394.3343505859375,19051003,,,,,
2025-02-28,687.1033111747046,687.5444053811439,669.1634856554016,675.241455078125,15780609,391.7813927759098,395.218071659909,385.1044286446103,387.853759765625,31954776,,,,,
2025-03-03,676.5648746220754,683.6721631354309,666.6146467698901,681.6134643554688,10598479,388.7865980194929,391.78140630708367,384.12253365869424,390.25946044921875,10702826,,,,,
2025-03-04,679.3587530706169,704.3077986097232,678.4764450422322,701.9550170898438,14386214,388.2465194896839,390.01397233458835,385.7426654162302,387.70648193359375,13404774,,,,,
2025-03-05,703.425482394221,716.9048225760387,702.8863207536921,715.9735107421875,10409805,387.3628037989018,405.2826293231856,387.3628037989018,397.721923828125,15665018,,,,,
2025-03-06,721.5123345545368,722.2475713084986,712.6894935069948,717.6400756835938,10928847,401.747764542559,402.28783207284374,393.3033473882626,398.3601989746094,17869996,,,,,
2025-03-07,717.6400610222238,720.3849328808595,713.6697945986864,718.3262939453125,7246729,396.2490690334906,398.50747602613745,394.432562712498,396.5927429199219,11180761,,,,,
2025-03-10,718.3263154629034,723.9631306303024,712.2973500895013,714.5521240234375,7400109,393.7943018882363,399.489387865199,393.1560675022779,397.6728515625,9785018,,,,,
2025-03-11,710.6308835302965,719.6007363944591,708.4741769972491,715.4833984375,5538789,394.23615458392493,401.01131538193874,393.94159410093084,398.85113525390625,11099475,,,,,
