,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,BSE.NS,BSE.NS,BSE.NS,BSE.NS,BSE.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2024-02-09,3879.3008122308597,3924.5034728185747,3845.0240130368975,3876.62841796875,2100596,972.9028503266528,997.401313514954,969.6068995994941,994.4005126953125,12799837,833.6608131916672,849.62218594664,795.426118131754,822.722412109375,2296917
2024-02-12,3873.1582239962727,3900.917512535836,3850.2285690197773,3864.436767578125,1013716,994.105320862232,995.876280283492,969.360890452768,980.035888671875,8050066,826.1592763516535,827.9107300262982,768.394222372847,780.637939453125,1643832
2024-02-13,3868.891634867096,3910.670921618945,3827.6746682464563,3891.44580078125,1257415,989.7762629977263,1010.4868382114652,984.1681747459204,1003.3536987304688,18706292,791.4606002713698,792.4519914452002,757.4393759586803,773.9130249023438,1252179
2024-02-14,3851.588722467118,3858.9973357555955,3797.6646047310915,3845.117919921875,1391283,993.2690157159769,1018.997259686499,991.3012696355923,1006.2069702148438,17878720,753.4572436418204,787.5941603339714,751.8049049551582,775.6644287109375,912108
2024-02-15,3871.2826692770527,3888.444422362778,3829.081186690457,3848.025146484375,1091582,1006.3544812043777,1010.0932466717068,990.3665448403932,1000.2545166015625,10069878,783.1990278815474,787.1645925796818,765.0235431850031,767.9315795898438,1167582
2024-02-16,3857.4496096162657,3889.991821945157,3845.117491300484,3871.5634765625,1307556,1006.6989262673613,1009.650485394361,1000.5005380040549,1006.7481079101562,7159395,774.6068696653249,774.8381982824475,760.0830267867398,761.322265625,813639
2024-02-19,3866.640503768057,3871.56401029997,3802.822664172948,3848.587646484375,772291,1006.8464465307476,1029.1311947979043,1006.8464465307476,1026.91748046875,9388255,766.7088385509103,777.2836976231212,757.4228363776889,761.6032104492188,1780167
2024-02-20,3828.2371155114192,3843.1482139238024,3760.6208730684352,3779.986572265625,1193648,1024.2610180558977,1035.6739206502066,1016.5867607398595,1031.8367919921875,11293528,765.0235208101631,772.2937023742049,758.2159360056207,759.0586547851562,723558
2024-02-21,3763.434414830734,3810.6532761089843,3733.04943912238,3743.271484375,1885939,1039.7569873370444,1046.8408245754547,1031.0988572886058,1034.985107421875,15946325,762.7102007345629,763.6685535341635,723.7155042377738,732.3736572265625,1678551
2024-02-22,3724.0463538039667,3840.287946278356,3724.0463538039667,3832.92626953125,2982052,1038.969987954932,1048.808718901475,1023.5232284095382,1045.5618896484375,13432573,731.9770609660176,734.5712332319561,713.7520205405056,727.0862426757812,1406748
2024-02-23,3873.1581442686033,3873.1581442686033,3794.7570791114713,3800.102783203125,2538072,1052.744218252001,1052.744218252001,1040.5934094728898,1044.1845703125,13142759,735.2652452236327,776.2592436573354,729.3334176802229,752.3997802734375,2705649
2024-02-26,3785.0037308931537,3798.133079811019,3735.065314473416,3752.227294921875,1379284,1036.1166162761153,1045.1683197973161,1033.558570535963,1037.1988525390625,7875941,757.7532612446471,759.7360434899533,743.8737855275031,753.1102905273438,989763
2024-02-27,3750.305228133252,3867.531573098657,3750.305228133252,3849.150390625,2960475,1033.8046204513494,1049.0054112267308,1029.6231599356051,1043.1021728515625,10580973,756.9766747383447,796.1201046803569,753.4572483774713,791.8240966796875,3614343
2024-02-28,3840.8976823678586,3896.509674983892,3834.7080400231876,3862.795654296875,1939225,1045.8569952406344,1047.6771362637548,1025.3432672847086,1029.327880859375,7730332,796.4175385480693,799.7222160609822,754.3330325563657,772.392822265625,3113067
2024-02-29,3844.0863254782985,3880.754817970432,3811.778790417747,3840.428955078125,3772719,1026.22885861961,1043.5941223069317,1021.7521880889905,1035.231201171875,20944844,766.6593040858556,786.5036467745704,755.8862148689371,782.1580810546875,1199655
2024-03-01,3851.7765458152944,3882.536555650418,3832.645068891089,3839.7255859375,2043265,1037.986009477885,1072.3723226042753,1037.0021364831193,1069.37158203125,14909562,783.1990123613142,788.4533733802764,768.3281450379981,772.1119384765625,1929378
2024-03-04,3849.71267244036,3861.8103380983325,3822.4222912670302,3826.923828125,1749271,1063.5667080999103,1077.3409300364494,1062.6811983836533,1074.733642578125,11424581,781.6788523472844,781.8771426713319,763.3711551049446,766.527099609375,762198
2024-03-05,3809.387240696813,3811.2628621841086,3732.4867597177044,3762.590576171875,2070859,1068.6829125129027,1081.7684727754213,1059.1393914895327,1070.503173828125,9222544,768.0967586793932,768.0967586793932,751.4744389322428,755.7704467773438,956667
2024-03-06,3745.663225699868,3818.7655308738504,3712.2770700452925,3811.54443359375,1744204,1062.878109231162,1095.5918883060335,1062.878109231162,1079.4071044921875,21796484,755.7704798301756,769.9804596103,743.5433428072494,759.7525634765625,2189610
2024-03-07,3812.1999903617757,3867.530814330126,3786.597715852685,3853.088623046875,2688905,1077.2917746056637,1077.3410163000535,1065.2393294461426,1070.4046630859375,9963926,754.7790716288359,759.8352025513527,740.238709149403,741.510986328125,1550508
2024-03-11,3834.707809455719,3894.7276920199565,3834.707809455719,3865.98388671875,2304068,1070.404535791999,1070.404535791999,1059.3852067115477,1061.3037109375,13310362,741.5109932501625,741.5109932501625,723.8311447719188,728.3750610351562,1684143
2024-03-12,3865.9835094452415,3966.892018741981,3864.7640809504387,3931.536376953125,4039801,1059.6804892440682,1077.1442354316735,1038.625582496139,1059.483642578125,21785435,728.3750773740913,728.3750773740913,680.7552646962989,710.017822265625,3540390
2024-03-13,3943.494456142482,3977.2556453032735,3874.9403943467873,3890.97705078125,2837260,1059.77885170946,1072.0772645081547,1055.8433596138777,1066.4691162109375,24855870,740.2387238568195,750.1526350669121,651.8231429122203,664.7938232421875,4970817
2024-03-14,3895.1497744818453,3962.2499424114544,3831.8942638327107,3945.93212890625,2919608,1062.5828370894137,1079.4070413229927,1057.7127137934276,1066.124755859375,14231421,664.8930488044807,693.2963702576675,652.2031930907593,676.9384155273438,2402718
