,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2025-02-06,426.06336046890937,426.06336046890937,414.8910439076552,417.63677978515625,17469129,1861.898330498206,1868.6971246106148,1845.3869733680706,1860.587158203125,4765255,1265.2372940723083,1269.2066659752802,1253.5275985042942,1262.6572265625,8396554
2025-02-07,416.5952582972785,421.8026990259945,405.6122866178601,407.9319763183594,18875982,1864.13219104828,1868.40562375176,1835.140096778848,1848.9320068359375,4126260,1262.2603567708522,1265.2373859141799,1239.9823038025354,1247.2760009765625,7382039
2025-02-10,404.28679271835745,410.2516682663297,403.8133889798114,404.4761657714844,12227140,1850.2432794461592,1850.2432794461592,1824.6020890265615,1826.2532958984375,3828734,1247.5735745348811,1255.3138984101563,1239.7837061908433,1252.9322509765625,5740361
2025-02-11,405.99100788409856,407.6479208598988,395.2920956552102,396.0495300292969,14288751,1828.9727506286142,1848.3007750893653,1816.249316561804,1821.7369384765625,4411601,1246.2339539700604,1252.188012073483,1238.8410469458931,1243.15771484375,6586627
2025-02-12,397.34792371808146,397.97305679084684,392.01021063862936,394.22222900390625,13884574,1830.8182412610952,1840.142278618334,1793.9104995274497,1809.5963134765625,5633947,1247.5735208959845,1260.0274734986122,1235.119689428972,1242.2149658203125,8809352
2025-02-13,394.27034528824566,398.1173542751768,393.3566689137098,394.0299072265625,12989029,1814.792533979024,1819.6488158467762,1782.8867858202054,1790.268310546875,5237744,1242.9592342670746,1256.3061987457909,1236.3601292961446,1239.337158203125,7263785
2025-02-14,396.0014661827297,400.2812751894459,392.77959046029304,394.558837890625,14124236,1800.7092442878504,1805.856950285683,1775.7964955938853,1803.040283203125,5292961,1242.5126718509223,1253.8254065127483,1234.9212235163006,1250.451416015625,10368438
2025-02-17,394.12606998139194,395.6648794892229,391.1927372870501,392.97198486328125,11975265,1785.703248001718,1799.4950394980904,1769.77462159192,1789.345458984375,4428956,1241.5699462890625,1248.5163471638045,1223.8069826822411,1241.5699462890625,8386151
2025-02-18,392.39491018757707,395.1359099155748,388.54790126416947,389.7500915527344,12998403,1789.3456107739096,1808.1393973263787,1784.780634818134,1798.7181396484375,4365260,1243.3065364897366,1247.9705000138076,1227.5779245772142,1233.531982421875,8135042
2025-02-19,389.31730014478245,393.1643091555031,389.0287862091182,390.8561096191406,7079032,1794.2989338566194,1796.0471240806544,1753.9917969230971,1758.7509765625,4611411,1225.3947820253827,1254.7681118615644,1220.8300282561831,1251.9896240234375,10683412
2025-02-20,384.6528290808348,388.45173290704383,381.0462580968928,386.6724853515625,15355585,1753.6518766132701,1778.3703022593725,1753.6518766132701,1772.6884765625,2218020,1245.7378271028595,1254.3216187366877,1237.203701075922,1240.379150390625,8398849
2025-02-21,386.67244588636703,387.8265602235753,383.93147569860434,385.5664367675781,8240986,1769.4347905187403,1777.2533326664163,1754.2830972545896,1762.8302001953125,3379879,1231.5968971791747,1235.1693078219741,1215.173692889092,1223.50927734375,7786428
2025-02-24,384.70090532952037,387.97085715475134,383.4987150003656,386.5282287597656,7037625,1748.309923055587,1756.0313630959042,1699.9413126430345,1713.3931884765625,7594720,1217.3071583182455,1222.467414805944,1200.9831637697991,1209.0211181640625,11522480
2025-02-25,386.62438730224534,391.43314833834296,385.1817589914161,389.3653869628906,15760891,1694.9880113599872,1727.330776075937,1694.9880113599872,1716.8897705078125,5092963,1217.2079253456668,1222.2193060560244,1211.6508286551266,1214.7767333984375,11059417
2025-02-27,389.36537967354076,390.9522649156751,384.2199995911739,386.23968505859375,19051003,1704.748997302386,1724.8054634563641,1700.7668702151418,1713.5875244140625,5757079,1215.769120615194,1225.3947998146707,1209.1203494513463,1213.0897216796875,12008162
2025-02-28,383.73912917511376,387.10526188717614,377.1992259318174,379.8921203613281,31954776,1704.6034155946859,1704.6519072727174,1634.0901134127998,1639.189208984375,12182167,1206.6891556122284,1215.620243112648,1190.9108768010287,1194.8802490234375,20215075
2025-03-03,380.8058152281349,383.73914785126925,376.2374920394293,382.2484436035156,10702826,1643.6571185043986,1678.9136517994152,1643.6571185043986,1659.488525390625,7504969,1201.2312348006667,1207.6814644794808,1194.929880803104,1196.964111328125,8158881
2025-03-04,380.2768157418011,382.00798731989397,377.82435936077115,379.74786376953125,13404774,1646.2794646548505,1650.1644899401717,1621.9980566215932,1639.7720947265625,6759673,1197.9068433475454,1207.334101585249,1197.0137104452713,1201.1319580078125,9574490
2025-03-05,379.4112349821189,396.9632122658291,379.4112349821189,389.5577087402344,15665018,1643.8026956375877,1683.1385762213686,1643.8026956375877,1662.30517578125,8180782,1207.6814517983407,1216.5628733470458,1202.0251450551775,1206.391357421875,9052846
2025-03-06,393.5009194323491,394.0299007695933,385.22984437591543,390.1828918457031,17869996,1665.7046071983816,1672.794825837321,1642.4915571816716,1666.5301513671875,10610547,1218.5476101118768,1218.5476101118768,1199.7427576093883,1208.7235107421875,11949475
2025-03-07,388.11510203965406,390.3271497866334,386.33588388818345,388.45172119140625,11180761,1654.1465445914585,1655.9919552333556,1627.339895010843,1637.5380859375,8019331,1201.8265880949464,1208.5249033729367,1197.0634143564148,1205.250244140625,6620284
2025-03-10,385.7107105996322,391.2888910064267,385.0855775356017,389.5096435546875,9785018,1637.5380832553346,1669.5895404009018,1628.0197243147556,1652.5439453125,7558981,1198.7503263397664,1216.4140799337886,1198.7503263397664,1205.5478515625,7363437
2025-03-11,386.1435102215853,392.7795945645392,385.8549963002887,390.66375732421875,11099475,1631.7104941166237,1631.7104941166237,1589.9950857541564,1613.83935546875,12671234,1207.8798680000234,1238.4440812807522,1207.8798680000234,1235.864013671875,10927950
