,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2024-01-30,3570.667580091148,3608.508336345958,3551.4893955843795,3564.19677734375,1411621,1449.2235971647833,1449.2484377227322,1394.1066401470152,1397.2830810546875,14093978
2024-01-31,3574.184314915353,3595.566445988201,3560.3516062355598,3578.638916015625,2459358,1393.6846609266845,1423.7124109217216,1392.1956815880876,1416.1434326171875,15130226
2024-02-01,3582.4367479301113,3662.0567819751186,3568.4165242500367,3614.462890625,2363107,1424.4569627393994,1432.745590517861,1407.631543948549,1416.1683349609375,13349362
2024-02-02,3634.063444426215,3736.612908383376,3631.2030759637855,3719.638671875,2826510,1422.6455164089482,1464.0639387350582,1422.6455164089482,1446.990234375,19652588
2024-02-05,3735.2998425709893,3771.874458152277,3715.6996914451147,3726.203125,1691523,1450.0177530325548,1459.6961190035063,1421.007495677393,1428.452392578125,8814432
2024-02-06,3748.428993682566,3891.8201438143014,3741.8643194379383,3878.78466796875,4474396,1431.256637826339,1431.256637826339,1409.3934322746634,1417.3099365234375,9047984
2024-02-07,3894.7277698637645,3896.603391231385,3820.593789517031,3829.4560546875,2124267,1425.3752031215413,1438.8504181404362,1418.7491963623445,1431.554443359375,9296568
2024-02-08,3835.6458733260915,3899.417002760364,3831.9415667460817,3877.00341796875,2345173,1439.3467435794867,1448.752105824393,1417.0368932886952,1439.4708251953125,14694634
2024-02-09,3879.301056539786,3924.503719974254,3845.024255187154,3876.628662109375,2100596,1443.31729322881,1461.1602045826953,1440.2896534634558,1450.0177001953125,12556798
2024-02-12,3873.1587133795,3900.9180054265194,3850.229055505786,3864.437255859375,1013716,1450.017752117624,1450.2659153474917,1431.7529141646626,1441.679443359375,6674430
2024-02-13,3868.8911494158424,3910.670430925413,3827.674187966924,3891.4453125,1257415,1444.806250056761,1468.1335924657844,1443.3172707540573,1454.335693359375,7715594
2024-02-14,3851.5884779156377,3858.997090733716,3797.6643636034514,3845.11767578125,1391283,1446.7916226083244,1472.749520552248,1446.7916226083244,1470.4912109375,7117888
2024-02-15,3871.282423660838,3888.444175657724,3829.0809437517446,3848.02490234375,1091582,1472.4517353218182,1473.8166331337911,1455.7503978374216,1459.79541015625,10006782
2024-02-16,3857.450096117476,3889.992312550588,3845.1179762463685,3871.56396484375,1307556,1465.6271998466532,1466.1483668657747,1447.8339689108675,1449.843994140625,9767498
2024-02-19,3866.640258482223,3871.5637647018066,3802.8224229354896,3848.58740234375,772291,1451.3082561823699,1468.6300012389227,1442.8458657695369,1463.17041015625,6729828
2024-02-20,3828.236868254403,3843.1479657037125,3760.620630178596,3779.986328125,1193648,1464.1878968342883,1464.659382736365,1451.0600862084646,1460.21728515625,7117496
2024-02-21,3763.434414830734,3810.6532761089843,3733.04943912238,3743.271484375,1885939,1463.170510366537,1477.5888193115914,1446.8414171157522,1456.916748046875,12720292
2024-02-22,3724.0463538039667,3840.287946278356,3724.0463538039667,3832.92626953125,2982052,1457.36346935178,1474.0399663973683,1447.2880175600008,1470.863525390625,18493728
2024-02-23,3873.1583931027276,3873.1583931027276,3794.757322908657,3800.10302734375,2538072,1478.556551746289,1486.5474563697878,1472.4517119404402,1482.6512451171875,14438584
2024-02-26,3785.004223439635,3798.1335740660365,3735.0658005213595,3752.227783203125,1379284,1482.5768223248915,1483.5446346905887,1471.607959051116,1476.3974609375,7513106
2024-02-27,3750.3047523909354,3867.5310824856756,3750.3047523909354,3849.14990234375,2960475,1472.1291493159843,1488.9297276070065,1467.1907251784094,1474.73486328125,10826044
2024-02-28,3840.897439611253,3896.5094287124366,3834.7077976577866,3862.79541015625,1939225,1472.1042938560004,1480.3185210789975,1439.5205099276588,1444.930419921875,8647950
2024-02-29,3844.08608110517,3880.7545712662445,3811.778548098447,3840.4287109375,3772719,1454.2365988812116,1468.1088998815815,1443.8385832706604,1450.0675048828125,23628976
2024-03-01,3851.7760560015763,3882.536061925083,3832.644581510238,3839.72509765625,2043265,1452.7475417409498,1488.979373154373,1451.7548888255137,1481.1622314453125,12132926
2024-03-04,3849.71267244036,3861.8103380983325,3822.4222912670302,3826.923828125,1749271,1479.5243736818861,1501.337897909408,1476.2982516112518,1496.3250732421875,10024420
2024-03-05,3809.387240696813,3811.2628621841086,3732.4867597177044,3762.590576171875,2070859,1494.712091681268,1496.3251528023525,1475.1320355384912,1489.177978515625,7107668
2024-03-06,3745.662985779128,3818.7652862706927,3712.276832263034,3811.544189453125,1744204,1482.4773919378927,1497.9131926576536,1467.6372798835923,1491.957275390625,7805676
2024-03-07,3812.2007150112554,3867.5315494972733,3786.598435635506,3853.08935546875,2688905,1491.9325571368477,1492.056638756749,1464.7091224345347,1468.059326171875,8315726
2024-03-11,3834.70829378674,3894.7281839316047,3834.70829378674,3865.984375,2304068,1478.060279979328,1478.060279979328,1452.747629113329,1455.8248291015625,11277130
2024-03-12,3865.983989585085,3966.8925114142617,3864.764560938834,3931.536865234375,4039801,1455.8247263461558,1477.0675227494196,1454.261346490045,1464.5849609375,9432678
2024-03-13,3943.493961270788,3977.255146194866,3874.9399080779876,3890.9765625,2837260,1468.9029635812572,1472.2034859914554,1417.2850129833478,1421.6527099609375,13522134
2024-03-14,3895.150256479137,3962.250432711918,3831.8947380025797,3945.9326171875,2919608,1429.1223094125826,1437.8825438227764,1415.0266869213976,1420.957763671875,18571102
2024-03-15,3931.8648606659913,3975.3791814488654,3917.2349235460983,3956.857421875,3373143,1415.4733954219128,1422.694969713975,1402.5193474045138,1407.80517578125,19223818
2024-03-18,3953.106903991148,3990.1504299285543,3861.764225288072,3894.25927734375,1526904,1409.56727675182,1431.1326391984185,1406.1178317705178,1428.899169921875,9169392
2024-03-19,3799.3056461900082,3805.6358684946754,3719.9200610190014,3729.95458984375,8931209,1418.252849649116,1427.0378036957165,1406.8373411480031,1414.778564453125,8275764
2024-03-20,3738.113425638154,3768.123367840969,3713.9178639455963,3723.952392578125,1817913,1417.4587350761735,1434.3835163859578,1413.562644941621,1433.1427001953125,8488806
2024-03-21,3741.9114094702163,3759.1200974295043,3702.476426060684,3725.874755859375,3829582,1441.8532357214951,1447.1887452733042,1434.060934378195,1440.3145751953125,13006936
2024-03-22,3654.6483605203457,3693.098599879169,3615.260310445454,3667.683837890625,5852485,1439.321893152815,1449.2732629085037,1436.716179238339,1444.3348388671875,19527608
2024-03-26,3634.0165571732955,3701.257540323518,3630.6872833100233,3636.361083984375,3440925,1434.3835274360674,1441.7291835759677,1428.4276096750873,1430.983642578125,11415906
2024-03-27,3646.6769913107573,3652.772761001774,3591.252286075508,3602.037109375,1968575,1437.3613782559069,1488.979328303771,1436.368725370371,1481.8818359375,16326644
2024-03-28,3610.6650016041267,3671.5288233376846,3601.661927465741,3635.235595703125,4311783,1481.90676076149,1494.8856495085238,1467.786296896486,1474.933349609375,21854364
2024-04-01,3655.3048258696854,3688.690979343402,3646.2550439346555,3673.170166015625,1569676,1481.5095896793896,1482.9985690062601,1471.60790139039,1473.8662109375,5013880
2024-04-02,3648.0836677291272,3666.6993019354495,3632.140885633653,3642.269287109375,2142666,1473.0968689675985,1483.0233977342266,1464.1629930776332,1476.025146484375,8910166
2024-04-03,3611.5093322726466,3733.424734296911,3611.5093322726466,3701.820556640625,3973090,1471.186101560143,1473.5436523631188,1458.1079713887636,1460.7880859375,7008292
2024-04-04,3728.6414957560305,3778.1110105154908,3690.519582126367,3754.337646484375,3394637,1468.8780939901114,1468.8780939901114,1439.3466709144527,1452.1767578125,14490272
2024-04-05,3730.6111838217394,3753.118641944344,3714.19949560734,3731.783447265625,1636819,1450.1417667351745,1459.9938949751336,1445.3025839763254,1449.3724365234375,7442298
2024-04-08,3735.3000761758317,3781.8622865716975,3713.7304297404708,3725.5,2302538,1452.226356281804,1480.0206375610207,1450.2658910334067,1475.057373046875,8357118
2024-04-09,3736.2381554944186,3766.107520484254,3680.9542556869656,3701.1171875,1876992,1478.060211901015,1478.8543827139295,1451.7549092714805,1452.896484375,7071414
2024-04-10,3710.3540167302876,3742.0520629416483,3674.342178842318,3736.84716796875,2101965,1455.5766564963697,1476.0749645358123,1455.5766564963697,1468.7044677734375,9138330
2024-04-12,3724.0460679227617,3763.762440285618,3700.131896496917,3752.555419921875,4354821,1465.0317226594827,1475.5538200544618,1452.3257159957793,1456.370849609375,15551012
2024-04-15,3752.555521752734,3811.450077595125,3675.326950485817,3696.099365234375,4200329,1450.2658952456557,1471.2356878788278,1435.6986653849476,1454.062744140625,12902062
2024-04-16,3659.337150142385,3684.376648663715,3622.6219548397376,3631.953125,3051420,1442.6720371000315,1460.3661473678603,1440.2649265731254,1454.98095703125,9366184
2024-04-18,3635.704595429841,3691.2229435040135,3610.571222685582,3621.824951171875,3476284,1452.7476380801534,1475.0823301585979,1448.628103973215,1453.5665283203125,19005692
2024-04-19,3599.3174326502835,3612.9626239981167,3564.5245644253832,3588.251220703125,2957749,1446.0720814485837,1463.1705049395248,1432.4231028577299,1459.323974609375,15741778
2024-04-22,3598.379760081903,3636.8299998951316,3574.934491903105,3624.263427734375,1728883,1461.6317610616636,1471.9305352298081,1457.0160218672338,1468.9774169921875,10350362
2024-04-23,3635.9390541705266,3652.772710601142,3620.5121138030436,3633.735107421875,1807586,1468.1337674689391,1482.5272357774581,1444.8561033979943,1448.603271484375,14605554
2024-04-24,3648.0837008405756,3655.586186600659,3586.6101623523527,3592.7998046875,1317312,1452.7475596039474,1457.7605053579202,1438.8504186169605,1439.5205078125,10462776
2024-04-25,3574.184280775608,3632.7505162587627,3573.9967644173494,3612.634521484375,2856271,1431.9018276580116,1457.189636393573,1430.9091747445573,1449.2484130859375,15943926
2024-04-26,3615.40045191068,3635.7041888252825,3566.0717516037967,3583.70263671875,2039178,1453.194198141131,1454.236532179651,1439.3467383348082,1441.8780517578125,9413848
2024-04-29,3599.3174341023114,3636.6423454168485,3581.6865473099597,3629.514892578125,1110693,1439.3467183436048,1457.1152296530197,1439.3467183436048,1454.2613525390625,7247974
2024-04-30,3631.2030581143713,3640.3467125091584,3573.058794270598,3583.04638671875,2203078,1457.214576809603,1472.178772035999,1452.1272302795285,1456.221923828125,11474262
2024-05-02,3543.0955870607045,3630.35891420508,3543.0955870607045,3623.0439453125,2491044,1461.1850562736174,1466.4708844514234,1453.3679147531318,1455.775146484375,14512646
2024-05-03,3648.224242496259,3651.459872612422,3561.430044438285,3604.381591796875,2962234,1460.1925152681529,1464.1134460205978,1405.7455242326487,1423.46435546875,17226958
2024-05-06,3613.384573734727,3694.927167103904,3613.384573734727,3677.20263671875,2053831,1424.9533097670264,1429.4202480421582,1407.5818831415143,1409.095703125,7394208
2024-05-07,3686.3462169354693,3739.988941315255,3670.12204659911,3731.501708984375,2062112,1405.571689953147,1410.311631866643,1381.772860502106,1391.17822265625,14517472
2024-05-08,3714.6684289785862,3736.519465528825,3693.6615594889295,3729.62646484375,1247685,1387.2324157830615,1422.42191231512,1387.2324157830615,1408.1278076171875,9439002
2024-05-09,3715.606562341274,3724.04685993367,3666.8873348078246,3713.91845703125,1726486,1402.6185253372132,1413.2895438420787,1379.7875090012217,1383.8822021484375,11009612
2024-05-10,3716.1689930361385,3726.484911351382,3643.4417231221314,3651.7412109375,1672489,1386.4879762578594,1399.6406275450738,1377.8766636438304,1397.0845947265625,10505096
2024-05-13,3642.925840662716,3709.0414982162547,3629.327584853832,3702.289306640625,931326,1389.6149314683873,1396.6379028351905,1373.8317248456565,1392.394287109375,8456620
2024-05-14,3691.2230172569975,3700.413608162642,3650.803283386374,3658.587158203125,1058317,1390.681954289976,1416.5901722719507,1389.7389824487905,1409.6416015625,7188300
2024-05-15,3661.6816503123987,3682.7354534258484,3634.485141704623,3639.080322265625,1115021,1410.063563528233,1419.468926315315,1402.6435067088078,1405.86962890625,5046534
2024-05-16,3675.637945909043,3693.018989202287,3630.673611714795,3684.9423828125,2599399,1408.1278405018506,1417.0120356183081,1387.75361519461,1414.8778076171875,14711774
2024-05-17,3701.992673680125,3702.937300542508,3617.9208829280115,3621.7939453125,2765804,1412.5948920294334,1426.6408349602225,1402.8668442157614,1425.15185546875,10916476
2024-05-21,3618.4880769854944,3631.854456042576,3599.0759470919206,3608.663818359375,1908117,1415.1260338425998,1431.231803864575,1415.1260338425998,1425.57373046875,11176128
2024-05-22,3622.644183451547,3628.548101612322,3606.160490071024,3619.810302734375,1311168,1425.722543020764,1457.9837617014118,1425.722543020764,1449.91845703125,10281604
2024-05-23,3628.264752304816,3688.7681531563644,3613.6703123942825,3677.857666015625,2095742,1447.8340020088174,1481.2615172416956,1444.3100355832012,1475.1319580078125,14608260
2024-05-24,3663.4990864307915,3668.7418115804035,3631.429050950218,3636.341064453125,1309452,1472.724715385057,1477.5638984586112,1465.2549777906743,1469.37451171875,7094776
2024-05-27,3641.536837624862,3691.9327769001197,3628.642772199506,3634.027099609375,1841538,1469.3497180106694,1473.990419113941,1450.8119965034373,1455.4774169921875,6629010
2024-05-28,3644.370544047232,3655.706066734782,3617.9209911096164,3627.272705078125,1801993,1457.2145743340495,1467.637430621861,1442.0766163922278,1445.501220703125,7820162
2024-05-29,3635.774643725855,3635.774643725855,3589.582477254128,3593.0302734375,1568095,1435.8724890871501,1447.287997987601,1427.8815843874524,1430.1895751953125,7383556
2024-05-30,3567.856098444586,3584.292515624753,3509.714261782953,3529.220947265625,2919230,1424.9532474164846,1429.817270893488,1409.6663684202383,1414.3814697265625,13206858
2024-05-31,3532.904510318457,3542.1618998121,3451.430442400017,3467.677978515625,10956800,1420.7841589242364,1431.653659822201,1411.800601617005,1419.8907470703125,31069832
2024-06-03,3526.1032967744277,3543.815050940118,3491.3409811408733,3497.811767578125,2156773,1472.1043222829317,1503.3728901534053,1448.2806515244756,1499.228515625,21527942
2024-06-04,3495.1194153242764,3537.627624429572,3392.6274000370645,3509.288818359375,3395997,1487.0437791255476,1487.0437791255476,1349.3131842665355,1387.0091552734375,36709098
2024-06-05,3510.2334721952598,3574.2792205302862,3495.1194421750433,3538.997314453125,2799670,1411.5524616660985,1420.6352601794422,1373.9308915121778,1410.3116455078125,17464890
2024-06-06,3571.63435096414,3627.2727837806888,3534.321587974697,3618.298828125,4328036,1424.4569533735907,1433.0929853880773,1410.9072166555904,1421.0819091796875,17855722
2024-06-07,3624.8165722996846,3698.2140306925203,3624.8165722996846,3678.32958984375,4552445,1418.004611799037,1461.1850112482903,1416.0193060772324,1459.1500244140625,18558696
2024-06-10,3679.3217405498876,3689.6180814133613,3629.161960387638,3645.03173828125,1734661,1459.150058153404,1482.3781598703026,1457.2888339961758,1460.5894775390625,9251760
2024-06-11,3632.0904200618043,3665.1050839975637,3628.3119124726636,3638.79736328125,1419898,1458.20717740815,1462.847878399236,1443.9874724286744,1445.9727783203125,11774902
2024-06-12,3659.862044439457,3677.9045088776033,3615.511861543188,3619.479248046875,2177001,1446.7915758989445,1465.155654220818,1444.4837064170613,1452.57373046875,10081742
2024-06-13,3643.236896058969,3674.598461482482,3638.7026410361236,3663.404541015625,1932323,1461.1851486521073,1461.433311890669,1449.3725542618724,1454.4847412109375,9181160
2024-06-14,3673.6538756786167,3673.6538756786167,3616.031636949793,3619.857421875,1860730,1459.199879544848,1468.8038455887872,1446.518713499826,1466.6944580078125,8157998
2024-06-18,3614.1900547154564,3629.2568087209993,3584.906618726297,3603.846435546875,1774045,1476.4224025999808,1476.4720837189377,1460.5399547367645,1470.1439208984375,7196766
