,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2025-02-06,426.06336046890937,426.06336046890937,414.8910439076552,417.63677978515625,17469129,856.1770794811201,862.8370567631686,850.5037655001158,860.29638671875,26760716,1265.2372940723083,1269.2066659752802,1253.5275985042942,1262.6572265625,8396554
2025-02-07,416.59528946296075,421.8027305812478,405.6123169619012,407.9320068359375,18875982,863.3304057123341,871.7170439392539,850.997114202158,854.8204345703125,23509600,1262.2603567708522,1265.2373859141799,1239.9823038025354,1247.2760009765625,7382039
2025-02-10,404.2867622150675,410.25163731299205,403.8133585122395,404.47613525390625,12227140,847.1984039096569,850.2323451556149,842.8570616226162,846.4337158203125,17195950,1247.5735745348811,1255.3138984101563,1239.7837061908433,1252.9322509765625,5740361
2025-02-11,405.9910391677168,407.64795227119043,395.2921261144242,396.049560546875,14288751,840.1437497009048,844.090402664855,833.0890834393857,839.3544311523438,22724704,1246.2339539700604,1252.188012073483,1238.8410469458931,1243.15771484375,6586627
2025-02-12,397.34792371808146,397.97305679084684,392.01021063862936,394.22222900390625,13884574,835.2104321766692,844.5837329512449,829.38909497558,842.0184326171875,22809570,1247.5735208959845,1260.0274734986122,1235.119689428972,1242.2149658203125,8809352
2025-02-13,394.27031475204564,398.1173234410263,393.35663844827394,394.0298767089844,12989029,838.1704689996619,845.6937766231139,835.4818356095761,837.5291137695312,12602434,1242.9592342670746,1256.3061987457909,1236.3601292961446,1239.337158203125,7263785
2025-02-14,396.0014661827297,400.2812751894459,392.77959046029304,394.558837890625,14124236,839.601120018604,839.601120018604,828.7971451888767,836.1231079101562,19959892,1242.5126718509223,1253.8254065127483,1234.9212235163006,1250.451416015625,10368438
2025-02-17,394.12603937418936,395.6648487625189,391.1927069076455,392.9719543457031,11975265,831.3624591587258,848.5304243918573,829.413823260936,847.2230834960938,12938946,1241.5699462890625,1248.5163471638045,1223.8069826822411,1241.5699462890625,8386151
2025-02-18,392.39491018757707,395.1359099155748,388.54790126416947,389.7500915527344,12998403,845.1017788797033,854.2284140997132,841.697778564227,850.0350952148438,16350910,1243.3065364897366,1247.9705000138076,1227.5779245772142,1233.531982421875,8135042
2025-02-19,389.3172697473528,393.1642784577035,389.02875583421536,390.8560791015625,7079032,847.0504387449713,857.3610822217985,844.8057556604201,852.0823974609375,11884112,1225.3947820253827,1254.7681118615644,1220.8300282561831,1251.9896240234375,10683412
2025-02-20,384.65279872265523,388.45170224904115,381.0462280233567,386.6724548339844,15355585,844.0904430253034,845.9157460199498,831.4118438608401,832.2998046875,26390510,1245.7378271028595,1254.3216187366877,1237.203701075922,1240.379150390625,8398849
2025-02-21,386.6724764914858,387.8265909200422,383.93150608677536,385.56646728515625,8240986,829.2411711352042,836.1724445897772,827.4404985932164,834.9638061523438,15680940,1231.5968971791747,1235.1693078219741,1215.173692889092,1223.50927734375,7786428
2025-02-24,384.700874956215,387.97082652327333,383.4986847219768,386.5281982421875,7037625,829.339781575346,830.8690975664632,819.4731490892408,827.366455078125,20693646,1217.3071583182455,1222.467414805944,1200.9831637697991,1209.0211181640625,11522480
2025-02-25,386.62438730224534,391.43314833834296,385.1817589914161,389.3653869628906,15760891,824.406500920576,832.7438177754724,824.406500920576,829.9564819335938,24138708,1217.2079253456668,1222.2193060560244,1211.6508286551266,1214.7767333984375,11059417
2025-02-27,389.3654104380863,390.9522958056036,384.2200299491726,386.2397155761719,19051003,830.0552335524236,843.9671626938127,830.0552335524236,839.0091552734375,35786800,1215.769120615194,1225.3947998146707,1209.1203494513463,1213.0897216796875,12008162
2025-02-28,383.73912917511376,387.10526188717614,377.1992259318174,379.8921203613281,31954776,831.2638337603047,857.0404125816553,831.2638337603047,854.6477661132812,54516728,1206.6891556122284,1215.620243112648,1190.9108768010287,1194.8802490234375,20215075
2025-03-03,380.8057848257319,383.7391172146777,376.23746200174764,382.2484130859375,10702826,858.2984018170607,859.9017296292334,835.7531099870528,839.428466796875,21205364,1201.2312348006667,1207.6814644794808,1194.929880803104,1196.964111328125,8158881
2025-03-04,380.2768157418011,382.00798731989397,377.82435936077115,379.74786376953125,13404774,837.6771272358142,845.7184570804238,835.3338019387764,843.5971069335938,19920958,1197.9068433475454,1207.334101585249,1197.0137104452713,1201.1319580078125,9574490
2025-03-05,379.4112349821189,396.9632122658291,379.4112349821189,389.5577087402344,15665018,839.6257577393887,843.991790915382,832.8671383829512,833.73046875,21583872,1207.6814517983407,1216.5628733470458,1202.0251450551775,1206.391357421875,9052846
2025-03-06,393.5009194323491,394.0299007695933,385.22984437591543,390.1828918457031,17869996,832.2504799228543,838.6144701478811,824.973838204501,834.3224487304688,32966088,1218.5476101118768,1218.5476101118768,1199.7427576093883,1208.7235107421875,11949475
2025-03-07,388.11510203965406,390.3271497866334,386.33588388818345,388.45172119140625,11180761,829.7838192395386,839.2311321984157,827.6131479773222,833.3604736328125,13372914,1201.8265880949464,1208.5249033729367,1197.0634143564148,1205.250244140625,6620284
2025-03-10,385.7107105996322,391.2888910064267,385.0855775356017,389.5096435546875,9785018,833.2371287977431,838.6144556459366,830.3018296675241,832.4971313476562,15604050,1198.7503263397664,1216.4140799337886,1198.7503263397664,1205.5478515625,7363437
2025-03-11,386.1435403860541,392.77962524740065,385.8550264422196,390.6637878417969,11099475,829.9811819724781,835.7038170818192,823.8885481247595,831.510498046875,19898430,1207.8798680000234,1238.4440812807522,1207.8798680000234,1235.864013671875,10927950
2025-03-12,390.85607392496263,397.4921579923581,388.547874599392,396.6265869140625,13844306,834.4951408301645,847.7904041385841,834.4951408301645,844.1644287109375,18784106,1237.4020778822246,1242.3637929723905,1225.8413786306357,1234.425048828125,11548372
